rssd,CDFI
613679,FALSE
3591282,FALSE
997557,FALSE
2771694,FALSE
434203,FALSE
2758613,FALSE
659855,FALSE
1492817,FALSE
263243,FALSE
762447,FALSE
825454,FALSE
944355,FALSE
355858,FALSE
911339,FALSE
45047,FALSE
646172,FALSE
374653,FALSE
4114567,FALSE
932978,FALSE
253776,FALSE
25647,FALSE
565143,FALSE
540739,FALSE
605656,FALSE
509950,FALSE
259330,FALSE
687951,FALSE
222754,FALSE
739832,FALSE
695134,FALSE
601416,FALSE
2867337,FALSE
146672,FALSE
188430,FALSE
279105,FALSE
2896216,FALSE
871769,FALSE
863746,FALSE
713926,FALSE
808260,FALSE
282226,FALSE
446130,FALSE
51842,FALSE
742944,FALSE
379920,FALSE
413141,FALSE
392255,FALSE
363657,FALSE
735414,FALSE
767152,FALSE
968155,FALSE
665258,FALSE
379153,FALSE
972732,FALSE
329952,FALSE
23456,FALSE
849357,FALSE
975555,FALSE
630658,FALSE
78241,FALSE
500256,FALSE
839255,FALSE
562553,FALSE
805755,FALSE
527954,FALSE
421445,FALSE
246947,FALSE
319458,FALSE
553926,FALSE
714839,FALSE
31134,FALSE
3141726,FALSE
102557,FALSE
357553,FALSE
3635533,FALSE
3345065,FALSE
588478,FALSE
2911856,FALSE
33857,FALSE
457220,FALSE
113740,FALSE
416339,FALSE
647759,FALSE
673440,FALSE
601041,FALSE
627377,FALSE
654047,FALSE
345756,FALSE
927134,FALSE
884358,FALSE
888552,FALSE
615253,FALSE
1006652,TRUE
777375,FALSE
548641,FALSE
1155,FALSE
513854,FALSE
1018927,FALSE
899156,FALSE
380346,FALSE
514356,FALSE
757452,FALSE
125154,FALSE
246134,FALSE
474919,FALSE
715470,FALSE
657271,FALSE
136459,FALSE
3223417,FALSE
733540,FALSE
3851427,FALSE
3667132,FALSE
451273,FALSE
592448,FALSE
866000,FALSE
670775,FALSE
2634191,FALSE
617538,FALSE
250476,TRUE
112163,FALSE
381343,FALSE
885252,FALSE
339072,FALSE
715872,FALSE
821157,FALSE
226949,FALSE
732178,FALSE
983158,FALSE
557317,FALSE
2354323,FALSE
131650,FALSE
803649,FALSE
648130,FALSE
715144,FALSE
268828,FALSE
564678,FALSE
1458608,FALSE
245016,FALSE
463735,FALSE
466857,FALSE
40499,FALSE
526854,FALSE
647245,FALSE
660927,FALSE
28152,FALSE
3013823,FALSE
508346,FALSE
853112,FALSE
1469677,FALSE
881478,FALSE
3120897,FALSE
673909,FALSE
2119773,FALSE
929978,FALSE
1015270,FALSE
105473,FALSE
317379,FALSE
79127,FALSE
932277,FALSE
258771,FALSE
3594087,FALSE
825146,FALSE
1004470,FALSE
130541,FALSE
703552,FALSE
653947,FALSE
983550,FALSE
212577,FALSE
12311,FALSE
3358270,FALSE
504647,FALSE
258445,FALSE
625159,FALSE
1001152,FALSE
5050028,FALSE
230759,FALSE
382069,FALSE
1015560,FALSE
320119,FALSE
122854,FALSE
2877345,FALSE
329550,TRUE
272302,FALSE
538802,FALSE
44433,FALSE
854173,FALSE
35570,FALSE
760434,FALSE
74140,FALSE
849647,FALSE
112444,FALSE
291376,FALSE
360777,FALSE
598954,FALSE
653611,FALSE
854454,FALSE
45560,FALSE
58243,FALSE
852218,FALSE
732918,FALSE
920210,FALSE
327305,FALSE
644141,FALSE
633378,FALSE
366854,FALSE
583905,FALSE
247908,FALSE
280110,FALSE
2610784,FALSE
208972,FALSE
1429028,FALSE
463977,FALSE
966722,FALSE
440978,FALSE
489249,FALSE
3720336,FALSE
584377,FALSE
373115,FALSE
535931,FALSE
987053,FALSE
269058,FALSE
