rssd,CDFI
211075,FALSE
828370,FALSE
841481,FALSE
183293,FALSE
969693,TRUE
715779,FALSE
384791,FALSE
877686,FALSE
665986,FALSE
605692,FALSE
232696,FALSE
887984,FALSE
889081,FALSE
35776,FALSE
980894,FALSE
271574,FALSE
734181,FALSE
415882,FALSE
596183,FALSE
698377,FALSE
185989,FALSE
27678,FALSE
523291,FALSE
446989,FALSE
221195,FALSE
295187,FALSE
293286,FALSE
247784,FALSE
175784,FALSE
567884,FALSE
358989,FALSE
908889,FALSE
876791,FALSE
877480,FALSE
358895,FALSE
643087,FALSE
483582,FALSE
174778,FALSE
527981,FALSE
4585,FALSE
533290,FALSE
789994,FALSE
196882,TRUE
52885,FALSE
369574,FALSE
245397,FALSE
713391,FALSE
178589,FALSE
1227028,FALSE
590387,FALSE
516677,FALSE
886772,FALSE
842992,FALSE
808372,FALSE
412676,TRUE
962199,FALSE
257587,FALSE
807683,FALSE
852487,FALSE
502399,FALSE
920489,FALSE
842880,FALSE
736783,FALSE
413691,FALSE
873080,FALSE
406385,FALSE
558471,FALSE
638494,FALSE
371492,FALSE
417895,FALSE
1017283,FALSE
560988,FALSE
958893,TRUE
385378,FALSE
974389,FALSE
543785,FALSE
26774,FALSE
739382,FALSE
797681,FALSE
213686,FALSE
808587,FALSE
710372,FALSE
225595,FALSE
929893,FALSE
488699,FALSE
681584,FALSE
472287,FALSE
433176,FALSE
254380,FALSE
264679,FALSE
708874,FALSE
676982,FALSE
209595,FALSE
708687,FALSE
42390,FALSE
619381,FALSE
745785,FALSE
492696,FALSE
248893,FALSE
177993,FALSE
456175,FALSE
968986,FALSE
216191,FALSE
922380,FALSE
172381,FALSE
774990,FALSE
687193,FALSE
934785,FALSE
836197,FALSE
628495,TRUE
1007770,FALSE
202493,FALSE
341682,FALSE
381491,FALSE
3921076,FALSE
872186,FALSE
1019335,FALSE
480581,FALSE
370888,FALSE
977380,FALSE
654298,FALSE
877097,FALSE
190394,FALSE
710493,FALSE
986195,FALSE
2760072,FALSE
44095,FALSE
66985,FALSE
105585,FALSE
256487,FALSE
33183,FALSE
154284,FALSE
50676,FALSE
179791,FALSE
715199,FALSE
554080,TRUE
738899,FALSE
658894,FALSE
725693,FALSE
633994,TRUE
274490,FALSE
902298,FALSE
609597,FALSE
52090,FALSE
854799,FALSE
1000388,FALSE
678098,TRUE
462699,FALSE
182072,FALSE
143587,FALSE
619792,FALSE
104092,FALSE
118893,FALSE
957289,FALSE
454591,FALSE
1002391,FALSE
735076,FALSE
829993,FALSE
308573,FALSE
905178,FALSE
919698,FALSE
597395,FALSE
246796,FALSE
17772,FALSE
524887,FALSE
280875,FALSE
581899,FALSE
229379,FALSE
153474,FALSE
624974,TRUE
86488,FALSE
484093,FALSE
707279,FALSE
154677,FALSE
644990,FALSE
736886,FALSE
484374,FALSE
509996,FALSE
203584,FALSE
65184,FALSE
399683,FALSE
44675,FALSE
415686,FALSE
225193,FALSE
734284,FALSE
797588,FALSE
82891,FALSE
391379,FALSE
886594,FALSE
714183,FALSE
662798,FALSE
63993,FALSE
135292,FALSE
976084,FALSE
734695,FALSE
70889,FALSE
152589,FALSE
628990,FALSE
704296,FALSE
634487,FALSE
318581,FALSE
226480,TRUE
282271,FALSE
327284,FALSE
326997,FALSE
750985,TRUE
800086,FALSE
272982,FALSE
977885,FALSE
705293,FALSE
1867611,FALSE
716299,FALSE
49371,FALSE
552282,FALSE
786685,FALSE
442589,TRUE
565497,FALSE
163594,FALSE
50489,FALSE
324199,FALSE
44376,FALSE
722889,FALSE
209287,FALSE
454797,FALSE
619998,FALSE
98182,FALSE
999597,FALSE
3158957,FALSE
229687,FALSE
1004984,FALSE
394080,FALSE
143970,FALSE
132385,FALSE
48383,FALSE
677475,FALSE
43874,FALSE
197384,FALSE
140586,FALSE
59398,FALSE
95695,FALSE
168982,FALSE
629090,FALSE
848695,FALSE
662293,FALSE
167284,FALSE
874582,FALSE
336585,FALSE
116581,FALSE
739896,FALSE
464581,FALSE
473275,TRUE
402592,FALSE
745673,FALSE
857389,TRUE
961594,FALSE
572785,FALSE
699084,FALSE
866596,FALSE
965985,FALSE
18676,FALSE
255994,FALSE
255882,FALSE
476285,FALSE
587471,FALSE
475493,TRUE
385190,FALSE
931681,FALSE
