cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,dep,depdom,idtrni,idtrngov,idtrnmu,idtrcomb,idtrnfc,idtrnfg,depfor,trn,ddt,ntr,ntrsmmda,ntrsoth,ntrtime,ts,depnidom,depidom,coredep,depins,irakeogh,bro,broins,DEPLSNB,depnifor,depifor
"10218","0","56258","1121966","Citizens Bank & Trust Co.","Hutchinson","MN","55350","6/30/2019","11/18/2019","NM","102 Main Street South","CITIZENS BANCSHARES OF HUTCHINSON, INC.","3","0","0","4","1","Mcleod","","","1/1/1886","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Mankato","Minneapolis","Central","West","0","1","","200300","200300","177203","0","23097","0","0","0","","104130","43706","96170","48822","22383","24965","156594","43706","156593","188499","147959","3141","4000","4000","0","",""
"9777","16066","729945","2605249","Citizens Bank & Trust Co.","Marks","MS","38646","6/30/2019","11/18/2019","NM","239 East Main St","CB&T BANCSHARES, INC.","3","0","0","2","1","Quitman","","","8/17/1917","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Memphis","St. louis","Southern","West","0","1","","112605","112605","84928","0","11499","16178","0","0","","45828","27580","66777","10571","9894","46312","85025","27580","85025","108553","97587","4861","0","0","16178","",""
"18620","9139","765318","2753869","Citizens Bank & Trust Co. of Jackson","Jackson","KY","41339","6/30/2019","11/18/2019","NM","720 Hwy, 15 South","JOHN R TURNER HOLDING COMPANY","3","0","0","4","1","Breathitt","","","11/17/1962","11/17/1962","3/31/2006","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","","126166","126166","110695","0","13695","1776","0","0","","41182","17164","84984","466","25900","58618","109002","17164","109002","112182","108960","9505","2071","2071","0","",""
"1972","14087","657758","1857779","Citizens Bank & Trust Company","Big Timber","MT","59011","6/30/2019","11/18/2019","SM","130 Mcleod Street","CBT CORPORATION, INC.","2","0","0","2","0","Sweet Grass","","","1/1/1927","1/1/1934","10/18/2018","Stock","0","1","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","","96998","96998","86683","299","9946","71","0","0","","45518","28970","51481","2799","25559","23122","68029","29941","67057","86874","83215","3249","0","0","0","",""
"5469","14676","925055","1051401","Citizens Bank & Trust Company","Saint Paul","NE","68873","6/30/2019","11/18/2019","NM","721 Seventh Street","HOWARD COUNTY LAND AND CATTLE CO.","3","0","0","2","0","Howard","24260","Grand Island, NE","1/1/1888","1/1/1934","3/14/2017","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","West","0","1","","146166","146166","130690","0","6189","9287","0","0","","61097","46028","85069","13199","13309","58561","100138","46028","100138","133679","143498","5643","9000","9000","9287","",""
"1376","0","357937","1084472","Citizens Bank & Trust Company","Plaquemine","LA","70764","6/30/2019","11/18/2019","NM","57910 Main Street","CITIZENS BANCORPORATION, INC.","7","0","0","4","0","Iberville","12940","Baton Rouge, LA","7/5/1916","1/1/1934","7/31/2017","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","","266782","266782","204912","0","61306","564","0","0","","111456","70683","155326","48486","27305","79535","196099","70683","196099","247951","191086","4987","0","0","0","",""
"16780","12612","364131","1129805","Citizens Bank & Trust Company","Eastman","GA","31023","6/30/2019","11/18/2019","NM","5101 Fifth Avenue","CITIZENS CORPORATION","4","0","0","4","1","Dodge","","","1/1/1934","4/1/1949","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Albany Ga","Atlanta","Southern","Southeast","0","1","","130420","130420","121842","0","8578","0","0","0","","62277","35845","68143","12698","12580","42865","94575","36763","93657","127552","115272","7355","0","0","0","",""
"16417","0","384830","0","Citizens Bank & Trust Company","Covington","LA","70433","6/30/2019","11/18/2019","NM","222 New Hampshire Street","","5","0","0","4","0","Saint Tammany","35380","New Orleans-Metairie, LA","12/31/1945","5/10/1946","7/29/2015","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","","108540","108540","104590","0","3765","184","0","0","","46443","35857","62096","8559","21823","31714","72682","35857","72683","98376","92911","3427","0","0","4476","",""
"6100","0","321152","1823550","Citizens Bank & Trust Company","Atwood","TN","38220","6/30/2019","11/18/2019","NM","1359 West Main Street","BUMPUSHARES, INC.","1","0","0","7","1","Carroll","","","2/5/1927","1/1/1934","6/2/2010","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Nashville","St. louis","Southern","Southeast","0","1","http://www.citizensbankatwood.com","22352","22352","13920","0","8432","0","0","0","","13247","3779","9105","0","0","9105","18573","3677","18675","19757","17015","0","0","0","0","",""
"15675","9331","829041","1099140","Citizens Bank & Trust Company","Campbellsville","KY","42718","6/30/2019","11/18/2019","NM","201 East Main Street","FIRST BANCORP, INC.","4","0","0","8","0","Taylor","","","1/1/1939","7/22/1939","3/31/2006","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Elizabethtown","St. louis","Central","Southeast","0","1","","176368","176368","163506","1320","11543","0","0","0","","72833","39314","103536","45909","20443","37183","137055","39314","137054","171838","134219","9167","0","0","0","",""
"19744","10821","767554","3010288","Citizens Bank & Trust Company of Vivian, Louisiana","Vivian","LA","71082","6/30/2019","11/18/2019","NM","120 West Arkansas Avenue","C B & T BANCSHARES, INC.","4","0","0","8","1","Caddo","43340","Shreveport-Bossier City, LA","9/14/1967","9/14/1967","10/1/2010","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Shreveport","Dallas","Southern","Western","0","1","","120275","120275","106537","0","13738","0","0","0","","50040","43892","70235","34440","7691","28104","76383","30236","90039","113452","97413","3154","0","0","0","",""
"27153","13138","1163283","3839313","Citizens Bank & Trust, Inc.","Trenton","GA","30752","6/30/2019","11/18/2019","SA","12255 South Main Street","TAG BANCSHARES INC.","3","0","1","8","0","Dade","16860","Chattanooga, TN-GA","1/18/1988","2/1/1996","7/21/2011","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","0","1","www.citizensbanktrenton.com","88187","88187","83484","0","4704","0","0","0","","33600","15587","54588","2489","21101","30998","72601","15534","72653","87192","84071","7068","0","0","0","",""
"5673","16128","701839","3200874","Citizens Bank and Trust","Frostproof","FL","33843","6/30/2019","11/18/2019","NM","2 East Wall Street","CITIZENS BANKING CORPORATION","15","0","0","4","1","Polk","29460","Lakeland-Winter Haven, FL","5/13/1920","1/1/1934","8/6/2007","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Tampa","Atlanta","Southern","Southeast","0","1","","574749","574749","498306","0","76443","0","0","0","","133989","91962","440760","339897","74089","26774","482787","239608","335140","569475","399294","3772","0","0","0","",""
"4533","10264","381343","3299195","Citizens Bank and Trust Company","Kansas City","MO","64153","6/30/2019","11/18/2019","NM","7288 Nw 87th Terrace, # 112","YOUNG CORPORATION","21","0","1","4","0","Platte","28140","Kansas City, MO-KS","1/1/1889","1/1/1934","8/4/2019","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","www.gocitizens.bank","694615","694615","630942","0","60513","3160","0","0","","136162","74655","558453","67468","271506","219478","619960","130371","564244","656197","574650","26761","11527","11527","0","",""
"823","13361","991621","3219474","Citizens Bank and Trust Company","Blackstone","VA","23824","6/30/2019","11/18/2019","SM","126 South Main Street","CITIZENS BANCORP OF VIRGINIA, INC.","11","0","0","8","0","Nottoway","","","7/15/1873","1/1/1934","3/31/2006","Stock","0","0","FED","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","0","1","http://www.cbtva.com","336154","336154","297633","0","38521","0","0","0","","29868","16988","306286","55785","160875","89626","319166","72555","263599","310949","275489","18151","0","0","0","",""
"22717","10271","255556","1064139","Citizens Bank and Trust Company of Ardmore","Ardmore","OK","73401","6/30/2019","11/18/2019","SM","1100 North Commerce","CITIZENS COMMERCE CORPORATION","4","0","0","4","1","Carter","","","9/18/1978","9/18/1978","3/31/2006","Stock","0","1","FED","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","www.citizensbt.com","169581","169581","158620","0","10962","0","0","0","","131265","74024","38317","4904","0","33413","95558","52397","117184","158536","132965","4931","0","0","0","",""
"10317","13067","715630","1085992","Citizens Bank and Trust Company of Grainger County","Rutledge","TN","37861","6/30/2019","11/18/2019","NM","8335 Rutledge Pike","CITIZENS OF GRAINGER COUNTY CORPORATION","5","0","0","7","0","Grainger","34100","Morristown, TN","11/1/1919","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Knoxville","Atlanta","Southern","Southeast","0","1","","171090","171090","146242","0","24773","75","0","0","","72258","50901","98832","9358","45560","43914","120189","50901","120189","154352","143618","9722","0","0","0","",""
"8200","11729","874050","1135114","Citizens Bank Minnesota","New Ulm","MN","56073","6/30/2019","11/18/2019","NM","105 North Minnesota Street","CITIZENS BANCORPORATION OF NEW ULM, INC.","4","0","0","2","0","Brown","","","12/13/1875","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Mankato","Minneapolis","Central","West","0","1","https://www.citizensmn.bank/","356679","356679","314719","0","40260","1700","0","0","","30347","15583","326332","4394","209559","112379","341096","15583","341096","344628","285513","23501","0","0","0","",""
"19679","0","807656","3435229","Citizens Bank of Ada","Ada","OK","74820","6/30/2019","11/18/2019","NM","123 West 12th Street","CITIZENSADA FINANCIAL CORPORATION","4","0","0","4","1","Pontotoc","","","2/20/1967","2/20/1967","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","","155348","155348","141095","0","14253","0","0","0","","96372","59638","58976","10728","26871","21377","95710","59853","95495","149566","122718","4789","0","0","0","",""
"15477","12677","19936","1976625","Citizens Bank of Americus","Americus","GA","31709","6/30/2019","11/18/2019","NM","119 Lee Street","CBA BANKSHARES, INC.","3","0","0","2","0","Sumter","","","3/1/1937","3/25/1937","1/23/2014","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Albany Ga","Atlanta","Southern","Southeast","0","1","","286783","286783","238778","0","48006","0","0","0","","143705","60421","143079","79555","16227","47297","226363","60421","226362","278197","178136","8938","0","0","0","",""
"8908","0","84804","0","Citizens Bank of Cape Vincent","Cape Vincent","NY","13618","6/30/2019","11/18/2019","NM","154 Broadway St","","3","0","0","8","0","Jefferson","48060","Watertown-Fort Drum, NY","1/1/1919","1/1/1934","1/1/2019","Stock","0","0","FDIC","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","0","1","","62684","62684","42235","0","20449","0","0","0","","19115","19115","43569","0","34966","8604","43569","17382","45302","59748","49176","0","0","0","0","",""
"10843","0","441135","5164626","Citizens Bank of Chatsworth","Chatsworth","IL","60921","6/30/2019","11/18/2019","NM","502 East Locust Street","CBC FINANCIAL, INC.","2","0","0","2","0","Livingston","","","12/7/1903","1/1/1934","7/2/2018","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Champaign","Chicago","Central","Central","0","1","","26724","26724","23095","0","3629","0","0","0","","13712","2210","13012","5709","3059","4244","24514","5173","21551","26724","24943","1100","0","0","0","",""
"35442","0","2921622","3110012","Citizens Bank of Cumberland County, Inc.","Burkesville","KY","42717","6/30/2019","11/18/2019","NM","209 Keen Street","CITIZENS CUMBERLAND BANCSHARES, INC.","1","0","0","8","1","Cumberland","","","7/1/2000","7/1/2000","8/12/2009","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Elizabethtown","St. louis","Central","Southeast","0","1","","61668","61668","46033","921","14715","0","0","0","","24237","19199","37432","5142","8862","23428","42470","19199","42469","59136","53166","5688","0","0","0","",""
"20454","15585","915935","4795863","Citizens Bank of Edinburg","Edinburg","IL","62531","6/30/2019","11/18/2019","NM","100 East Washington Street","CB EDINBURG HOLDINGS, INC.","1","0","0","4","0","Christian","","","7/16/1971","7/16/1971","12/13/2016","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","","21598","21598","16524","0","5074","0","0","0","","11932","3110","9666","0","3940","5726","18488","3110","18487","20936","18234","1145","0","0","0","",""
"1956","0","954251","1141900","Citizens Bank of Eldon","Eldon","MO","65026","6/30/2019","11/18/2019","NM","110 North Maple Street","CITIZENS BANCSHARES OF ELDON, MISSOURI, INC.","4","0","0","2","0","Miller","","","1/20/1905","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Columbia Mo","St. louis","Western","West","0","1","http://www.cbeldon.com","133406","133406","128931","33","4442","0","0","0","","56233","39744","77173","29109","13732","34332","93662","39744","93662","127596","117993","10743","0","0","0","",""
"16442","0","131034","2958347","Citizens Bank of Florida","Oviedo","FL","32765","6/30/2019","11/18/2019","NM","156 Geneva Drive","CITIZENS BANCORP OF OVIEDO, INC.","7","0","0","4","0","Seminole","36740","Orlando-Kissimmee-Sanford, FL","7/1/1946","7/1/1946","9/1/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Tampa","Atlanta","Southern","Southeast","0","1","","303469","303469","274050","0","29175","245","0","0","","164267","89191","139203","52667","23801","62735","214279","89191","214278","278741","194845","5095","0","0","0","",""
"4707","10477","1014853","1061987","Citizens Bank of Kansas","Kingman","KS","67068","6/30/2019","11/18/2019","SM","300 North Main Street","KING BANCSHARES, INC.","11","0","0","2","1","Kingman","","","5/14/1886","1/1/1934","1/2/2019","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","0","1","","315955","315955","274073","57","41563","261","0","0","","162281","79558","153673","72229","41288","40157","236396","80112","235843","307602","259070","5991","0","0","0","",""
"2718","11286","495419","1071623","Citizens Bank of Kentucky, Inc.","Paintsville","KY","41240","6/30/2019","11/18/2019","SM","620 Broadway Avenue","CITIZENS NATIONAL CORPORATION","12","0","0","4","0","Johnson","","","1/1/1910","1/1/1934","6/30/2016","Stock","0","1","FED","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","","507925","507925","462593","50","44669","613","0","0","","191969","152628","315956","90979","47459","177518","355297","129219","378706","460997","431865","24472","7626","7626","0","",""
"1711","0","63733","1140239","Citizens Bank of Lafayette","Lafayette","TN","37083","6/30/2019","11/18/2019","NM","400 Highway 52 Bypass West","CITIZENS BANCORP INVESTMENT, INC.","19","0","0","4","0","Macon","34980","Nashville-Davidson-Murfreesboro-Franklin, TN","7/1/1909","1/1/1934","4/20/2015","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Nashville","Atlanta","Southern","Southeast","0","1","http://www.citizens-bank.org","742650","742650","650329","6","87144","5171","0","0","","35625","35625","707025","298694","93243","315088","707025","139251","603399","679005","629643","53755","0","0","0","",""
"20161","10629","1016857","1105078","Citizens Bank of Las Cruces","Las Cruces","NM","88001","6/30/2019","11/18/2019","NM","505 S. Main Street","AMADOR BANCSHARES, INC.","7","0","1","4","1","Dona Ana","29740","Las Cruces, NM","4/6/1970","4/6/1970","1/1/2019","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Albuquerque","Dallas","Western","West","0","1","","510078","510078","427616","0","82462","0","0","0","","62636","37222","447442","116067","277484","53892","472856","164072","346006","496139","355404","8387","0","0","0","",""
"22954","9531","897237","2638582","Citizens Bank of Morgantown, Inc.","Morgantown","WV","26505","6/30/2019","11/18/2019","NM","265 High Street","MORGANTOWN BANCSHARES, INC.","1","0","0","5","0","Monongalia","34060","Morgantown, WV","9/20/1979","9/20/1979","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Scott Depot","Richmond","Northeastern","Northeast","0","1","","26312","26312","24739","1","1572","0","0","0","","10425","5208","15887","2876","4796","8215","21104","5208","21104","24121","23526","1520","0","0","0","",""
"16126","0","44750","1118621","Citizens Bank of Newburg","Rolla","MO","65401","6/30/2019","11/18/2019","NM","1515 Martin Springs Drive","NEWBURG INSURANCE AGENCY, INC.","3","0","0","4","0","Phelps","","","2/28/1944","2/28/1944","5/17/2013","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Springfield Mo","St. louis","Western","West","0","1","","133774","133774","101826","0","31949","0","0","0","","46796","11583","86979","20034","14210","52734","122192","11581","122193","125035","94155","10442","0","0","10028","",""
"8572","0","246451","4504917","Citizens Bank of Rogersville","Rogersville","MO","65742","6/30/2019","11/18/2019","NM","1001 West Center Street","WILDCAT BANCSHARES, INC.","2","0","0","4","1","Greene","44180","Springfield, MO","1/1/1908","1/1/1934","10/22/2013","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Springfield Mo","St. louis","Western","West","0","1","","67067","67067","66319","0","748","0","0","0","","24818","16759","42249","8510","10461","23278","50308","16759","50308","63580","60929","2678","0","0","0","",""
"19420","13289","367431","0","Citizens Bank of the South","Sandersville","GA","31082","6/30/2019","11/18/2019","NM","132 South Harris Street","","4","0","0","4","0","Washington","","","5/3/1965","5/3/1965","1/1/2017","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Savannah","Atlanta","Southern","Southeast","0","1","","212195","212195","194382","0","15562","2250","0","0","","131881","131881","80313","7706","13001","59606","80313","54645","157550","200481","148909","13250","0","0","1696","",""
"6760","9520","481627","1142970","Citizens Bank of West Virginia, Inc.","Elkins","WV","26241","6/30/2019","11/18/2019","NM","211-213 Third Street","CITIZENS FINANCIAL CORP.","6","0","0","6","0","Randolph","","","1/22/1924","1/1/1934","6/29/2009","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Scott Depot","Richmond","Northeastern","Northeast","0","1","","229961","229961","197375","2","30622","1962","0","0","","40994","40592","188967","8001","114094","66872","189369","57696","172265","211241","170869","9659","949","949","0","",""
"57957","0","3303298","1132449","Citizens Bank, National Association","Providence","RI","2903","6/30/2019","11/18/2019","N","One Citizens Plaza","CITIZENS FINANCIAL GROUP, INC.","1112","2","1","4","0","Providence","39300","Providence-Warwick, RI-MA","5/13/2005","5/13/2005","1/2/2019","Stock","0","1","OCC","DIF","New York","WASHINGTON","South Boston","Boston","Northeastern","Northeast","0","0","www.citizensbank.com","125759512","125246311","117815179","856","7429208","1068","0","0","513201","9784694","6108834","115461617","36435980","57424521","21601114","119137477","28979493","96266818","111788116","74875039","3828744","6258168","6209833","934739","0","513201"
"12309","13477","617051","3825138","Citizens Bank, National Association","Abilene","TX","79602","6/30/2019","11/18/2019","N","4201 S Treadaway Blvd","BIG COUNTRY BANCSHARES, INC.","2","0","0","4","1","Taylor","10180","Abilene, TX","1/1/1923","1/1/1934","3/31/2006","Stock","0","1","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","","87986","87986","76443","0","11408","135","0","0","","42872","33592","45114","12789","7110","25215","54394","33743","54243","73311","61651","601","5108","0","0","",""
"31900","7583","851172","4880358","Citizens Building and Loan, SSB","Greer","SC","29651","6/30/2019","11/18/2019","SB","229 Trade Street","CITIZENS BUILDING AND LOAN MHC","2","0","0","5","0","Greenville","24860","Greenville-Anderson-Mauldin, SC","1/1/1907","12/1/1977","11/1/2012","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","1","","101709","101709","98688","0","0","3021","0","0","","0","0","101709","0","13642","88067","101709","97","101613","80197","90881","14491","0","0","0","",""
"21716","12237","933966","1029222","Citizens Business Bank","Ontario","CA","91764","6/30/2019","11/18/2019","NM","701 North Haven Avenue","CVB FINANCIAL CORP.","62","0","0","4","0","San Bernardino","40140","Riverside-San Bernardino-Ontario, CA","8/9/1974","8/9/1974","8/10/2018","Stock","0","1","FDIC","DIF","San Francisco","SAN FRANCISCO","Los Angeles (North)","San Francisco","Western","Western","0","0","http://www.cbbank.com","8695049","8695049","8140369","18199","534152","2329","0","0","","5688607","5252517","3006442","2129695","397153","479594","3442532","5252517","3442532","8516421","3529610","33257","65432","65432","8138","",""
"34256","0","2512347","2702278","Citizens Commerce Bank","Versailles","KY","40383","6/30/2019","11/18/2019","NM","534 Marsailles Road","CITIZENS COMMERCE BANCSHARES, INC.","6","0","0","4","0","Woodford","30460","Lexington-Fayette, KY","11/12/1996","11/12/1996","6/1/2018","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","http://www.citizenscommerce.com","222557","222557","206220","0","16337","0","0","0","","61962","29423","160595","34167","33841","92587","193134","29423","193134","201033","195503","8055","0","0","0","",""
"12694","13841","578554","1398731","Citizens Community Bank","Pilot Grove","MO","65276","6/30/2019","11/18/2019","NM","100 Roe Street","BANCORP II, INC.","3","0","0","2","0","Cooper","17860","Columbia, MO","8/26/1913","1/1/1934","12/1/2011","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Columbia Mo","Kansas City","Western","West","0","1","","88699","88699","82957","0","5742","0","0","0","","33356","22668","55343","14567","9967","30809","66031","22749","65950","86231","81314","5186","0","0","0","",""
"33753","15784","2007991","2550143","Citizens Community Bank","Mascoutah","IL","62258","6/30/2019","11/18/2019","NM","9 East Main Street","CITIZENS BANCORPORATION, INC.","5","0","0","4","0","Saint Clair","41180","St. Louis, MO-IL","12/21/1992","12/21/1992","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","0","1","","328421","328421","255188","0","72988","245","0","0","","59159","36744","269262","72192","36306","160764","291677","35841","292580","293164","260706","20471","100","100","0","",""
"12079","11672","564838","1084696","Citizens Community Bank","Hahira","GA","31632","6/30/2019","11/18/2019","NM","120 West Main Street","CCB BANCSHARES, INC.","4","0","0","4","1","Lowndes","46660","Valdosta, GA","2/21/1927","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Albany Ga","Atlanta","Southern","Southeast","0","1","www.citizenscommunitybank.net","120855","120855","116883","0","3972","0","0","0","","53875","34794","66980","10233","17371","39377","86061","34794","86061","114107","107316","8266","0","0","0","",""
"33739","11491","2002222","2354305","Citizens Community Bank","Winchester","TN","37398","6/30/2019","11/18/2019","NM","1418 Dinah Shore Boulevard","CITIZENS COMMUNITY BANCSHARES, INC.","5","0","1","4","0","Franklin","","","11/19/1992","11/19/1992","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Nashville","Atlanta","Southern","Southeast","0","1","","198858","198858","168365","0","30493","0","0","0","","79443","31717","119415","38923","28274","52218","167141","31717","167141","188317","144213","11763","0","0","0","",""
"57265","17873","962890","3823929","Citizens Community Federal National Association","Altoona","WI","54720","6/30/2019","11/18/2019","N","219 Fairfax Street","CITIZENS COMMUNITY BANCORP, INC.","27","0","1","4","0","Eau Claire","20740","Eau Claire, WI","12/10/2001","12/10/2001","6/30/2019","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Eau Claire","Minneapolis","Central","Central","0","1","","1019695","1019695","839286","28","118246","62135","0","0","","324357","323437","695338","155964","148017","391359","696258","143434","876261","918773","840709","40433","56462","55223","5672","",""
"12165","12981","344816","2007647","Citizens Deposit Bank & Trust","Vanceburg","KY","41179","6/30/2019","11/18/2019","NM","Second & Main Street","PREMIER FINANCIAL BANCORP, INC.","15","0","1","4","0","Lewis","","","10/21/1930","1/1/1934","8/18/2012","Stock","0","1","FDIC","DIF","Chicago","ATLANTA","Lexington","Cleveland","Central","Southeast","0","0","https://www.cdbt.com","409275","409275","351187","0","58079","9","0","0","","6158","5071","403117","190865","63758","148494","404204","90223","319052","361280","321206","16277","0","0","0","",""
"16852","9732","959443","1100318","Citizens Deposit Bank of Arlington, Inc.","Arlington","KY","42021","6/30/2019","11/18/2019","NM","1 Walnut Street","CARLISLE BANCORP, INC.","3","0","0","2","1","Carlisle","","","12/1/1949","12/1/1949","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Hopkinsville","St. louis","Central","Southeast","0","1","","160683","160683","147992","124","12567","0","0","0","","54012","18926","106671","1387","11345","93939","141757","18926","141757","78992","106925","11339","32512","32512","0","",""
"28060","824","647777","0","Citizens Federal Savings and Loan Association","Bellefontaine","OH","43311","6/30/2019","11/18/2019","SA","110 North Main Street","","1","0","0","5","0","Logan","","","1/1/1885","9/11/1935","7/2/2014","Non-Stock","0","0","OCC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","WWW.CITIZENSFEDERALSL.COM","118236","118236","118235","0","1","0","0","0","","57819","40880","60417","0","355","60062","77356","2060","116176","98693","106964","13884","0","0","0","",""
"27841","375","673477","0","Citizens Federal Savings and Loan Association","Covington","KY","41011","6/30/2019","11/18/2019","SA","433 Madison Ave","","1","0","0","5","0","Kenton","17140","Cincinnati, OH-KY-IN","1/1/1886","1/21/1935","7/21/2011","Non-Stock","0","0","OCC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","","22856","22856","22856","0","0","0","0","0","","5163","1968","17693","1312","146","16235","20888","146","22710","22606","22668","1119","0","0","0","",""
"34311","0","2532082","1081613","Citizens First Bank","Wartburg","TN","37887","6/30/2019","11/18/2019","NM","1015 Main Street","B.P.C. CORPORATION","7","0","0","4","1","Morgan","28940","Knoxville, TN","2/10/1997","2/10/1997","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Knoxville","Atlanta","Southern","Southeast","0","1","mycitizensfirstbank.com","155194","155194","141446","0","13748","0","0","0","","62804","36335","92390","10185","25200","57005","118859","36335","118859","151841","140595","7467","0","0","0","",""
"35477","0","2882983","3070013","Citizens First Bank","Clinton","IA","52732","6/30/2019","11/18/2019","NM","1442 Lincoln Way","CFB HOLDING COMPANY","3","0","0","4","1","Clinton","","","3/14/2000","3/14/2000","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","","173610","173610","156282","0","17328","0","0","0","","63374","23629","110236","19059","13124","78054","149981","24091","149519","153092","137046","8547","2083","2083","10043","",""
"33440","0","1867983","2012315","Citizens First Bank","The Villages","FL","32162","6/30/2019","11/18/2019","NM","1050 Lake Sumter Landing","VILLAGES BANCORPORATION, INC.","12","0","0","9","0","Sumter","45540","The Villages, FL","7/1/1991","7/1/1991","1/1/2019","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Gainesville","Atlanta","Southern","Southeast","0","1","http://www.citizensfb.com","1877843","1877843","1865830","0","12013","0","0","0","","163845","61902","1713998","1249036","251284","213678","1815941","355578","1522265","1862542","1527298","18055","0","0","0","",""
"13032","0","716954","1207561","Citizens First Bank","Viroqua","WI","54665","6/30/2019","11/18/2019","NM","101 South Main Street","FIRSNABANCO, INC.","5","0","0","4","1","Vernon","","","1/1/1912","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Madison","Chicago","Central","Central","0","1","","177987","177987","163480","0","13112","1395","0","0","","60286","33833","117701","32423","25753","59525","144154","33833","144154","138687","135490","4572","30299","19815","0","",""
"35022","0","2751007","2750952","Citizens First Bank, Inc.","Bowling Green","KY","42104","6/30/2019","11/18/2019","NM","1805 Campbell Lane","CITIZENS FIRST CORPORATION","9","0","0","4","0","Warren","14540","Bowling Green, KY","2/18/1999","2/18/1999","6/30/2019","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Hopkinsville","St. louis","Central","Southeast","0","1","","371502","371502","304383","0","59931","7188","0","0","","40088","13482","331414","27797","165195","138423","358020","13482","358020","343557","304272","18173","13769","13769","5107","",""
