cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,dep,depdom,idtrni,idtrngov,idtrnmu,idtrcomb,idtrnfc,idtrnfg,depfor,trn,ddt,ntr,ntrsmmda,ntrsoth,ntrtime,ts,depnidom,depidom,coredep,depins,irakeogh,bro,broins,DEPLSNB,depnifor,depifor
"29164","3019","828174","0","First Federal Savings and Loan Association of Valdosta","Valdosta","GA","31601","6/30/2019","11/18/2019","SA","411 N Patterson St","","4","0","0","5","0","Lowndes","46660","Valdosta, GA","9/1/1934","11/5/1934","7/21/2011","Non-Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Albany Ga","Atlanta","Southern","Southeast","0","1","","117283","117283","117284","0","0","0","0","0","","32307","13835","84977","25882","15106","43989","103449","9306","107977","111731","111799","14427","0","0","0","",""
"29135","2969","820879","4028860","First Federal Savings and Loan Association of Van Wert","Van Wert","OH","45891","6/30/2019","11/18/2019","SA","679 Fox Road","FIRST FEDERAL SAVINGS & LOAN ASSOCIATION OF VAN WERT, MHC","1","0","0","5","0","Van Wert","","","1/1/1893","12/20/1935","11/2/2012","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","0","1","","87670","87670","87670","0","0","0","0","0","","20001","9449","67669","0","38901","28768","78221","10769","76901","85144","82562","6880","0","0","0","",""
"28635","2004","198073","3308051","First Federal Savings and Loan Bank","Olathe","KS","66061","6/30/2019","11/18/2019","NM","700 East Santa Fe Street","FIRST FEDERAL OF OLATHE BANCORP, INC.","1","0","0","5","1","Johnson","28140","Kansas City, MO-KS","1/1/1923","11/20/1934","11/14/2011","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","0","1","","76521","76521","66303","0","281","9937","0","0","","0","0","76521","8133","2921","65467","76521","1118","75403","32516","71070","0","39899","37754","0","",""
"29056","2838","613679","3832284","First Federal Savings Bank","Evansville","IN","47715","6/30/2019","11/18/2019","NM","5001 Davis Lant Drive","FIRST BANCORP OF INDIANA, INC.","9","0","0","4","0","Vanderburgh","21780","Evansville, IN-KY","7/1/1934","10/27/1934","10/31/2011","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Indianapolis","St. louis","Central","Central","0","1","www.firstfedevansville.com","295062","295062","276154","0","18908","0","0","0","","139326","77737","155736","6010","64246","85480","217325","31595","263467","251534","243804","5811","35624","35624","0","",""
"28924","2631","771878","0","First Federal Savings Bank","Ottawa","IL","61350","6/30/2019","11/18/2019","SA","633 La Salle St","","12","0","0","5","0","La Salle","","","1/1/1889","11/26/1934","7/21/2011","Non-Stock","0","0","OCC","DIF","Chicago","CHICAGO","Princeton","Chicago","Central","Central","0","1","","321216","321216","321217","0","0","0","0","0","","17793","2087","303424","21184","121828","160412","319130","14749","306467","307094","301648","13042","0","0","0","",""
"31516","7101","257578","2389996","First Federal Savings Bank","Rochester","IN","46975","6/30/2019","11/18/2019","SA","301 East 9th Street","AMERICAN MIDWEST FINANCIAL CORPORATION","6","0","0","5","0","Fulton","","","1/1/1965","2/9/1966","7/21/2011","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","0","1","","330565","330565","320421","0","10143","0","0","0","","188332","188332","142232","0","699","141533","142232","40313","290252","302290","302148","12619","0","0","0","",""
"29690","3892","107570","2514136","First Federal Savings Bank","Huntington","IN","46750","6/30/2019","11/18/2019","NM","648 N Jefferson St","NORTHEAST INDIANA BANCORP, INC.","6","0","0","4","0","Huntington","","","1/1/1932","8/19/1935","6/30/2012","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","0","1","","246179","246179","226422","0","19757","0","0","0","","129716","29880","116463","13160","25334","77969","216299","29880","216299","170401","201676","4804","38028","38028","6401","",""
"28769","2324","158376","0","First Federal Savings Bank of Angola","Angola","IN","46703","6/30/2019","11/18/2019","SA","212 E Maumee","","1","0","0","5","0","Steuben","","","1/1/1933","11/15/1934","7/21/2011","Non-Stock","0","0","OCC","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","0","1","","102549","102549","94536","0","8013","0","0","0","","41835","18675","60714","1946","27899","30868","83874","19307","83242","99347","93303","8103","0","0","0","",""
"28445","1611","346771","2507642","First Federal Savings Bank of Champaign Urbana","Champaign","IL","61820","6/30/2019","11/18/2019","SA","1311 S. Neil St.","GREAT AMERICAN BANCORP, INC.","2","0","0","4","0","Champaign","16580","Champaign-Urbana, IL","1/1/1908","8/19/1936","7/21/2011","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Champaign","Chicago","Central","Central","0","1","","149735","149735","149735","0","0","0","0","0","","76524","75991","73211","25049","33768","14394","73744","34373","115362","149232","139401","4544","0","0","0","",""
"29937","4381","741974","3824476","First Federal Savings Bank of Kentucky","Frankfort","KY","40601","6/30/2019","11/18/2019","SA","216 W Main St","FIRST FEDERAL MHC","6","0","0","5","0","Franklin","","","1/1/1934","4/15/1938","12/9/2015","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Lexington","St. louis","Central","Southeast","0","1","","152542","152542","149908","0","631","2003","0","0","","19313","19313","133229","11098","25106","97024","133229","6156","146386","146694","142978","12847","0","0","0","",""
"30315","5153","42372","0","First Federal Savings Bank of Lincolnton","Lincolnton","NC","28092","6/30/2019","11/18/2019","SA","320 E Main St","","4","0","0","5","0","Lincoln","16740","Charlotte-Concord-Gastonia, NC-SC","1/1/1940","9/29/1947","7/21/2011","Non-Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Charlotte","Richmond","Northeastern","Southeast","0","1","","326789","326789","319949","0","6841","0","0","0","","53940","50189","272850","74005","19028","179817","276601","20596","306193","271567","297844","29135","17010","17010","0","",""
"28845","2479","582971","0","First Federal Savings Bank of Twin Falls","Twin Falls","ID","83303","6/30/2019","11/18/2019","SA","383 Shoshone Street North","","12","0","0","4","0","Twin Falls","46300","Twin Falls, ID","1/1/1916","3/18/1935","1/17/2017","Non-Stock","0","0","OCC","DIF","San Francisco","SAN FRANCISCO","Salt Lake City","San Francisco","Western","Western","0","1","http://www.BankFirstFed.com","580068","580068","558575","3","21490","0","0","0","","1178","1178","578890","60609","432422","85859","578890","165864","414203","569916","510837","28530","0","0","0","",""
