cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,igltrad,iglrtex,iglfxex,igledex,iglcmex,IGLCREX
"1972","14087","657758","1857779","Citizens Bank & Trust Company","Big Timber","MT","59011","6/30/2019","11/18/2019","SM","130 Mcleod Street","CBT CORPORATION, INC.","2","0","0","2","0","Sweet Grass","","","1/1/1927","1/1/1934","10/18/2018","Stock","0","1","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","","","","","","",""
"5469","14676","925055","1051401","Citizens Bank & Trust Company","Saint Paul","NE","68873","6/30/2019","11/18/2019","NM","721 Seventh Street","HOWARD COUNTY LAND AND CATTLE CO.","3","0","0","2","0","Howard","24260","Grand Island, NE","1/1/1888","1/1/1934","3/14/2017","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","West","0","1","","","","","","",""
"1376","0","357937","1084472","Citizens Bank & Trust Company","Plaquemine","LA","70764","6/30/2019","11/18/2019","NM","57910 Main Street","CITIZENS BANCORPORATION, INC.","7","0","0","4","0","Iberville","12940","Baton Rouge, LA","7/5/1916","1/1/1934","7/31/2017","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","","","","","","",""
"16780","12612","364131","1129805","Citizens Bank & Trust Company","Eastman","GA","31023","6/30/2019","11/18/2019","NM","5101 Fifth Avenue","CITIZENS CORPORATION","4","0","0","4","1","Dodge","","","1/1/1934","4/1/1949","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Albany Ga","Atlanta","Southern","Southeast","0","1","","","","","","",""
"16417","0","384830","0","Citizens Bank & Trust Company","Covington","LA","70433","6/30/2019","11/18/2019","NM","222 New Hampshire Street","","5","0","0","4","0","Saint Tammany","35380","New Orleans-Metairie, LA","12/31/1945","5/10/1946","7/29/2015","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","","","","","","",""
"6100","0","321152","1823550","Citizens Bank & Trust Company","Atwood","TN","38220","6/30/2019","11/18/2019","NM","1359 West Main Street","BUMPUSHARES, INC.","1","0","0","7","1","Carroll","","","2/5/1927","1/1/1934","6/2/2010","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Nashville","St. louis","Southern","Southeast","0","1","http://www.citizensbankatwood.com","0","","","","",""
"15675","9331","829041","1099140","Citizens Bank & Trust Company","Campbellsville","KY","42718","6/30/2019","11/18/2019","NM","201 East Main Street","FIRST BANCORP, INC.","4","0","0","8","0","Taylor","","","1/1/1939","7/22/1939","3/31/2006","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Elizabethtown","St. louis","Central","Southeast","0","1","","","","","","",""
"19744","10821","767554","3010288","Citizens Bank & Trust Company of Vivian, Louisiana","Vivian","LA","71082","6/30/2019","11/18/2019","NM","120 West Arkansas Avenue","C B & T BANCSHARES, INC.","4","0","0","8","1","Caddo","43340","Shreveport-Bossier City, LA","9/14/1967","9/14/1967","10/1/2010","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Shreveport","Dallas","Southern","Western","0","1","","","","","","",""
"27153","13138","1163283","3839313","Citizens Bank & Trust, Inc.","Trenton","GA","30752","6/30/2019","11/18/2019","SA","12255 South Main Street","TAG BANCSHARES INC.","3","0","1","8","0","Dade","16860","Chattanooga, TN-GA","1/18/1988","2/1/1996","7/21/2011","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","0","1","www.citizensbanktrenton.com","","","","","",""
"5673","16128","701839","3200874","Citizens Bank and Trust","Frostproof","FL","33843","6/30/2019","11/18/2019","NM","2 East Wall Street","CITIZENS BANKING CORPORATION","15","0","0","4","1","Polk","29460","Lakeland-Winter Haven, FL","5/13/1920","1/1/1934","8/6/2007","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Tampa","Atlanta","Southern","Southeast","0","1","","","","","","",""
