cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,lnls,lnrs3les,lnrs3t12,lnrs1t3,lnrs3t5,lnrs5t15,lnrsov15,lnot3les,lnot3t12,lnot1t3,lnot3t5,lnot5t15,lnotov15
"307","0","535034","1085460","Landmark Bank","Clinton","LA","70722","6/30/2019","11/18/2019","NM","12225 St. Helena Street","CLINTON BANCSHARES, INC.","5","0","0","4","1","East Feliciana","12940","Baton Rouge, LA","11/1/1897","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","","92714","6750","6983","9755","13972","768","0","12050","17214","13186","4088","5386","744"
"34982","0","2758024","0","Landmark Community Bank","Collierville","TN","38017","6/30/2019","11/18/2019","NM","1015 West Poplar Avenue","","8","0","0","5","0","Shelby","32820","Memphis, TN-MS-AR","3/15/1999","3/15/1999","3/24/2014","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Memphis","St. louis","Southern","Southeast","0","1","HTTPS://WWW.LCBTN.BANK","808031","39804","34458","37378","31740","89232","284086","139482","6666","9357","30915","44922","56389"
"57112","0","2963547","3734762","Landmark Community Bank","Pittston","PA","18640","6/30/2019","11/18/2019","SM","2 South Main Street","LANDMARK BANCORP INC","6","0","0","4","0","Luzerne","42540","Scranton-Wilkes-Barre-Hazleton, PA","3/1/2001","3/1/2001","6/26/2018","Stock","0","0","FED","DIF","New York","NEW YORK","Philadelphia","Philadelphia","Northeastern","Northeast","0","1","","237461","3077","781","2935","2581","10800","14294","30833","9364","37666","44505","64301","14589"
"5826","13644","481177","3030307","Landmark National Bank","Manhattan","KS","66502","6/30/2019","11/18/2019","N","701 Poyntz Avenue","LANDMARK BANCORP, INC.","29","0","0","4","0","Riley","31740","Manhattan, KS","5/2/1919","1/1/1934","11/1/2013","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","0","1","www.banklandmark.com","529635","16597","12333","13108","10795","66197","26438","86600","76746","64377","88508","40409","19720"
"11601","0","178150","1128189","Laona State Bank","Laona","WI","54541","6/30/2019","11/18/2019","NM","5308 Beech Street","NORTHERN WISCONSIN BANK HOLDING COMPANY, INC.","7","0","0","8","0","Forest","","","1/1/1914","1/1/1934","7/5/2007","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Appleton","Minneapolis","Central","Central","0","1","","113519","3279","8045","23789","15015","2630","88","9629","11414","15414","13434","5139","912"
"22839","0","51356","1066964","Latimer State Bank","Wilburton","OK","74578","6/30/2019","11/18/2019","NM","301 West Main Street","FIRST LATIMER CORPORATION","1","0","0","7","1","Latimer","","","4/9/1979","4/9/1979","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","","14642","120","425","853","906","866","0","5649","2899","1058","819","470","0"
"58257","0","3428258","3958821","LAUREL ROAD BANK","Darien","CT","6820","6/30/2019","11/18/2019","NM","1001 Post Rd","ALCAR INC.","3","0","0","4","0","Fairfield","14860","Bridgeport-Stamford-Norwalk, CT","4/24/2006","4/24/2006","10/1/2019","Stock","0","1","FDIC","DIF","New York","NEW YORK","Hartford","New York","Northeastern","Northeast","0","1","","262196","1710","3959","2323","1240","18632","65855","8771","19843","6960","29775","82336","19598"
"15320","0","855648","1204113","Laurens State Bank","Laurens","IA","50554","6/30/2019","11/18/2019","NM","102 South Third Street","LAURENS BANCORP., LTD.","3","0","0","2","1","Pocahontas","","","5/1/1935","12/16/1935","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","","28273","68","201","1517","1258","1067","616","2446","6407","5685","6099","1797","1112"
"29186","3067","834175","0","Lawrenceburg Federal Bank","Lawrenceburg","TN","38464","6/30/2019","11/18/2019","SB","118 West Gaines Street","","1","0","0","5","0","Lawrence","","","10/1/1934","6/5/1935","5/31/2012","Non-Stock","0","0","FDIC","DIF","Dallas","DALLAS","Nashville","Atlanta","Southern","Southeast","0","1","","61642","3506","8285","7707","14639","21125","849","87","623","695","1080","3009","38"
"58148","0","3407084","0","LCA Bank Corporation","Park City","UT","84098","6/30/2019","11/18/2019","NM","1441 W Ute Blvd, # 260","","1","0","0","8","0","Summit","","","1/26/2006","1/26/2006","5/24/2019","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Salt Lake City","San Francisco","Western","West","0","0","","155195","0","0","0","0","0","0","1636","11663","76865","56430","7318","171"
"6623","0","785923","2759900","LCNB National Bank","Lebanon","OH","45036","6/30/2019","11/18/2019","N","2 N. Broadway St","LCNB CORP.","35","0","0","4","0","Warren","17140","Cincinnati, OH-KY-IN","5/10/1877","1/1/1934","5/31/2018","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","0","0","","1230261","8271","20054","20550","22894","148051","62224","95608","36858","62728","119071","291443","339546"
"12259","12563","1015252","2148586","Lea County State Bank","Hobbs","NM","88241","6/30/2019","11/18/2019","SM","1017 North Turner","LEA COUNTY BANCSHARES, INC.","3","0","0","7","1","Lea","","","1/1/1928","1/1/1934","9/14/2015","Stock","0","1","FED","DIF","Dallas","DALLAS","Albuquerque","Dallas","Western","West","0","1","www.onlinelcsb.com","92307","0","704","3","176","94","1210","15484","11404","32384","13131","7392","10325"
"8283","15390","893855","2963501","Lead Bank","Garden City","MO","64747","6/30/2019","11/18/2019","NM","D And 3rd Streets","LEAD FINANCIAL GROUP, INC.","3","0","0","4","1","Cass","28140","Kansas City, MO-KS","1/12/1928","1/1/1934","11/21/2012","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","","286739","6509","4502","3869","11024","658","8001","44231","72517","61511","65674","765","2872"
"57134","0","3109146","3439236","Leader Bank, National Association","Arlington","MA","2476","6/30/2019","11/18/2019","N","141 Massachusetts Avenue","LEADER BANCORP, INC","7","0","0","4","0","Middlesex","14460","Boston-Cambridge-Newton, MA-NH","5/8/2002","5/8/2002","7/6/2011","Stock","0","0","OCC","DIF","New York","NEW YORK","North Boston","Boston","Northeastern","Northeast","0","1","www.leaderbank.com","1327802","141601","14601","22170","105089","64460","245323","126586","51513","71923","345297","112903","25522"
"33418","10057","1863097","3625123","Ledyard National Bank","Norwich","VT","5055","6/30/2019","11/18/2019","N","320 Main Street","LEDYARD FINANCIAL GROUP, INC.","10","0","1","4","0","Windsor","","","5/22/1991","5/22/1991","7/30/2008","Stock","0","1","OCC","DIF","New York","NEW YORK","Springfield Ma","Boston","Northeastern","Northeast","0","1","www.ledyardbank.com","319563","3816","8699","6508","6327","43938","48633","12117","18098","39354","64669","58174","7044"
