cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,lnreres,LNRERSFM,LNRERSF2,lnreloc,LNRERSF1
"20727","13287","384652","4517298","Dallas Capital Bank, National Association","Dallas","TX","75240","6/30/2019","11/18/2019","N","14185 Dallas Parkway","PARK CITIES FINANCIAL GROUP, INC.","1","0","0","4","0","Dallas","19100","Dallas-Fort Worth-Arlington, TX","6/26/1972","6/26/1972","6/27/2016","Stock","0","0","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","","79158","78980","178","0","50873"
"20931","9758","530703","1143285","Damariscotta Bank & Trust Co.","Damariscotta","ME","4543","6/30/2019","11/18/2019","NM","25 Main Street","DAMARISCOTTA BANKSHARES, INC.","6","0","0","8","0","Lincoln","","","1/22/1973","1/22/1973","5/3/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","Concord","Boston","Northeastern","Northeast","0","1","","77504","65610","1077","10817","24802"
"14772","0","223845","1250464","Danville State Savings Bank","New London","IA","52645","6/30/2019","11/18/2019","NM","102 South Walnut","DANVILLE BANCSHARES, INC.","2","0","0","8","1","Henry","","","1/1/1899","10/1/1934","8/15/2016","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","","30652","30389","0","263","0"
"35510","16693","644954","0","Davidson Trust Co.","Great Falls","MT","59401","6/30/2019","11/18/2019","SA","8 3rd St. North, Suite 200","","7","0","1","5","0","Cascade","24500","Great Falls, MT","1/1/2001","1/1/2001","7/21/2011","Stock","0","1","OCC","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","0","","0","0","0","0","0"
"2453","0","357526","2878294","Davis Trust Company","Elkins","WV","26241","6/30/2019","11/18/2019","NM","227 Davis Avenue","DAVIS TRUST FINANCIAL CORPORATION","2","0","0","4","0","Randolph","","","6/17/1901","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Scott Depot","Richmond","Northeastern","Northeast","0","1","","27411","25097","216","2098","17698"
"1522","0","460341","4928344","De Witt Bank and Trust Company","De Witt","AR","72042","6/30/2019","11/18/2019","NM","2nd And Jefferson Streets","STONE BANCSHARES, INC.","2","0","0","2","0","Arkansas","","","1/1/1929","1/1/1934","9/19/2019","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Western","0","1","","1833","1833","0","0","0"
"29535","3613","324975","0","De Witt Savings Bank","Clinton","IL","61727","6/30/2019","11/18/2019","SB","302 West Main Street","","2","0","0","6","0","Dewitt","","","1/1/1887","8/1/1936","4/1/2017","Non-Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Champaign","Chicago","Central","Central","0","1","","35902","34286","209","1407","19678"
"27269","5366","271275","0","Dean Co-operative Bank","Franklin","MA","2038","6/30/2019","11/18/2019","SB","21 Main Street","","4","0","0","5","0","Norfolk","14460","Boston-Cambridge-Newton, MA-NH","1/1/1889","5/11/1988","2/4/2016","Non-Stock","0","0","FDIC","DIF","New York","NEW YORK","South Boston","Boston","Northeastern","Northeast","0","1","www.deanbank.com","177104","151119","10145","15840","26426"
"29874","4241","1005075","0","Dearborn Federal Savings Bank","Dearborn","MI","48124","6/30/2019","11/18/2019","SA","22315 W Michigan Ave","","5","0","0","5","0","Wayne","19820","Detroit-Warren-Dearborn, MI","1/1/1936","8/31/1938","7/21/2011","Non-Stock","0","0","OCC","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","0","1","","189243","187942","244","1057","14676"
"29926","4354","738572","3254925","Dearborn Savings Bank","Lawrenceburg","IN","47025","6/30/2019","11/18/2019","SA","595 West Eads Parkway","DSA FINANCIAL CORPORATION","1","0","0","4","0","Dearborn","17140","Cincinnati, OH-KY-IN","1/1/1891","2/12/1938","7/21/2011","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","0","1","","65089","58476","290","6323","28371"
"6101","14562","66154","2201883","Decatur County Bank","Decaturville","TN","38329","6/30/2019","11/18/2019","SM","56 N. Pleasant St.","DECATUR BANCSHARES, INC","4","0","0","4","1","Decatur","","","11/16/1899","1/1/1934","12/31/2015","Stock","0","0","FED","DIF","Dallas","DALLAS","Nashville","St. louis","Southern","Southeast","0","1","","28083","26659","362","1062","3737"
"15200","11743","872047","1201738","Decorah Bank & Trust Company","Decorah","IA","52101","6/30/2019","11/18/2019","NM","202 East Water Street","SECURITY AGENCY, INCORPORATED","3","0","0","2","1","Winneshiek","","","6/10/1935","6/28/1935","10/26/2007","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","http://www.decorahbank.com","58868","40605","5236","13027","26868"
