cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,scage,idscas,scaot,scspn,scfmn,scgnm,sccol,SCCPTG,SCCMOG
"54","9285","672537","1079067","The Exchange Bank of Alabama","Altoona","AL","35952","6/30/2019","11/18/2019","NM","Sixth And Blount Streets","GADSDEN CORPORATION, THE","5","0","0","4","0","Etowah","23460","Gadsden, AL","3/10/1909","1/1/1934","8/12/2019","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","0","1","www.exba.com","46524","3326","","","28005","477","5281","9435","0"
"16094","0","362043","1203910","The Exchange State Bank","Springville","IA","52336","6/30/2019","11/18/2019","NM","253 Broadway","COUNTRY BANCORPORATION","2","0","0","2","0","Linn","16300","Cedar Rapids, IA","1/1/1934","9/22/1943","8/5/2009","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","","1146","1146","","","0","","0","0","0"
"14556","0","534859","2124816","The Exchange State Bank of St. Paul, Kansas","Saint Paul","KS","66771","6/30/2019","11/18/2019","NM","408 5th Street","SOUTHEAST KANSAS BANCSHARES, INC.","3","0","0","2","0","Neosho","","","9/26/1914","7/6/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Springfield Mo","Kansas City","Western","Western","0","1","","11033","11025","","","8","","0","0","0"
"2068","15551","520423","0","The Fahey Banking Company","Marion","OH","43302","6/30/2019","11/18/2019","NM","127 North Main Street","","4","0","0","4","0","Marion","","","5/1/1865","1/1/1934","1/10/2019","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","www.faheybank.com","42581","2493","","","25498","","14590","0","0"
"3792","13544","640246","2107305","The Fairfield National Bank","Fairfield","IL","62837","6/30/2019","11/18/2019","N","220 East Main Street","FAIRFIELD BANCSHARES, INC.","3","0","0","2","0","Wayne","","","2/3/1903","1/1/1934","3/31/2006","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","0","1","http://www.fnbcommunitybank.com","80926","747","","","49993","1739","28447","0","0"
"1829","0","503547","2033440","The Fairmount State Bank","Fairmount","IN","46928","6/30/2019","11/18/2019","SM","101 North Main Street","FAIRMOUNT BANKING COMPANY","1","0","0","2","0","Grant","","","12/18/1902","1/1/1934","1/1/2012","Stock","0","1","FED","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","0","1","","2","0","","","2","","0","0","0"
"3193","0","441050","0","The Falls City National Bank","Falls City","TX","78113","6/30/2019","11/18/2019","N","Highway 181 And Mavrick","","3","0","0","7","0","Karnes","","","3/23/1907","1/1/1934","3/31/2006","Stock","0","1","OCC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","","137595","30063","","","12223","","87707","5138","2464"
"4748","53500","458553","1055717","The Farmers  Bank of Osborne","Osborne","KS","67473","6/30/2019","11/18/2019","NM","102 West Main Street","OSBORNE INVESTMENTS, INC.","2","0","0","2","1","Osborne","","","4/1/1901","1/1/1934","1/10/2014","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Hays","Kansas City","Western","Western","0","1","","3057","2403","","","654","","0","0","0"
"1745","0","291732","0","The Farmers & Merchants Bank","Waterloo","AL","35677","6/30/2019","11/18/2019","NM","320 Main St","","2","0","0","2","0","Lauderdale","22520","Florence-Muscle Shoals, AL","7/1/1914","1/1/1934","2/24/2011","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","0","1","","28306","26352","","","1954","","0","0","0"
"16216","13011","677644","1099672","The Farmers & Merchants Bank","Stuttgart","AR","72160","6/30/2019","11/18/2019","SM","708 South Main Street","FARMERS AND MERCHANTS BANKSHARES, INC.","29","0","0","4","0","Arkansas","","","1/2/1945","1/2/1945","5/11/2019","Stock","0","1","FED","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Western","0","1","","113914","113914","","","0","0","0","0","0"
