cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,uc,ucloc,uccrcd,uccomre,uccomres,uccomreu,ucsc,ucother,ucover1,sclent,othoffbs,partconv,partacqu
"16075","12687","900034","2227182","Rayne State Bank & Trust Company","Rayne","LA","70578","6/30/2019","11/18/2019","NM","200 South Adams Avenue","FINANCIAL CORPORATION OF LOUISIANA","7","0","0","4","1","Acadia","29180","Lafayette, LA","7/1/1943","7/1/1943","3/31/2006","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","","43956","1622","0","15050","15050","0","","27284","29974","0","0","",""
"26342","0","3783948","1232497","RBC Bank, (Georgia) National Association","Atlanta","GA","30305","6/30/2019","11/18/2019","N","3475 Piedmont Rd, Ne, # 550","ROYAL BANK OF CANADA","1","0","0","5","0","Fulton","12060","Atlanta-Sandy Springs-Roswell, GA","8/30/1985","8/30/1985","2/20/2012","Stock","0","0","OCC","DIF","Atlanta","SAN FRANCISCO","Atlanta","Atlanta","Southern","Southeast","0","0","www.rbcbank.com","1870438","99371","1674666","0","0","0","0","96401","0","0","0","",""
"15399","0","945053","1130584","RCB Bank","Claremore","OK","74017","6/30/2019","11/18/2019","SM","300 W. Patti Page Boulevard","RCB HOLDING COMPANY, INC.","59","0","1","4","1","Rogers","46140","Tulsa, OK","1/14/1936","7/9/1936","4/1/2019","Stock","0","1","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","0","http://www.rcbbank.net","227868","49188","0","68424","68424","0","0","110256","83493","0","1586","",""
"26620","14595","1008674","0","Reading Co-operative Bank","Reading","MA","1867","6/30/2019","11/18/2019","SM","180 Haven Street","","8","0","0","4","0","Middlesex","14460","Boston-Cambridge-Newton, MA-NH","1/1/1886","3/27/1986","2/22/2011","Non-Stock","0","0","FED","DIF","New York","NEW YORK","North Boston","Boston","Northeastern","Northeast","0","1","","62956","25626","0","14359","14359","0","","22971","33421","0","0","",""
"9300","13237","287342","1139327","Readlyn Savings Bank","Readlyn","IA","50668","6/30/2019","11/18/2019","NM","141 Main Street","READLYN BANCSHARES, INC.","1","0","0","2","1","Bremer","47940","Waterloo-Cedar Falls, IA","5/15/1904","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","www.readlynsavingsbank.com","5281","0","0","0","0","0","0","5281","2409","0","0","",""
"34980","0","2743244","2743235","Red River Bank","Alexandria","LA","71301","6/30/2019","11/18/2019","NM","1412 Ctr Court Drive, # 101","RED RIVER BANCSHARES, INC.","25","0","0","4","0","Rapides","10780","Alexandria, LA","1/14/1999","1/14/1999","4/1/2013","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Shreveport","Atlanta","Southern","Western","0","1","http://www.RedRiverBank.net","245501","20876","9891","66917","65647","1270","0","147817","88184","0","0","",""
"15820","0","1005655","2142324","Red River State Bank","Halstad","MN","56548","6/30/2019","11/18/2019","NM","300 2nd Avenue","RED RIVER FINANCIAL SERVICES, INC.","2","0","0","2","1","Norman","","","1/1/1934","5/26/1941","12/12/2015","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","http://www.redriverbank.com","7969","0","0","875","875","0","0","7094","1341","0","0","",""
"1386","11818","799359","4498726","Red Rock Bank","Sanborn","MN","56083","6/30/2019","11/18/2019","NM","100 S Main St","J & B FINANCIAL HOLDINGS, INC.","2","0","0","2","1","Redwood","","","11/14/1901","1/1/1934","4/6/2018","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Mankato","Minneapolis","Central","West","0","1","","3231","0","0","0","0","0","","3231","0","0","0","",""
"58826","0","3591004","1064652","Redstone Bank","Centennial","CO","80016","6/30/2019","11/18/2019","NM","15765 East Arapahoe Road","MIDWEST BANC HOLDING CO.","1","0","0","4","0","Arapahoe","19740","Denver-Aurora-Lakewood, CO","7/2/2008","7/2/2008","10/1/2018","Stock","0","0","FDIC","DIF","Dallas","KANSAS CITY","Denver","Kansas City","Western","Western","0","1","www.redstonebankco.com","51051","7160","0","31520","31520","0","","12371","17361","0","0","",""
"57610","0","3247589","3552032","Redwood Capital Bank","Eureka","CA","95501","6/30/2019","11/18/2019","NM","402 G Street","REDWOOD CAPITAL BANCORP","4","0","0","4","0","Humboldt","","","3/1/2004","3/1/2004","8/10/2015","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Sacramento","San Francisco","Western","Western","0","1","","67878","23517","0","11595","9265","2330","","32766","0","0","0","",""
"58574","0","3650563","5014794","Regal Bank","Livingston","NJ","7039","6/30/2019","11/18/2019","NM","570 W. Mount Pleasant Ave.","REGAL BANCORP, INC.","11","0","0","4","0","Essex","35620","New York-Newark-Jersey City, NY-NJ-PA","12/6/2007","12/6/2007","6/5/2017","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","0","1","","18172","4964","0","12524","12524","0","","684","0","0","0","",""
"4160","13887","309655","3632000","Regent Bank","Tulsa","OK","74136","6/30/2019","11/18/2019","NM","7136 South. Yale, Suite 100","REGENT CAPITAL CORPORATION","5","0","1","4","0","Tulsa","46140","Tulsa, OK","1/1/1898","1/1/1934","6/30/2016","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","","82445","1548","0","39049","39049","0","","41848","75944","0","20245","",""
"18385","11008","579140","1904963","Regional Missouri Bank","Marceline","MO","64658","6/30/2019","11/18/2019","NM","1201 South Missouri Avenue","RMB BANCSHARES, INC.","6","0","0","2","1","Linn","","","5/13/1908","5/11/1961","9/30/2019","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Columbia Mo","Kansas City","Western","West","0","1","","23728","569","0","1585","1585","0","","21574","1549","0","0","",""
"12368","9709","233031","3242838","Regions Bank","Birmingham","AL","35203","6/30/2019","11/18/2019","SM","1900 Fifth Avenue North","REGIONS FINANCIAL CORPORATION","1471","3","1","4","0","Jefferson","13820","Birmingham-Hoover, AL","1/1/1928","1/1/1934","2/24/2011","Stock","0","1","FED","DIF","Atlanta","WASHINGTON","Shelby","Atlanta","Southern","Southeast","0","0","http://www.regions.com","52305000","7053000","6988000","6020000","4392000","1628000","0","32244000","30352000","0","0","",""
"16221","14525","108951","1363980","Reliabank Dakota","Estelline","SD","57234","6/30/2019","11/18/2019","NM","211 North Main Street","BIG SIOUX FINANCIAL, INC.","9","0","0","2","1","Hamlin","","","9/1/1920","1/2/1945","12/16/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","0","1","","50276","7241","0","5393","5393","0","","37642","8849","0","0","",""
"58602","0","3596250","3596269","Reliance Bank","Faribault","MN","55021","6/30/2019","11/18/2019","NM","2300 30th Street Northwest","RELIANCE BANCORPORATION, INC.","1","0","0","4","1","Rice","","","8/13/2007","8/13/2007","4/16/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","","22935","2161","0","4081","4081","0","","16693","10","0","0","",""
