cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,lnlsnet,lnatres,lnlsgr,lncontra,idlnls,lnre,lnredom,lnrecons,lnrenres,LNRENROW,LNRENROT,lnremult,lnreres,lnreag,lnrefor,lnag,lnci,lncinus,lncon,lncrcd,lnconrp,LNAUTO,lnconoth,lnotci,lnfg,lnmuni,idothlns,ls,lndepac,lncomre,lnrenus,rslnltot,rslnls,LNRECNFM,LNRECNOT,RB2LNRES,lnlsgrf
"34755","0","2708122","4517261","Virginia National Bank","Charlottesville","VA","22902","6/30/2019","11/18/2019","N","222 East Main Street","VIRGINIA NATIONAL BANKSHARES CORPORATION","7","0","0","4","0","Charlottesville Ci","16820","Charlottesville, VA","7/29/1998","7/29/1998","7/1/2018","Stock","0","1","OCC","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","0","1","","516946","4817","521763","0","521763","356699","356699","14321","212176","95286","116890","24432","96472","9298","","0","86462","","78454","0","24341","63","54050","148","","0","148","0","0","0","","2172","2050","1021","13300","4847",""
"58824","0","3688623","0","Virginia Partners Bank","Fredericksburg","VA","22401","6/30/2019","11/18/2019","SM","410 William Street","","4","0","1","4","0","Fredericksburg Cit","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","8/5/2008","8/5/2008","12/14/2009","Stock","0","0","FED","DIF","Atlanta","NEW YORK","Richmond","Richmond","Northeastern","Southeast","0","1","","330965","4096","335061","153","335214","290508","290508","21098","148096","65656","82440","9955","110970","389","","0","41319","","3387","0","1435","1014","938","0","","0","0","0","0","0","","0","0","13887","7211","4096",""
"4029","9919","241157","3292253","Vision Bank, National Association","Ada","OK","74820","6/30/2019","11/18/2019","N","101 East Main Street","VISION BANCSHARES, INC.","9","0","0","4","1","Pontotoc","","","11/1/1924","1/1/1934","11/30/2012","Stock","0","1","OCC","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","www.visionbank.bank","462219","6483","468702","0","468702","362024","362024","29449","118926","42460","76466","5184","175448","33017","","8983","41694","0","45950","0","89","21062","24799","10052","","744","7113","2195","0","3806","0","227","17","19076","10373","6098",""
"58063","0","3357077","3357068","VisionBank","Saint Louis Park","MN","55416","6/30/2019","11/18/2019","NM","3059 Joppa Avenue","VISION BANCSHARES, INC.","1","0","0","4","1","Hennepin","33460","Minneapolis-St. Paul-Bloomington, MN-WI","9/12/2005","9/12/2005","1/14/2019","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","","78873","928","79801","0","79801","57511","57511","5017","32335","14493","17842","2021","17516","622","","0","21684","","606","0","0","205","401","0","","0","0","0","0","0","","147","147","912","4105","863",""
"57892","0","3270046","3270037","VISIONBank","Fargo","ND","58103","6/30/2019","11/18/2019","NM","3000 25th Street South","VISION BANK HOLDINGS, INC.","3","0","0","4","0","Cass","22020","Fargo, ND-MN","12/31/2004","12/31/2004","7/15/2013","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","http://www.visionbanks.com","177992","1655","179647","0","179647","119426","119426","7754","56272","26326","29946","9298","44562","1540","","0","51689","","8468","0","1841","2274","4353","63","","0","44","19","0","0","","2137","2137","1572","6182","1655",""
"58000","0","3312124","4602000","VisionBank","Topeka","KS","66614","6/30/2019","11/18/2019","NM","3031 Sw Wanamaker Road","HYS INVESTMENTS, LLC","3","0","0","4","0","Shawnee","45820","Topeka, KS","4/29/2005","4/29/2005","6/30/2016","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","0","1","","160603","1886","162489","0","162489","122412","122412","11229","57868","19816","38052","5656","46762","897","","894","36161","","2963","0","0","1927","1036","60","","0","60","0","0","0","","880","464","6918","4311","1870",""
"11763","0","269049","4442596","VISIONBANK OF IOWA","Ames","IA","50010","6/30/2019","11/18/2019","SM","104 Chestnut St","VISIONBANKSHARES, INC.","8","0","0","4","1","Story","11180","Ames, IA","6/1/1884","1/1/1934","9/29/2017","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","","409388","4925","414313","187","414500","367735","367735","62121","171939","70035","101904","39502","62290","31883","","11722","30858","","632","243","10","37","342","3553","","3054","499","0","0","0","","77","0","17169","44952","4925",""
"7748","9875","678717","2367921","VIST Bank","Wyomissing","PA","19610","6/30/2019","11/18/2019","NM","1240 Broadcasting Road","TOMPKINS FINANCIAL CORPORATION","23","0","0","4","0","Berks","39740","Reading, PA","4/8/1891","1/1/1934","1/1/2016","Stock","0","0","FDIC","DIF","New York","NEW YORK","Harrisburg","Philadelphia","Northeastern","Northeast","0","0","http://www.vistbank.com","1339961","9418","1349379","0","1349379","1123511","1123511","61627","524019","175465","348554","98245","375040","64580","","10453","138646","0","3269","0","721","343","2205","73500","","73500","0","0","0","0","0","1569","0","14095","47532","9683",""
"1210","0","645465","1135897","Vista Bank","Ralls","TX","79357","6/30/2019","11/18/2019","SM","901 Main Street","VISTA BANCSHARES, INC.","18","0","0","4","0","Crosby","31180","Lubbock, TX","1/25/1912","1/1/1934","9/10/2019","Stock","0","1","FED","DIF","Dallas","DALLAS","Lubbock","Dallas","Southern","West","0","1","http://www.vistabank.com","642902","6142","649044","0","649044","467457","467457","108913","187473","62140","125333","43950","88079","39042","","48581","119921","0","6819","0","0","4876","1943","6266","","0","990","5276","0","0","0","2056","2056","23857","85056","6142",""
"31694","7350","170275","0","Volunteer Federal Savings Bank","Madisonville","TN","37354","6/30/2019","11/18/2019","SB","108 Main Street","","6","0","0","6","0","Monroe","","","1/1/1973","3/15/1974","1/1/2017","Non-Stock","0","0","FDIC","DIF","Dallas","DALLAS","Knoxville","Atlanta","Southern","Southeast","0","1","www.volfed.com","128878","626","129504","0","129504","118526","118526","9972","4765","2849","1916","513","102585","691","","0","1069","","9909","0","820","4155","4934","0","","0","0","0","0","1069","","107","0","3819","6153","626",""
