cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,NTRCDSM,NTRTMMED,IDcd3less,IDcd3t12s,IDcd1t3s,IDcdov3s,NTRTMLGJ,IDcd3les,IDcd3t12,Idcd1t3,IDcdov3
"11417","0","215653","1126073","Welcome State Bank","Welcome","MN","56181","6/30/2019","11/18/2019","SM","111 Guide Street North","WELCOME BANCSHARES, INC.","1","0","0","2","1","Martin","","","1/1/1913","1/1/1934","1/18/2007","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Mankato","Minneapolis","Central","West","0","1","","4279","1241","1128","2314","1682","396","1100","600","0","0","500"
"26605","12405","278078","4325121","Wellesley Bank","Wellesley","MA","2482","6/30/2019","11/18/2019","SB","40 Central Street","WELLESLEY BANCORP INC","7","0","0","4","0","Norfolk","14460","Boston-Cambridge-Newton, MA-NH","1/1/1911","3/27/1986","1/1/2016","Stock","0","0","FDIC","DIF","New York","NEW YORK","North Boston","Boston","Northeastern","Northeast","0","1","","82582","52517","44246","70361","19070","1423","91042","11452","48406","29724","1460"
"1219","0","371362","2007218","Wellington State Bank","Wellington","TX","79095","6/30/2019","11/18/2019","SM","1000 Eighth Street","WSB BANCSHARES, INC.","10","0","0","2","1","Collingsworth","","","1/1/1906","1/1/1934","10/29/2016","Stock","0","0","FED","DIF","Dallas","DALLAS","Lubbock","Dallas","Southern","West","0","1","","21250","34671","10239","36863","5931","2888","21547","9308","9533","2453","253"
"14025","0","646556","1248779","Wells Bank","Platte City","MO","64079","6/30/2019","11/18/2019","NM","1100 Branch Street","WELLS BANCSHARES, INC.","5","0","0","4","1","Platte","28140","Kansas City, MO-KS","3/7/1934","3/9/1934","4/9/2018","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","http://www.wells-bank.com","26118","9542","5651","21444","8335","229","5364","2002","2757","606","0"
"5146","0","2362458","1120754","Wells Fargo Bank South Central, National Association","Houston","TX","77077","6/30/2019","11/18/2019","N","2005 Taylor Street","WELLS FARGO & COMPANY","1","0","0","5","0","Harris","26420","Houston-The Woodlands-Sugar Land, TX","6/18/1894","1/1/1934","11/1/2009","Stock","0","0","OCC","DIF","Dallas","WASHINGTON","Houston","Dallas","Southern","West","0","0","www.wellsfargo.com","0","0","0","0","0","0","0","0","0","0","0"
"25890","0","167565","1120754","Wells Fargo Bank, Ltd.","Los Angeles","CA","90017","6/30/2019","11/18/2019","NM","707 Wilshire Boulevard","WELLS FARGO & COMPANY","1","0","0","7","0","Los Angeles","31080","Los Angeles-Long Beach-Anaheim, CA","2/8/1985","2/8/1985","3/20/2018","Stock","0","1","FDIC","DIF","San Francisco","SAN FRANCISCO","Los Angeles (North)","San Francisco","Western","Western","0","0","www.wellsfargo.com","0","0","0","0","0","0","500","500","0","0","0"
"3511","0","451965","1120754","Wells Fargo Bank, National Association","Sioux Falls","SD","57104","6/30/2019","11/18/2019","N","101 N. Phillips Avenue","WELLS FARGO & COMPANY","5596","30","1","9","0","Minnehaha","43620","Sioux Falls, SD","1/1/1870","1/1/1934","3/28/2019","Stock","0","1","OCC","DIF","Kansas City","WASHINGTON","Sioux Falls","Minneapolis","Western","West","0","0","www.wellsfargo.com","77142000","9259000","13811000","36345000","26930000","9315000","48448000","39585000","7637000","1048000","178000"
"27389","0","1225761","1120754","Wells Fargo National Bank West","Las Vegas","NV","89102","6/30/2019","11/18/2019","N","4455 Spring Mountain Road","WELLS FARGO & COMPANY","1","0","0","5","0","Clark","29820","Las Vegas-Henderson-Paradise, NV","12/1/1988","12/1/1988","4/15/2019","Stock","0","0","OCC","DIF","San Francisco","WASHINGTON","Phoenix","San Francisco","Western","West","0","0","http://www.wellsfargo.com","0","0","0","0","0","0","0","0","0","0","0"
"14136","12132","303701","0","Wells River Savings Bank","Wells River","VT","5081","6/30/2019","11/18/2019","SB","34 Main Street","","6","0","0","5","0","Orange","","","1/1/1892","3/31/1934","3/31/2006","Non-Stock","0","0","FDIC","DIF","New York","NEW YORK","Springfield Ma","Boston","Northeastern","Northeast","0","1","","27602","4459","4184","9591","4493","13793","1380","301","291","529","259"
"17401","0","423841","1132412","Wenona State Bank","Wenona","IL","61377","6/30/2019","11/18/2019","NM","105 West First South Street","WENONA BANCORP, INC.","1","0","0","2","0","Marshall","37900","Peoria, IL","1/1/1934","2/14/1955","8/9/2016","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Princeton","Chicago","Central","Central","0","1","","7608","890","1184","3547","3474","292","0","0","0","0","0"
