cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,Lnrenr4,Lnrenr1,Lnrenr2,Lnrenr3,Lnci4,Lnci1,Lnci2,Lnci3,Lnreag4,Lnreag1,Lnreag2,Lnreag3,Lnag4,Lnag1,Lnag2,Lnag3,Lnrenr4N,Lnrenr1N,Lnrenr2N,Lnrenr3N,Lnci4N,Lnci1N,Lnci2N,Lnci3N,Lnreag4N,Lnreag1N,Lnreag2N,Lnreag3N,Lnag4N,Lnag1N,Lnag2N,Lnag3N
"33188","0","1494914","3107964","Shinhan Bank America","New York","NY","10001","6/30/2019","11/18/2019","NM","330 Fifth Avenue, 4th Floor","SHINHAN FINANCIAL GROUP CO., LTD.","16","0","1","4","0","New York","35620","New York-Newark-Jersey City, NY-NJ-PA","10/18/1990","10/18/1990","1/29/2019","Stock","0","0","FDIC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","http://www.shbamerica.com","120575","219","6166","114190","89547","8565","20917","60065","0","0","0","0","0","0","0","0","282","3","46","233","536","203","172","161","0","0","0","0","0","0","0","0"
"34253","0","2539081","0","Shore Community Bank","Toms River","NJ","8753","6/30/2019","11/18/2019","NM","1012 Hooper Avenue","","5","0","0","4","0","Ocean","35620","New York-Newark-Jersey City, NY-NJ-PA","2/24/1997","2/24/1997","11/12/2009","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","","46185","1324","8411","36450","6291","641","2543","3107","248","0","0","248","0","0","0","0","173","31","53","89","57","23","21","13","1","0","0","1","0","0","0","0"
"4832","13973","933023","2429838","Shore United Bank","Easton","MD","21601","6/30/2019","11/18/2019","SM","18 Dover Street","SHORE BANCSHARES, INC.","21","0","1","4","0","Talbot","","","6/1/1876","1/1/1934","1/14/2019","Stock","0","0","FED","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","shoreunitedbank.com","121753","2015","13161","106577","34469","6173","6519","21777","6158","560","1161","4437","881","221","613","47","405","50","99","256","636","447","99","90","34","10","10","14","24","18","4","2"
"11764","15826","598543","1199808","Sibley State Bank","Sibley","IA","51249","6/30/2019","11/18/2019","NM","803 Fourth Avenue","CYPRESS CORPORATION","1","0","0","2","0","Osceola","","","1/1/1894","1/1/1934","7/15/2019","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Sioux City","Chicago","Western","Western","0","1","","2363","324","289","1750","2040","428","590","1022","8176","533","3405","4238","36922","18582","13870","4470","15","7","3","5","35","27","5","3","47","10","22","15","686","523","143","20"
"12722","10808","1002458","0","Sicily Island State Bank","Sicily Island","LA","71368","6/30/2019","11/18/2019","NM","301 Newman Street","","2","0","0","4","1","Catahoula","","","2/1/1918","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Shreveport","Dallas","Southern","Western","0","1","","6656","730","1721","4205","6127","2195","682","3250","1192","195","401","596","11","11","0","0","63","40","13","10","123","107","8","8","15","10","3","2","1","1","0","0"
"29379","3360","304575","0","Sidney Federal Savings and Loan Association","Sidney","NE","69162","6/30/2019","11/18/2019","SA","1045 10th Avenue","","1","0","0","5","0","Cheyenne","","","1/1/1899","2/24/1936","7/21/2011","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","West","0","1","","71","71","0","0","678","43","635","0","0","0","0","0","0","0","0","0","2","2","0","0","6","2","4","0","0","0","0","0","0","0","0","0"
"17232","13603","648345","3621497","Sidney State Bank","Sidney","MI","48885","6/30/2019","11/18/2019","NM","3016 West Sidney Road","SIDNEY BANCORP.","2","0","0","5","0","Montcalm","24340","Grand Rapids-Wyoming, MI","10/10/1921","6/15/1953","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Grand Rapids","Chicago","Central","Central","0","1","https://www.sidneybank.com","7039","1262","1719","4058","4045","2021","1134","890","4093","498","953","2642","1232","716","516","0","51","30","12","9","88","74","12","2","26","11","7","8","35","31","4","0"
"57053","0","2942690","0","Signature Bank","New York","NY","10017","6/30/2019","11/18/2019","NM","565 Fifth Avenue","","33","0","1","4","0","New York","35620","New York-Newark-Jersey City, NY-NJ-PA","4/12/2001","4/12/2001","1/1/2018","Stock","0","0","FDIC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","http://www.signatureny.com","227169","100","3230","223839","1988294","244312","486672","1257310","0","0","0","0","0","0","0","0","382","1","19","362","16169","7746","4227","4196","0","0","0","0","0","0","0","0"
"58264","0","3437483","3437492","Signature Bank","Rosemont","IL","60018","6/30/2019","11/18/2019","NM","9450 W Bryn Mawr Ave, Ste 30","SIGNATURE BANCORPORATION, INC.","4","0","1","4","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","8/4/2006","8/4/2006","6/24/2019","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","","37585","134","1216","36235","41917","3229","5885","32803","0","0","0","0","0","0","0","0","86","3","9","74","352","175","60","117","0","0","0","0","0","0","0","0"
"89","10291","3350724","3306589","Signature Bank of Arkansas","Fayetteville","AR","72703","6/30/2019","11/18/2019","NM","3878 N Crossover Rd, # 20","WHITE RIVER BANCSHARES COMPANY","7","0","0","4","0","Washington","22220","Fayetteville-Springdale-Rogers, AR-MO","8/18/1933","1/1/1934","4/9/2007","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Western","0","1","http://www.sbofa.com","32821","550","4620","27651","36473","7551","8998","19924","7668","686","2232","4750","2245","705","362","1178","112","15","33","64","439","298","83","58","42","16","16","10","41","31","4","6"
"58103","0","3390627","0","Signature Bank of Georgia","Sandy Springs","GA","30328","6/30/2019","11/18/2019","NM","6065 Roswell Rd., Suite 110","","2","0","0","4","0","Fulton","12060","Atlanta-Sandy Springs-Roswell, GA","11/7/2005","11/7/2005","3/1/2007","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","0","1","","17829","261","1860","15708","5239","466","1116","3657","0","0","0","0","0","0","0","0","54","6","11","37","66","21","19","26","0","0","0","0","0","0","0","0"
"57269","0","3076604","3076592","Signature Bank, National Association","Toledo","OH","43623","6/30/2019","11/18/2019","N","4607 West Sylvania Avenue","SIGNATURE BANCORP, INC.","2","0","0","4","0","Lucas","45780","Toledo, OH","4/2/2002","4/2/2002","3/31/2006","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","https://www.signaturebankna.com","75094","727","7938","66429","58736","3815","8988","45933","14","13","0","1","0","0","0","0","248","19","67","162","541","196","127","218","2","1","0","1","0","0","0","0"
