cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,Lnrenr4,Lnrenr1,Lnrenr2,Lnrenr3,Lnci4,Lnci1,Lnci2,Lnci3,Lnreag4,Lnreag1,Lnreag2,Lnreag3,Lnag4,Lnag1,Lnag2,Lnag3,Lnrenr4N,Lnrenr1N,Lnrenr2N,Lnrenr3N,Lnci4N,Lnci1N,Lnci2N,Lnci3N,Lnreag4N,Lnreag1N,Lnreag2N,Lnreag3N,Lnag4N,Lnag1N,Lnag2N,Lnag3N
"57131","0","3022076","0","Beach Community Bank","Fort Walton Beac","FL","32548","6/30/2019","11/18/2019","NM","17 Southeast Eglin Parkway","","11","0","0","4","0","Okaloosa","18880","Crestview-Fort Walton Beach-Destin, FL","4/27/2001","4/27/2001","7/5/2018","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Montgomery","Atlanta","Southern","Southeast","0","1","","45639","1883","8943","34813","16364","2899","3430","10035","32","32","0","0","0","0","0","0","174","33","60","81","180","115","32","33","1","1","0","0","0","0","0","0"
"25644","12481","403067","1031515","BEACON BUSINESS BANK, NATIONAL ASSOCIATION","San Francisco","CA","94108","6/30/2019","11/18/2019","N","88 Kearny St., Suite 1750","TRANS PACIFIC BANCORP","3","0","0","4","1","San Francisco","41860","San Francisco-Oakland-Hayward, CA","8/21/1984","8/21/1984","3/26/2018","Stock","0","0","OCC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","","10919","59","861","9999","9844","250","1258","8336","0","0","0","0","0","0","0","0","38","1","7","30","39","3","13","23","0","0","0","0","0","0","0","0"
"59106","0","5136959","0","Beacon Community Bank","Charleston","SC","29403","6/30/2019","11/18/2019","NM","578 E. Bay Street, Suite D","","2","0","0","4","0","Charleston","16700","Charleston-North Charleston, SC","1/8/2018","1/8/2018","1/8/2018","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","1","","6505","1","837","5667","4569","637","1914","2018","0","0","0","0","0","0","0","0","17","1","5","11","28","14","9","5","0","0","0","0","0","0","0","0"
"57833","0","3284397","3818804","Beal Bank USA","Las Vegas","NV","89134","6/30/2019","11/18/2019","NM","1970 Village Ctr Circle, Ste","BEAL FINANCIAL CORPORATION","23","0","1","4","0","Clark","29820","Las Vegas-Henderson-Paradise, NV","8/2/2004","8/2/2004","3/9/2018","Stock","0","0","FDIC","DIF","San Francisco","DALLAS","Phoenix","San Francisco","Western","West","0","0","www.bealbankUSA.com","16238","95","184","15959","1467","0","692","775","0","0","0","0","0","0","0","0","113","5","8","100","20","6","13","1","0","0","0","0","0","0","0","0"
"32574","18092","1176881","3818804","Beal Bank, SSB","Plano","TX","75024","6/30/2019","11/18/2019","SB","6000 Legacy Drive","BEAL FINANCIAL CORPORATION","19","0","1","9","0","Collin","19100","Dallas-Fort Worth-Arlington, TX","3/10/1988","3/10/1988","10/14/2011","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","0","www.bealbank.com","10270","47","678","9545","605","116","35","454","0","0","0","0","0","0","0","0","69","17","9","43","52","44","2","6","0","0","0","0","0","0","0","0"
"30043","4618","835378","0","Beardstown Savings s.b.","Beardstown","IL","62618","6/30/2019","11/18/2019","SB","301 State Street","","2","0","0","5","0","Cass","","","1/1/1911","5/23/1949","5/2/2011","Non-Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","","2099","411","896","792","71","71","0","0","1133","358","434","341","40","40","0","0","24","14","8","2","4","3","0","1","10","6","3","1","3","3","0","0"
"58199","0","3425725","3917855","Beartooth Bank","Billings","MT","59106","6/30/2019","11/18/2019","NM","4130 King Avenue West","BEARTOOTH FINANCIAL CORPORATION","1","0","0","4","0","Yellowstone","13740","Billings, MT","4/24/2006","4/24/2006","3/2/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","www.beartoothbank.com","13784","636","1813","11335","7458","397","1937","5124","1234","253","341","640","1789","111","177","1501","51","14","14","23","43","14","15","14","8","3","3","2","7","4","1","2"
"30339","5195","123374","3841839","Beauregard FSB","Deridder","LA","70634","6/30/2019","11/18/2019","SA","122 Jefferson Avenue","BEAUREGARD BANCSHARES, INC.","2","0","0","6","1","Beauregard","","","6/23/1948","6/23/1948","7/21/2011","Stock","0","0","OCC","DIF","Dallas","DALLAS","Shreveport","Atlanta","Southern","Western","0","1","www.beauregardfsb.com","2951","496","1365","1090","4601","1731","859","2011","0","0","0","0","0","0","0","0","29","12","12","5","78","66","7","5","0","0","0","0","0","0","0","0"
"29024","2781","946274","0","Bedford Federal Savings Bank","Bedford","IN","47421","6/30/2019","11/18/2019","SB","1030 15th Street","","2","0","0","6","0","Lawrence","","","7/1/1934","10/25/1934","4/15/2014","Non-Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Indianapolis","St. louis","Central","Central","0","1","","9730","1356","3214","5160","4756","1072","1852","1832","778","0","79","699","329","31","95","203","67","26","26","15","69","48","15","6","4","0","1","3","4","2","1","1"
"11355","11482","696047","2513214","Bedford Loan & Deposit Bank","Bedford","KY","40006","6/30/2019","11/18/2019","NM","45 Highway 42 East","BEDFORD LOAN AND DEPOSIT BANCORP, INC.","3","0","0","8","0","Trimble","","","11/2/1891","1/1/1934","7/19/2018","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Elizabethtown","St. louis","Central","Southeast","0","1","","2510","2510","0","0","693","693","0","0","4510","603","2303","1604","593","593","0","0","30","30","0","0","21","21","0","0","42","18","18","6","49","49","0","0"
"12208","12667","761244","1136988","Belgrade State Bank","Belgrade","MO","63622","6/30/2019","11/18/2019","SM","401 Main Street","TURNER BANCSHARES, INC.","6","0","0","4","0","Washington","","","6/19/1906","1/1/1934","3/31/2006","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","","29212","1606","3489","24117","15695","4658","4950","6087","8265","1487","3204","3574","4534","2919","933","682","142","47","32","63","261","190","46","25","67","34","21","12","149","136","10","3"
"19581","0","929352","1417333","Bell Bank","Fargo","ND","58103","6/30/2019","11/18/2019","NM","3100 13th Avenue, South","STATE BANKSHARES, INC.","23","0","1","4","0","Cass","22020","Fargo, ND-MN","5/6/1966","5/6/1966","8/21/2016","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","http://www.bellbanks.com","198031","4796","31466","161769","212857","38755","50783","123319","71465","4531","29436","37498","49997","11378","17262","21357","687","98","224","365","2247","1431","448","368","433","105","212","116","597","362","151","84"
"14415","0","178244","2307310","Bellevue State Bank","Bellevue","IA","52031","6/30/2019","11/18/2019","NM","200 South 2nd Street","BELLEVUE STATE BANK EMPLOYEE STOCK OWNERSHIP PLAN","1","0","0","2","1","Jackson","","","1/1/1934","5/31/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","","5642","846","2678","2118","11125","4190","1945","4990","8733","376","3877","4480","12548","4588","4645","3315","46","16","23","7","203","170","16","17","68","14","31","23","295","232","47","16"
"58165","0","3391718","3391727","Belmont Bank & Trust Company","Chicago","IL","60634","6/30/2019","11/18/2019","NM","8250 West Belmont Avenue","BELMONT FINANCIAL GROUP, INC.","3","0","0","4","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","6/14/2006","6/14/2006","1/2/2008","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","","42606","597","6001","36008","32003","2914","6113","22976","0","0","0","0","0","0","0","0","118","10","38","70","199","89","56","54","0","0","0","0","0","0","0","0"
"28348","1411","72678","0","Belmont Savings Bank","Bellaire","OH","43906","6/30/2019","11/18/2019","NM","3301 Guernsey Street","","4","0","0","5","0","Belmont","48540","Wheeling, WV-OH","1/1/1886","10/29/1935","1/1/2018","Non-Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","","8570","705","1851","6014","4576","1174","2257","1145","0","0","0","0","0","0","0","0","42","13","13","16","58","37","17","4","0","0","0","0","0","0","0","0"
"28035","773","919773","0","Belmont Savings Bank, SSB","Belmont","NC","28012","6/30/2019","11/18/2019","SB","210 Park Street","","1","0","0","5","0","Gaston","16740","Charlotte-Concord-Gastonia, NC-SC","1/1/1915","12/4/1940","4/1/2019","Non-Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Charlotte","Richmond","Northeastern","Southeast","0","1","","1385","241","435","709","0","0","0","0","0","0","0","0","0","0","0","0","11","5","4","2","0","0","0","0","0","0","0","0","0","0","0","0"
"15362","0","223751","0","Belt Valley Bank","Belt","MT","59412","6/30/2019","11/18/2019","SM","111 Castner Street","","1","0","0","2","0","Cascade","24500","Great Falls, MT","3/14/1936","3/14/1936","3/31/2006","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","","6378","564","1448","4366","2256","570","819","867","3458","17","1468","1973","3753","560","1353","1840","32","10","9","13","41","27","10","4","21","1","13","7","48","26","14","8"
"28384","15152","462774","4754301","Ben Franklin Bank of Illinois","Arlington Height","IL","60004","6/30/2019","11/18/2019","SA","830 East Kensington Road","BEN FRANKLIN FINANCIAL, INC.","2","0","0","4","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","1/1/1893","1/29/1941","6/25/2014","Non-Stock","0","0","OCC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","","19433","246","3303","15884","1599","791","730","78","0","0","0","0","0","0","0","0","57","3","18","36","29","21","7","1","0","0","0","0","0","0","0","0"
"19215","9671","980960","1133428","Benchmark Bank","Plano","TX","75024","6/30/2019","11/18/2019","NM","5700 Legacy Drive Suite 10","QUINLAN BANCSHARES, INC.","9","0","0","4","1","Collin","19100","Dallas-Fort Worth-Arlington, TX","8/29/1964","8/29/1964","9/24/2018","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","","20557","330","1135","19092","34018","2371","5383","26264","768","96","180","492","0","0","0","0","50","6","7","37","239","92","62","85","5","1","1","3","0","0","0","0"
"20484","0","94522","1141441","Benchmark Community Bank","Kenbridge","VA","23944","6/30/2019","11/18/2019","SM","100 South Broad Street","BENCHMARK BANKSHARES, INC.","17","0","1","4","0","Lunenburg","","","9/8/1971","9/8/1971","5/31/2017","Stock","0","0","FED","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","0","1","","68095","11108","27272","29715","27072","13771","6573","6728","12463","2712","4477","5274","1977","976","905","96","541","270","195","76","875","774","69","32","116","61","36","19","60","52","7","1"
"58490","18032","3608751","3842649","Beneficial State Bank","Oakland","CA","94612","6/30/2019","11/18/2019","NM","1438 Webster St., Suite 100","BENEFICIAL STATE FOUNDATION","18","0","1","4","0","Alameda","41860","San Francisco-Oakland-Hayward, CA","6/27/2007","6/27/2007","2/1/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","www.beneficialstatebank.com","78061","581","6014","71466","37237","3800","9088","24349","210","0","97","113","0","0","0","0","201","12","42","147","346","152","103","91","2","0","1","1","0","0","0","0"
"13774","13729","824242","1491708","Benton County State Bank","Blairstown","IA","52209","6/30/2019","11/18/2019","NM","212 Locust Northeast","BLAIRSTOWN BANCORP, INC.","1","0","0","2","0","Benton","16300","Cedar Rapids, IA","1/1/1869","1/29/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","","1356","23","124","1209","1363","266","67","1030","7148","252","2116","4780","1279","338","471","470","4","1","1","2","14","10","1","3","31","5","12","14","24","18","4","2"
"23621","7290","473501","2333663","Berkshire Bank","Pittsfield","MA","1201","6/30/2019","11/18/2019","NM","24 North Street","BERKSHIRE HILLS BANCORP, INC","135","0","1","4","0","Berkshire","38340","Pittsfield, MA","2/6/1846","1/2/1982","5/17/2019","Stock","0","1","FDIC","DIF","New York","NEW YORK","Springfield Ma","Boston","Northeastern","Northeast","0","0","http://www.berkshirebank.com","221518","3920","31868","185730","378143","103574","88494","186075","1030","0","267","763","0","0","0","0","967","103","297","567","6300","4516","954","830","6","0","3","3","0","0","0","0"
"20015","0","7009","1246159","Bessemer Trust Company","Woodbridge","NJ","7095","6/30/2019","11/18/2019","NM","100 Woodbridge Center Drive","BESSEMER GROUP, INCORPORATED, THE","1","0","0","7","1","Middlesex","35620","New York-Newark-Jersey City, NY-NJ-PA","1/1/1907","8/14/1969","4/11/2014","Stock","0","1","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","0","0","","0","0","0","0","4033","0","130","3903","0","0","0","0","0","0","0","0","0","0","0","0","12","0","1","11","0","0","0","0","0","0","0","0"
"21868","0","976703","1246159","Bessemer Trust Company, National Association","New York","NY","10111","6/30/2019","11/18/2019","N","630 Fifth Avenue","BESSEMER GROUP, INCORPORATED, THE","1","0","0","9","1","New York","35620","New York-Newark-Jersey City, NY-NJ-PA","12/20/1974","12/20/1974","3/31/2006","Stock","0","1","OCC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","0","http://www.bessemertrust.com","0","0","0","0","10","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0"
"27909","528","682479","4974257","BEST HOMETOWN BANK","Collinsville","IL","62234","6/30/2019","11/18/2019","SA","100 East Clay Street","BEST HOMETOWN BANCORP, INC.","2","0","0","4","0","Madison","41180","St. Louis, MO-IL","1/1/1887","10/25/1939","7/8/2016","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","0","1","","6010","116","881","5013","3234","2014","404","816","0","0","0","0","0","0","0","0","20","2","6","12","49","44","4","1","0","0","0","0","0","0","0","0"
"1808","15971","851631","1095058","Better Banks","Peoria","IL","61615","6/30/2019","11/18/2019","NM","10225 N. Knoxville Avenue","BACKLUND INVESTMENT CO.","8","0","0","6","1","Peoria","37900","Peoria, IL","1/1/1898","1/1/1934","8/15/2014","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Princeton","Chicago","Central","Central","0","1","","9382","953","2208","6221","9094","4769","1332","2993","5764","563","2838","2363","3133","612","955","1566","61","24","17","20","231","203","15","13","47","14","25","8","42","28","8","6"
"26601","9804","946171","3197835","Beverly Bank","Beverly","MA","1915","6/30/2019","11/18/2019","SB","254 Cabot Street","BEVERLY FINANCIAL, MHC","7","0","0","4","0","Essex","14460","Boston-Cambridge-Newton, MA-NH","1/1/1888","3/25/1986","9/30/2019","Stock","0","0","FDIC","DIF","New York","NEW YORK","North Boston","Boston","Northeastern","Northeast","0","1","www.beverlybank.com","42161","700","6743","34718","18650","2632","5848","10170","9","9","0","0","0","0","0","0","136","13","45","78","198","116","48","34","1","1","0","0","0","0","0","0"
"57701","0","3216017","2260406","Beverly Bank & Trust Company, National Association","Chicago","IL","60643","6/30/2019","11/18/2019","N","10258 South Western Avenue","WINTRUST FINANCIAL CORPORATION","8","0","0","4","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","4/1/2004","4/1/2004","11/13/2015","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","0","www.thebeverlybank.com","32800","224","3720","28856","176612","43441","34183","98988","0","0","0","0","0","0","0","0","93","5","25","63","6355","5293","465","597","0","0","0","0","0","0","0","0"
"17741","10536","499501","4902643","Biddeford Savings Bank","Biddeford","ME","4005","6/30/2019","11/18/2019","SB","254 Main Street","MAINE COMMUNITY BANCORP, MHC","6","0","0","4","0","York","38860","Portland-South Portland, ME","7/27/1867","4/4/1957","10/5/2018","Stock","0","1","FDIC","DIF","New York","NEW YORK","Concord","Boston","Northeastern","Northeast","0","1","","70186","4026","18771","47389","20690","5412","7242","8036","0","0","0","0","0","0","0","0","328","65","135","128","278","182","73","23","0","0","0","0","0","0","0","0"
"3320","0","362856","1918081","Big Bend Banks, N.A.","Marfa","TX","79843","6/30/2019","11/18/2019","N","301 South Highland Avenue","BIG BEND BANCSHARES CORPORATION","2","0","0","7","1","Presidio","","","5/2/1907","1/1/1934","6/29/2009","Stock","0","1","OCC","DIF","Dallas","DALLAS","Albuquerque","Dallas","Southern","West","0","1","www.marfanb.com","7500","7500","0","0","2351","2351","0","0","444","0","444","0","2291","724","459","1108","87","87","0","0","86","86","0","0","3","0","3","0","31","23","5","3"
"29637","3790","521970","0","Big Horn Federal Savings Bank","Greybull","WY","82426","6/30/2019","11/18/2019","SA","33 North 6th Street","","6","0","0","8","0","Big Horn","","","1/1/1935","2/28/1936","7/21/2011","Non-Stock","0","0","OCC","DIF","San Francisco","SAN FRANCISCO","Billings","Kansas City","Western","West","0","1","","23951","4426","7281","12244","28552","6540","2570","19442","5239","1165","2190","1884","4908","2448","1556","904","156","90","46","20","266","226","16","24","35","17","13","5","100","87","10","3"
"14083","0","354","0","Bison State Bank","Bison","KS","67520","6/30/2019","11/18/2019","NM","223 Main Street","","1","0","0","8","0","Rush","","","1/1/1901","3/21/1934","10/24/2018","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Hays","Kansas City","Western","Western","0","1","","62","62","0","0","2526","761","613","1152","206","0","0","206","1453","839","614","0","2","2","0","0","39","31","4","4","1","0","0","1","51","48","3","0"
"58723","0","3636428","3636389","Black Hills Community Bank, N.A.","Rapid City","SD","57701","6/30/2019","11/18/2019","N","840 Mount Rushmore Road","BHCB HOLDING COMPANY","2","0","0","4","1","Pennington","39660","Rapid City, SD","11/27/2007","11/27/2007","7/20/2011","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","0","1","","48821","978","11205","36638","22646","4633","5902","12111","2771","88","1267","1416","1544","515","267","762","172","18","72","82","232","146","48","38","16","3","9","4","18","14","2","2"
"27897","507","444677","0","Black Mountain Savings Bank, SSB","Black Mountain","NC","28711","6/30/2019","11/18/2019","SB","200 E State Street","","1","0","0","5","0","Buncombe","11700","Asheville, NC","4/4/1923","7/10/1985","3/31/2006","Non-Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Charlotte","Richmond","Northeastern","Southeast","0","1","","427","82","227","118","0","0","0","0","0","0","0","0","0","0","0","0","4","1","2","1","0","0","0","0","0","0","0","0","0","0","0","0"
"15152","12080","603540","1978656","Black River Country Bank","Black River Fall","WI","54615","6/30/2019","11/18/2019","NM","221 Main Street","BRAD, INC.","2","0","0","2","1","Jackson","","","1/1/1907","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Eau Claire","Chicago","Central","Central","0","1","","6567","635","1775","4157","3640","1699","875","1066","8157","1723","3710","2724","4881","2472","1234","1175","37","12","15","10","77","64","8","5","84","43","31","10","151","134","10","7"
"14078","11465","27548","1491913","Blackhawk  Bank","Beloit","WI","53511","6/30/2019","11/18/2019","NM","400 Broad Street","BLACKHAWK BANCORP, INC.","9","0","1","4","0","Rock","27500","Janesville-Beloit, WI","1/1/1881","3/19/1934","7/18/2019","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Madison","Chicago","Central","Central","0","1","www.blackhawkbank.com","63026","2061","12496","48469","59904","6647","11049","42208","2534","179","1371","984","0","0","0","0","286","58","103","125","598","283","153","162","16","3","10","3","0","0","0","0"
"18402","11017","890742","1823345","Blackhawk Bank & Trust","Milan","IL","61264","6/30/2019","11/18/2019","NM","301 4th Street West","BLACKHAWK BANCORPORATION, INC.","17","0","1","4","0","Rock Island","19340","Davenport-Moline-Rock Island, IA-IL","6/28/1961","6/28/1961","6/29/2016","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Princeton","Chicago","Central","Central","0","1","","73314","6846","17741","48727","63275","21106","10268","31901","11412","1635","2731","7046","11132","3134","4822","3176","391","143","133","115","1153","995","92","66","88","45","20","23","141","94","35","12"
"58580","0","3580334","3398070","BlackRidgeBANK","Fargo","ND","58104","6/30/2019","11/18/2019","NM","4040 42nd Street South","BLACKRIDGE FINANCIAL, INC.","11","0","1","4","0","Cass","22020","Fargo, ND-MN","4/23/2007","4/23/2007","3/8/2016","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","","54511","2880","14557","37074","43881","12572","10806","20503","4874","1217","2947","710","2188","1126","690","372","311","60","108","143","762","554","122","86","58","28","26","4","58","51","5","2"
"11608","14713","578741","2511313","BLC Community Bank","Little Chute","WI","54140","6/30/2019","11/18/2019","NM","206 East Main Avenue","INDEPENDENT BANCORP., LIMITED","1","0","0","4","1","Outagamie","11540","Appleton, WI","12/6/1906","1/1/1934","1/29/2018","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Appleton","Chicago","Central","Central","0","1","www.blccb.com","35943","1363","6365","28215","9483","2596","1952","4935","2434","104","1042","1288","431","90","0","341","155","40","48","67","170","123","20","27","14","2","7","5","3","2","0","1"
"976","10332","937843","1245648","Blissfield State Bank","Blissfield","MI","49228","6/30/2019","11/18/2019","SM","204 East Jefferson","BLISSFIELD BANK CORPORATION","2","0","0","2","1","Lenawee","","","5/24/1873","1/1/1934","1/1/2012","Stock","0","0","FED","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","0","1","","4792","908","1894","1990","4990","1232","1020","2738","6926","506","2907","3513","3606","1496","875","1235","40","18","15","7","85","67","10","8","43","11","20","12","90","73","11","6"
"9788","0","820842","1416505","Bloomsdale Bank","Bloomsdale","MO","63627","6/30/2019","11/18/2019","NM","55 Mill Hill Road","PEOPLES COMMUNITY BANCORPORATION, INC.","5","0","0","4","1","Sainte Genevieve","","","5/1/1914","1/1/1934","5/10/2018","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","","39103","5719","8694","24690","7632","1623","2574","3435","781","94","687","0","172","31","141","0","318","175","78","65","133","92","24","17","10","5","5","0","2","1","1","0"
"31090","6361","617079","0","Blue Grass Federal Savings and Loan Association","Paris","KY","40361","6/30/2019","11/18/2019","SA","600 High Street","","1","0","0","5","0","Bourbon","30460","Lexington-Fayette, KY","1/1/1914","11/10/1959","1/1/2016","Non-Stock","0","0","OCC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","","580","146","172","262","2464","385","897","1182","540","113","123","304","0","0","0","0","6","3","2","1","25","15","8","2","5","3","1","1","0","0","0","0"
"13753","0","794345","1143913","Blue Grass Savings Bank","Blue Grass","IA","52726","6/30/2019","11/18/2019","NM","104 East Mayne Street","E M F CORPORATION","2","0","0","4","0","Scott","19340","Davenport-Moline-Rock Island, IA-IL","1/1/1902","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","","18090","1721","5705","10664","14217","3210","2454","8553","5025","262","1259","3504","7009","1806","2220","2983","104","38","42","24","185","138","25","22","30","8","10","12","128","92","22","14"
"17773","0","174321","3614668","Blue Ridge Bank","Walhalla","SC","29691","6/30/2019","11/18/2019","NM","100 East Main Street","BLUE RIDGE FINANCIAL CORPORATION","4","0","0","8","0","Oconee","","","6/17/1957","6/17/1957","9/19/2008","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","1","","10314","2654","1835","5825","1313","1043","270","0","101","15","86","0","290","70","220","0","57","33","14","10","33","31","2","0","2","1","1","0","8","7","1","0"
"17933","12663","935250","1891317","Blue Ridge Bank and Trust Co.","Independence","MO","64057","6/30/2019","11/18/2019","NM","4200 Little Blue Parkway","BLUE RIDGE BANCSHARES, INC.","9","0","0","4","0","Jackson","28140","Kansas City, MO-KS","9/8/1958","11/20/1958","6/13/2011","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","","27105","994","4530","21581","38094","13863","8479","15752","949","58","577","314","120","24","96","0","105","15","36","54","596","462","88","46","7","2","4","1","2","1","1","0"
"35274","0","233527","1426960","Blue Ridge Bank,  National Association","Martinsville","VA","24112","6/30/2019","11/18/2019","N","1 East Market Street","BLUE RIDGE BANKSHARES, INC.","9","0","1","4","0","Henry","","","7/24/2000","7/24/2000","12/12/2018","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","0","1","","40417","1655","7316","31446","25887","5266","6837","13784","2736","347","684","1705","140","140","0","0","172","35","59","78","307","186","69","52","20","8","6","6","5","5","0","0"
"14899","13117","517357","1065565","Blue Sky Bank","Pawhuska","OK","74056","6/30/2019","11/18/2019","SM","101 East 8th Street","N.B.C. BANCSHARES IN PAWHUSKA, INC.","4","0","0","4","1","Osage","46140","Tulsa, OK","11/23/1905","12/4/1934","1/2/2018","Stock","0","0","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","","17546","1243","2934","13369","36816","14323","6552","15941","4255","804","2342","1109","1536","778","568","190","76","29","19","28","417","319","54","44","39","18","17","4","60","55","4","1"
"58691","0","3636914","0","BlueHarbor Bank","Mooresville","NC","28117","6/30/2019","11/18/2019","NM","106 Corporate Park Drive","","4","0","0","4","0","Iredell","16740","Charlotte-Concord-Gastonia, NC-SC","1/8/2008","1/8/2008","9/4/2012","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Charlotte","Richmond","Northeastern","Southeast","0","1","","43788","1234","9543","33011","13981","3176","4012","6793","540","0","161","379","0","0","0","0","163","21","64","78","173","112","36","25","3","0","2","1","0","0","0","0"
"8693","12552","167453","1127249","Bluff View Bank","Galesville","WI","54630","6/30/2019","11/18/2019","NM","16893 South Main Street","GALE BANK HOLDING COMPANY, INC.","3","0","0","2","1","Trempealeau","","","1/1/1883","1/1/1934","10/1/2018","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Eau Claire","Minneapolis","Central","Central","0","1","","11125","702","3322","7101","5388","1580","1159","2649","6165","632","2016","3517","3163","816","1412","935","67","20","27","20","97","74","11","12","49","20","16","13","45","28","13","4"
"16571","0","75633","1231333","BMO Harris Bank National Association","Chicago","IL","60603","6/30/2019","11/18/2019","N","111 West Monroe Street","BANK OF MONTREAL","598","0","1","4","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","5/17/1947","5/17/1947","6/19/2015","Stock","0","1","OCC","DIF","Chicago","WASHINGTON","Chicago","Chicago","Central","Central","0","0","http://www.bmoharris.com","726038","9914","116472","599652","7071090","1654533","3020606","2395951","103350","6546","34738","62066","100940","22065","31809","47066","4831","1654","1270","1907","110546","69360","32473","8713","774","261","292","221","1365","855","334","176"
"58216","0","3353154","1231333","BMO Harris Central National Association","Roselle","IL","60172","6/30/2019","11/18/2019","N","110 East Irving Park Road","BANK OF MONTREAL","1","0","0","7","0","Du Page","16980","Chicago-Naperville-Elgin, IL-IN-WI","5/28/2005","5/28/2005","7/3/2014","Stock","0","0","OCC","DIF","Chicago","WASHINGTON","Chicago","Chicago","Central","Central","0","0","http://www.bmoharris.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
