cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,nclnlsr,ncrer,ncreconr,ncrenrer,ncremulr,ncreresr,ncrelocr,ncrereor,idnccir,idncconr,idnccrdr,idnccoor,idncator,idnccotr,nccomrer,idncgtpr
"3511","0","451965","1120754","Wells Fargo Bank, National Association","Sioux Falls","SD","57104","6/30/2019","11/18/2019","N","101 N. Phillips Avenue","WELLS FARGO & COMPANY","5596","30","1","9","0","Minnehaha","43620","Sioux Falls, SD","1/1/1870","1/1/1934","3/28/2019","Stock","0","1","OCC","DIF","Kansas City","WASHINGTON","Sioux Falls","Minneapolis","Western","West","0","0","www.wellsfargo.com","1.47639913568237","2.44655969540386","0.194085499770162","0.682733023158555","0.108806035108081","3.2643675287913","3.21705994430602","3.27130594287843","0.742571686728219","0.700183969905818","1.15662029881504","0.448627851839232","0.389803784162579","0.5570580874339","3.18369945877109E-02","53.3892128279883"
"27389","0","1225761","1120754","Wells Fargo National Bank West","Las Vegas","NV","89102","6/30/2019","11/18/2019","N","4455 Spring Mountain Road","WELLS FARGO & COMPANY","1","0","0","5","0","Clark","29820","Las Vegas-Henderson-Paradise, NV","12/1/1988","12/1/1988","4/15/2019","Stock","0","0","OCC","DIF","San Francisco","WASHINGTON","Phoenix","San Francisco","Western","West","0","0","http://www.wellsfargo.com","2.12169699740805E-02","2.12169699740805E-02","","","","2.12169699740805E-02","","2.12169699740805E-02","","","","","","","","0"
"14136","12132","303701","0","Wells River Savings Bank","Wells River","VT","5081","6/30/2019","11/18/2019","SB","34 Main Street","","6","0","0","5","0","Orange","","","1/1/1892","3/31/1934","3/31/2006","Non-Stock","0","0","FDIC","DIF","New York","NEW YORK","Springfield Ma","Boston","Northeastern","Northeast","0","1","","0.651893634165995","0.763584648130649","0","0.829588662288282","0","0.82184667140809","0.950026028110359","0.80967155765974","9.48429164196799E-02","1.00391526955125E-02","","1.00391526955125E-02","0","5.59284116331096E-02","","0"
"17401","0","423841","1132412","Wenona State Bank","Wenona","IL","61377","6/30/2019","11/18/2019","NM","105 West First South Street","WENONA BANCORP, INC.","1","0","0","2","0","Marshall","37900","Peoria, IL","1/1/1934","2/14/1955","8/9/2016","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Princeton","Chicago","Central","Central","0","1","","2.73972602739726","0.408286707999395","","0","","1.34529147982063","0","1.35542168674699","11.1647879763822","1.32113821138211","","1.32113821138211","2.42990654205607","0","","0"
"803","0","645625","1070448","WesBanco Bank, Inc.","Wheeling","WV","26003","6/30/2019","11/18/2019","NM","One Bank Plaza","WESBANCO, INC.","203","0","1","4","0","Ohio","48540","Wheeling, WV-OH","1/20/1870","1/1/1934","8/20/2018","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Scott Depot","Cleveland","Northeastern","Northeast","0","0","http://www.wesbanco.com","0.458577939373136","0.542453177874909","2.29156322804873E-03","0.443561415541939","0.103213995741226","0.827369076165547","7.69360809519374E-02","1.04034787274563","0.180458854766959","0.10854007255047","","0.10854007255047","9.38710805231876E-02","0.137354883624664","0","7.99662826636696"
"16175","10132","501132","1085255","West Alabama Bank & Trust","Reform","AL","35481","6/30/2019","11/18/2019","NM","509 First Avenue West","WEST ALABAMA CAPITAL CORP.","14","0","0","4","0","Pickens","46220","Tuscaloosa, AL","7/29/1944","7/29/1944","2/24/2011","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","0","1","","0.434542310832121","0.451050872726584","0","0.518445452752022","0","0.877842170581471","1.01050929668553","0.860995983729614","0.265864544925286","1.25368031152056","","1.25368031152056","0","1.75066312997347","","4.95915985997666"
"15614","9432","139740","1210066","West Bank","West Des Moines","IA","50266","6/30/2019","11/18/2019","NM","1601 22nd Street","WEST BANCORPORATION, INC.","14","0","1","4","0","Polk","19780","Des Moines-West Des Moines, IA","1/1/1893","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","WWW.WESTBANKSTRONG.COM","8.76322991122976E-02","5.39278570064988E-02","0","7.92385541030455E-02","0","8.97285304098147E-02","0","0.104700081856428","0.257788570661525","0","","0","0","0","0","0"
"10853","0","920733","1129944","West Central Bank","Ashland","IL","62612","6/30/2019","11/18/2019","NM","400 E Buchanan","WEST CENTRAL BANCSHARES, INC.","6","0","0","4","1","Cass","","","6/12/1933","1/1/1934","10/2/2009","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","","0.388006821516862","0.313929414030526","0","0","0","0.741448326055313","0","0.758580570098895","0.355978727054383","1.31988729052351","","1.31988729052351","1.79578509943603","0.844694724362774","","0"
"21526","12065","280138","1083998","West Central Georgia Bank","Thomaston","GA","30286","6/30/2019","11/18/2019","NM","617 North Church Street","WCG BANCSHARES, INC.","3","0","0","7","0","Upson","","","4/15/1974","4/15/1974","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","0","1","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"28807","2400","577472","3866702","West End Bank, S.B.","Richmond","IN","47374","6/30/2019","11/18/2019","SB","34 S 7th Street","WEST END INDIANA BANCSHARES, INC.","5","0","0","4","0","Wayne","","","1/1/1893","11/11/1936","9/28/2007","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","0","1","","0.667959317770459","0.492704743749542","0","0.083138250158619","0","0.928135384795561","8.48320325755005E-02","1.00777056797244","7.16902979130158E-02","0.988935273375755","0.824742268041237","0.989746148441557","0.981246603574321","2.21238938053097","","0"
