cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,intinc,eintexp,nim,elnatr,nonii,ifiduc,iserchg,igltrad,idothnii,nonix,esal,epremagg,IDEOTH,idpretx,iglsec,itax,ibefxtr,extra,netinc,NETIMIN,NETINBM,ntlnls,eqcdiv,eqcstkrx,noij
"34847","0","2793593","0","Southern Bank of Tennessee","Mount Juliet","TN","37122","6/30/2019","11/18/2019","SM","675 North Mount Juliet Road","","4","0","0","4","1","Wilson","34980","Nashville-Davidson-Murfreesboro-Franklin, TN","3/22/1999","3/22/1999","11/13/2018","Stock","0","0","FED","DIF","Dallas","DALLAS","Knoxville","Atlanta","Southern","Southeast","0","1","www.southernbankoftn.com","6796","1614","5182","0","1100","0","64","0","1036","4458","2821","482","1155","1824","0","120","1704","0","1704","0","1704","0","1214","763","1704"
"35295","0","2849801","2849799","Southern First Bank","Greenville","SC","29607","6/30/2019","11/18/2019","NM","100 Verdae Blvd, # 100","SOUTHERN FIRST BANCSHARES, INC.","12","0","1","4","0","Greenville","24860","Greenville-Anderson-Mauldin, SC","1/10/2000","1/10/2000","4/1/2013","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","0","http://www.southernfirst.com","44858","12023","32835","600","7328","0","530","0","6798","22304","13759","2516","6029","17259","6","3669","13596","0","13596","0","13596","218","0","0","13591.26"
"20698","0","935559","4346676","Southern Heritage Bank","Jonesville","LA","71343","6/30/2019","11/18/2019","NM","Fourth And W. Park Streets","SHB BANCORP, INC.","10","0","0","4","1","Catahoula","","","5/25/1972","5/25/1972","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Shreveport","Dallas","Southern","Western","0","1","","7533","1003","6530","96","1137","0","456","","681","5250","3281","496","1473","2321","29","0","2350","0","2350","0","2350","50","2209","0","2321"
"29749","4013","352370","0","Southern Hills Community Bank","Leesburg","OH","45135","6/30/2019","11/18/2019","SA","45 East Main Street","","8","0","0","6","0","Highland","","","1/1/1884","11/7/1936","4/21/2018","Non-Stock","0","0","OCC","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","0","1","","3566","360","3206","102","188","0","92","","96","3196","1842","278","1076","96","6","12","90","0","90","0","90","263","0","0","84.72"
"35229","0","2847085","0","Southern Illinois Bank","Johnston City","IL","62951","6/30/2019","11/18/2019","NM","1012 West Broadway","","5","0","0","4","0","Williamson","16060","Carbondale-Marion, IL","9/10/1999","9/10/1999","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","0","1","","2154","353","1801","137","437","0","211","","226","1448","778","240","430","653","-9","156","488","0","488","0","488","166","33","0","495.11"
"58357","0","3531176","4297527","Southern Independent Bank","Opp","AL","36467","6/30/2019","11/18/2019","NM","503 North Main Street","SOUTHERN INDEPENDENT BANCSHARES, INC.","3","0","0","4","0","Covington","","","12/4/2006","12/4/2006","12/10/2008","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Montgomery","Atlanta","Southern","Southeast","0","1","","4939","1446","3493","33","488","0","34","","454","2418","1147","194","1077","1530","29","370","1189","0","1189","0","1189","-1","607","0","1166.09"
"5019","9655","822042","1207824","Southern Michigan Bank & Trust","Coldwater","MI","49036","6/30/2019","11/18/2019","NM","45-51 West Pearl Street","SOUTHERN MICHIGAN BANCORP, INC.","16","0","0","4","0","Branch","","","1/16/1872","1/1/1934","4/25/2009","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Grand Rapids","Chicago","Central","Central","0","1","www.smb-t.com","16004","2672","13332","150","3362","1017","1022","0","1323","11359","6488","1318","3553","5185","207","990","4402","0","4402","0","4402","110","2768","0","4232.26"
"58558","0","3629420","3818381","Southern States Bank","Anniston","AL","36202","6/30/2019","11/18/2019","NM","615 Quintard Avenue","SOUTHERN STATES BANCSHARES, INC.","10","0","1","4","0","Calhoun","11500","Anniston-Oxford-Jacksonville, AL","8/27/2007","8/27/2007","9/12/2019","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","0","1","","22461","5885","16576","1350","2306","0","742","","1564","11046","6668","1120","3258","6486","15","1536","4965","0","4965","0","4965","-34","0","104","4953.15"
"57897","0","3316739","3316720","SouthernTrust Bank","Goreville","IL","62939","6/30/2019","11/18/2019","NM","101 North Broadway","SOUTHERNTRUST BANCSHARES, INC","2","0","0","8","0","Johnson","16060","Carbondale-Marion, IL","5/31/2005","5/31/2005","2/25/2014","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","0","1","","1052","145","907","0","202","0","64","","138","893","433","98","362","216","0","67","149","0","149","0","149","-8","50","0","149"
"30433","5329","455477","2592376","SouthFirst Bank","Sylacauga","AL","35150","6/30/2019","11/18/2019","SA","126 N Norton Ave","SOUTHFIRST BANCSHARES, INC.","3","0","0","5","0","Talladega","","","10/18/1949","10/18/1949","7/21/2011","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","0","1","","1722","264","1458","29","352","0","92","","260","1884","965","301","618","-103","0","-62","-41","0","-41","0","-41","44","125","0","-41"
