cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,intinc,eintexp,nim,elnatr,nonii,ifiduc,iserchg,igltrad,idothnii,nonix,esal,epremagg,IDEOTH,idpretx,iglsec,itax,ibefxtr,extra,netinc,NETIMIN,NETINBM,ntlnls,eqcdiv,eqcstkrx,noij
"2595","12749","442806","2631510","First  Ipswich Bank","Ipswich","MA","1938","6/30/2019","11/18/2019","SM","31 Market Street","BROOKLINE BANCORP, INC.","6","0","0","4","0","Essex","14460","Boston-Cambridge-Newton, MA-NH","7/25/1892","1/1/1934","9/9/2016","Stock","0","1","FED","DIF","New York","NEW YORK","North Boston","Boston","Northeastern","Northeast","0","1","","8354","1990","6364","170","925","0","285","","640","6432","3898","1000","1534","687","13","165","535","0","535","0","535","900","0","0","524.73"
"2738","9695","721949","2022444","First & Farmers National Bank, Inc.","Somerset","KY","42501","6/30/2019","11/18/2019","N","100 Public Square","ALBANY BANCORP, INC.","12","0","0","8","0","Pulaski","","","10/15/1903","1/1/1934","8/18/2019","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Elizabethtown","Cleveland","Central","Southeast","0","1","","10491","1669","8822","0","1364","0","681","","683","8135","4402","582","3151","2051","0","415","1636","0","1636","0","1636","27","1400","0","1636"
"8122","0","391418","1363935","First & Peoples Bank and Trust Company","Russell","KY","41169","6/30/2019","11/18/2019","NM","1001 Deidrich Boulevard","FIRST & PEOPLES BANCSHARES, INC.","4","0","0","8","0","Greenup","26580","Huntington-Ashland, WV-KY-OH","2/28/1932","1/1/1934","7/13/2016","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","","3964","204","3760","150","804","182","269","","353","3470","1915","445","1110","944","0","188","756","0","756","0","756","112","129","0","756"
"30698","5763","62772","3842126","First Advantage Bank","Clarksville","TN","37040","6/30/2019","11/18/2019","NM","1430 Madison Street","FIRST ADVANTAGE BANCORP","9","0","0","4","0","Montgomery","17300","Clarksville, TN-KY","1/1/1953","2/9/1954","2/3/2012","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Nashville","Atlanta","Southern","Southeast","0","1","","18089","5020","13069","425","1784","0","186","","1598","10055","6416","1459","2180","4373","-7","1005","3361","0","3361","0","3361","403","1500","375","3366.53"
"35245","0","2848756","3640041","First Alliance Bank","Cordova","TN","38018","6/30/2019","11/18/2019","NM","51 Germantown Court, # 100","FIRST ALLIANCE BANCSHARES, INC.","4","0","0","4","0","Shelby","32820","Memphis, TN-MS-AR","9/27/1999","9/27/1999","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Memphis","St. louis","Southern","Southeast","0","1","","3537","555","2982","21","289","0","115","","174","2696","1646","528","522","554","0","134","420","0","420","0","420","-60","0","0","420"
"14808","10470","653648","1207431","First American Bank","Fort Dodge","IA","50501","6/30/2019","11/18/2019","SM","1207 Central Avenue","STARK BANK GROUP, LTD.","10","0","1","4","1","Webster","","","6/1/1934","10/16/1934","12/30/2006","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","www.1934.bank","15594","3737","11857","-917","21114","1134","510","0","19470","13419","8574","1828","3017","20469","0","796","19673","0","19673","0","19673","28","1041","0","19673"
"2240","9740","771458","1108967","First American Bank","Artesia","NM","88210","6/30/2019","11/18/2019","NM","303 W Main Street","FIRST ARTESIA BANCSHARES, INC.","19","0","0","4","1","Eddy","","","1/1/1903","1/1/1934","5/8/2015","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Albuquerque","Dallas","Western","West","0","1","","26798","1762","25036","858","5449","1726","941","0","2782","16587","10517","1624","4446","13040","0","0","13040","0","13040","0","13040","97","18046","0","13040"
"3657","11088","850036","1199974","First American Bank","Elk Grove Villag","IL","60007","6/30/2019","11/18/2019","NM","700 Busse Road","FIRST AMERICAN BANK CORPORATION","54","0","1","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","3/26/1901","1/1/1934","2/17/2018","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","www.firstambank.com","95378","35140","60238","4750","-27351","6656","3609","108","-37724","59023","36692","6146","16185","-30886","51119","97","20136","0","20136","0","20136","6618","6550","0","-30983"
"15762","0","321255","0","First American Bank","Stonewall","OK","74871","6/30/2019","11/18/2019","NM","301 West Main Street","","1","0","0","2","1","Pontotoc","","","7/4/1940","7/4/1940","1/17/2017","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","http://www.fabstonewall.com","821","92","729","20","70","0","35","0","35","504","271","52","181","275","0","0","275","0","275","0","275","10","200","0","275"
"8149","11973","101037","1083729","First American Bank and Trust","Vacherie","LA","70090","6/30/2019","11/18/2019","NM","2785 Hwy 20","ONE AMERICAN CORP.","25","0","0","4","0","Saint James","35380","New Orleans-Metairie, LA","12/3/1910","1/1/1934","6/2/2010","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","","19948","1564","18384","0","3789","0","1977","0","1812","13142","8336","2164","2642","9031","0","1632","7399","0","7399","0","7399","-56","2325","0","7399"
"16858","11097","921039","1138188","First American Bank and Trust Company","Athens","GA","30601","6/30/2019","11/18/2019","NM","300 College Avenue","FIRST AMERICAN BANCORP","7","0","0","4","0","Clarke","12020","Athens-Clarke County, GA","1/1/1934","11/1/1949","6/24/2011","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","0","1","http://www.firstamericanishere.com","10979","1536","9443","302","2777","611","997","0","1169","7607","4865","1249","1493","4311","12","913","3410","0","3410","0","3410","-15","1136","0","3400.52"
"58593","0","3595682","3595440","First American Bank, N.A.","Hudson","WI","54016","6/30/2019","11/18/2019","N","2424 Monetary Blvd.","FIRST AMERICAN INVESTMENT, INC.","1","0","0","4","1","Saint Croix","33460","Minneapolis-St. Paul-Bloomington, MN-WI","6/22/2007","6/22/2007","3/1/2014","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Eau Claire","Minneapolis","Central","Central","0","1","","3023","873","2150","0","128","0","28","","100","1777","1285","183","309","501","0","0","501","0","501","0","501","-1","200","0","501"
"19226","9725","786340","3179877","First American National Bank","Iuka","MS","38852","6/30/2019","11/18/2019","N","1251 First American Drive","FIRST AMERICAN BANCSHARES, INC.","9","0","0","8","1","Tishomingo","","","9/5/1964","9/5/1964","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Jackson Ms","St. louis","Southern","West","0","1","","5655","575","5080","90","1500","0","697","","803","5715","3164","338","2213","775","-19","0","756","0","756","0","756","143","239","0","775"
"34040","0","2317672","2747765","First American State Bank","Greenwood Villag","CO","80111","6/30/2019","11/18/2019","SM","8390 E Crescent Parkway, # 1","FIRST AMERICAN BANCORP","1","0","0","4","0","Arapahoe","19740","Denver-Aurora-Lakewood, CO","7/10/1995","7/10/1995","3/31/2006","Stock","0","0","FED","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","0","1","","5680","1975","3705","3","-30","0","38","","-68","2811","1677","236","898","861","38","226","673","0","673","0","673","31","0","0","642.98"
"26312","15660","1883321","1250101","First American Trust, FSB","Santa Ana","CA","92707","6/30/2019","11/18/2019","SA","5 1st American Way, 3rd Fl.","FIRST AMERICAN FINANCIAL CORPORATION","10","0","1","5","0","Orange","31080","Los Angeles-Long Beach-Anaheim, CA","7/30/1985","7/30/1985","3/2/2018","Stock","0","1","OCC","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","0","0","www.firstamtrust.com","52715","4662","48053","0","14251","8318","2877","0","3056","14286","8263","1100","4923","48018","6","14198","33826","0","33826","0","33826","0","12800","0","33821.26"
"16849","14212","466240","1096550","First Arkansas Bank and Trust","Jacksonville","AR","72076","6/30/2019","11/18/2019","NM","600 West Main Street","FIRST ARKANSAS BANCSHARES, INC.","24","0","1","4","1","Pulaski","30780","Little Rock-North Little Rock-Conway, AR","11/5/1949","11/5/1949","8/5/2008","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Western","0","1","www.fabandt.com","17298","1629","15669","1890","14574","308","901","","13365","21895","9656","2086","10153","6458","79","0","6537","0","6537","0","6537","852","2950","0","6458"
"15019","14337","216922","1076431","First Bank","Southern Pines","NC","28387","6/30/2019","11/18/2019","SM","205 S.E. Broad Street","FIRST BANCORP","103","0","1","4","0","Moore","","","1/1/1934","2/8/1935","6/30/2019","Stock","0","1","FED","DIF","Atlanta","ATLANTA","Raleigh","Richmond","Northeastern","Southeast","0","0","http://www.localfirstbank.com","124733","15605","109128","192","30702","0","6155","0","24547","79015","47703","7884","23428","60623","0","12748","47875","0","47875","0","47875","442","19000","3072","47875"
"6917","10684","899428","1076123","First Bank","Strasburg","VA","22657","6/30/2019","11/18/2019","SM","112 West King Street","FIRST NATIONAL CORPORATION","14","0","0","4","0","Shenandoah","","","7/1/1907","1/1/1934","4/17/2015","Stock","0","1","FED","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","0","1","","16236","1973","14263","200","4167","895","1415","0","1857","12146","6818","1664","3664","6084","0","1162","4922","0","4922","0","4922","214","1200","0","4922"
"14885","8885","451068","1416701","First Bank","Ketchikan","AK","99901","6/30/2019","11/18/2019","NM","331 Dock Street","FIRST BANCORP, INC.","9","0","0","4","1","Ketchikan Gateway","","","9/15/1924","11/23/1934","10/15/2019","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Seattle","San Francisco","Western","Western","0","1","","10132","1320","8812","90","3173","0","156","","3017","9368","5781","1309","2278","2527","51","0","2578","0","2578","0","2578","46","2110","0","2527"
"9620","13673","131436","2061162","First Bank","Clewiston","FL","33440","6/30/2019","11/18/2019","NM","300 East Sugarland Highway","PIONEER BANKCORP, INC.","7","0","0","4","0","Hendry","","","1/1/1922","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","South Florida","Atlanta","Southern","Southeast","0","1","http://www.first1bank.com","7941","1005","6936","180","1497","0","401","0","1096","5887","3372","787","1728","2366","0","566","1800","0","1800","0","1800","21","344","0","1800"
"5907","0","875936","1082692","First Bank","Mccomb","MS","39648","6/30/2019","11/18/2019","NM","105 South Broadway Street","FIRST SOUTHWEST CORPORATION","15","0","0","4","1","Pike","","","6/25/1895","1/1/1934","5/29/2015","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Jackson Ms","Atlanta","Southern","West","0","1","","12055","2900","9155","140","2278","0","606","","1672","8699","4934","1447","2318","2594","0","0","2594","0","2594","0","2594","124","2175","0","2594"
"34116","0","2349459","2349440","First Bank","Dalton","GA","30721","6/30/2019","11/18/2019","NM","118 North Hamilton Street","FBD HOLDING COMPANY, INC.","6","0","0","4","0","Whitfield","19140","Dalton, GA","1/8/1996","1/8/1996","2/1/2016","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","0","1","","9932","1927","8005","534","1061","0","339","0","722","5524","3099","505","1920","3008","0","652","2356","0","2356","0","2356","431","0","0","2356"
"12229","12597","169653","1118797","First Bank","Creve Coeur","MO","63141","6/30/2019","11/18/2019","SM","11901 Olive Boulevard","FB CORPORATION","94","0","1","4","0","Saint Louis","41180","St. Louis, MO-IL","7/30/1906","1/1/1934","12/31/2015","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","0","WWW.FIRSTBANKS.COM","122597","19678","102919","-3500","25338","2621","10125","530","12062","83778","53541","11313","18924","47979","2","13027","34954","0","34954","0","34954","-337","233000","0","34952.42"
"4092","0","280352","2209030","First Bank","Erick","OK","73645","6/30/2019","11/18/2019","NM","118 W. Roger Miller Blvd.","ERICK BANCSHARES, INC.","4","0","0","2","1","Beckham","","","12/12/1902","1/1/1934","11/6/2015","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","","2100","175","1925","75","300","0","244","","56","1237","772","102","363","913","0","0","913","0","913","0","913","-63","530","0","913"
"58481","0","3401970","0","First Bank","Hamilton","NJ","8690","6/30/2019","11/18/2019","NM","2465 Kuser Road","","16","0","1","4","0","Mercer","45940","Trenton, NJ","4/23/2007","4/23/2007","9/29/2019","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","www.FirstBanknj.com","40323","12124","28199","2086","1674","0","208","0","1466","18203","10217","2644","5342","9584","0","2474","7110","0","7110","0","7110","465","1123","565","7110"
"16473","0","49652","1055351","First Bank","Sterling","KS","67579","6/30/2019","11/18/2019","NM","128 South Broadway Avenue","CORONADO, INC.","3","0","0","2","0","Rice","","","1/1/1907","8/26/1946","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Hays","Kansas City","Western","Western","0","1","","2943","577","2366","30","239","0","68","","171","1825","1195","117","513","750","-8","122","620","0","620","0","620","-40","540","0","626.72"
"1744","0","291330","1918755","First Bank","Wadley","AL","36276","6/30/2019","11/18/2019","NM","312 Main Street","PEOPLES INDEPENDENT BANCSHARES, INC.","5","0","0","7","1","Randolph","","","11/6/1907","1/1/1934","2/24/2011","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","0","1","","1739","178","1561","18","356","0","265","","91","1318","672","141","505","581","405","64","922","0","922","0","922","18","850","0","541.3"
"3121","13255","239659","1109544","First Bank","Burkburnett","TX","76354","6/30/2019","11/18/2019","NM","300 East Third","FIRST BURKBURNETT BANCSHARES, INC.","9","0","0","4","1","Wichita","48660","Wichita Falls, TX","1/1/1907","1/1/1934","7/8/2009","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","","11591","1062","10529","680","6220","0","691","","5529","11715","8403","1028","2284","4354","0","0","4354","0","4354","0","4354","48","2966","0","4354"
"27078","11955","550756","1123072","First Bank & Trust","Sioux Falls","SD","57104","6/30/2019","11/18/2019","NM","110 North Minnesota Avenue","FISHBACK FINANCIAL CORPORATION","8","0","0","4","0","Minnehaha","43620","Sioux Falls, SD","10/31/1987","10/31/1987","9/23/2019","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","0","1","http://www.bankeasy.com","26551","5073","21478","875","5522","606","515","0","4401","17657","8308","1368","7981","8468","0","2034","6434","0","6434","0","6434","575","1850","0","6434"
"14778","14038","294564","1206546","First Bank & Trust","Lubbock","TX","79424","6/30/2019","11/18/2019","NM","9816 Slide Road","HEARTLAND FINANCIAL USA, INC.","9","0","0","4","0","Lubbock","31180","Lubbock, TX","1/1/1934","9/28/1934","9/27/2018","Stock","0","1","FDIC","DIF","Dallas","KANSAS CITY","Lubbock","Dallas","Southern","West","0","0","https://www.firstbanklubbock.com","24505","3890","20615","3750","10228","15","1352","0","8861","20515","8063","1952","10500","6578","1122","1809","5891","0","5891","0","5891","2525","5000","0","5004.62"
"3973","9589","77851","1123072","First Bank & Trust","Brookings","SD","57006","6/30/2019","11/18/2019","NM","520 6th Street","FISHBACK FINANCIAL CORPORATION","16","0","1","4","0","Brookings","","","11/2/1925","1/1/1934","12/2/2017","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","0","1","http://www.bankeasy.com","42620","8563","34057","825","10575","2601","999","0","6975","27809","10770","2224","14815","15998","7","3491","12514","0","12514","0","12514","39","3700","0","12508.47"
"5525","0","402462","1104307","First Bank & Trust","Seymour","TX","76380","6/30/2019","11/18/2019","SM","201 North Washington Street","BAYLOR BANCSHARES, INC.","4","0","0","7","0","Baylor","","","3/5/1890","1/1/1934","11/15/2014","Stock","0","1","FED","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","WWW.FBTSEYMOUR.COM","2175","323","1852","0","2288","2","341","","1945","2180","1148","178","854","1960","-294","351","1315","0","1315","0","1315","-2","0","0","1547.26"
"27394","0","1228034","0","First Bank & Trust Co.","Duncan","OK","73533","6/30/2019","11/18/2019","NM","923-925 Main Street","","10","0","0","4","1","Stephens","","","12/8/1988","12/8/1988","4/11/2008","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","","13618","1550","12068","621","3179","720","919","","1540","8823","5410","983","2430","5803","0","0","5803","0","5803","0","5803","70","3077","0","5803"
"13946","0","640956","1138133","First Bank & Trust Company","Perry","OK","73077","6/30/2019","11/18/2019","NM","407 7th Street","FNBT BANCSHARES, PERRY, OK, INC.","3","0","0","2","1","Noble","","","2/21/1934","2/21/1934","3/31/2006","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","www.bankfbt.com","3587","351","3236","135","610","0","346","0","264","2219","1231","121","867","1492","24","0","1516","0","1516","0","1516","25","1612","0","1492"
"33405","9640","1862719","2127657","First Bank and Trust","New Orleans","LA","70112","6/30/2019","11/18/2019","NM","909 Poydras St., Suite 100","FIRST TRUST CORPORATION","17","0","1","4","1","Orleans","35380","New Orleans-Metairie, LA","5/17/1991","5/17/1991","2/19/2015","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","","25812","5296","20516","0","5880","0","897","","4983","16413","9841","1851","4721","9983","0","0","9983","0","9983","0","9983","-169","7650","0","9983"
"15348","15563","157856","1055593","First Bank and Trust Company","Clinton","OK","73601","6/30/2019","11/18/2019","SM","501 Frisco Avenue","CLINTON BANCSHARES, INC.","1","0","0","8","1","Custer","","","1/1/1903","2/1/1936","6/17/2015","Stock","0","1","FED","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","","1079","65","1014","5","324","116","98","","110","1075","593","82","400","258","0","0","258","0","258","0","258","52","35","0","258"
"5438","13618","114859","2850432","First Bank and Trust Company","Minden","NE","68959","6/30/2019","11/18/2019","SM","315 East 4th Street","FIRST OF MINDEN FINANCIAL CORPORATION","1","0","0","2","1","Kearney","","","9/4/1883","1/1/1934","1/2/2007","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","West","0","1","","1281","241","1040","25","121","36","32","","53","1011","678","81","252","125","64","7","182","0","182","0","182","1","0","0","120.56"
"18641","0","646444","1202986","First Bank and Trust Company of Illinois","Palatine","IL","60067","6/30/2019","11/18/2019","NM","300 East Northwest Highway","NORTHWEST BANCORPORATION OF ILLINOIS, INC.","1","0","0","4","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","12/20/1962","12/20/1962","3/31/2006","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","","5415","1112","4303","0","-1209","0","7","","-1216","3406","1677","253","1476","-312","0","0","-312","0","-312","0","-312","0","0","0","-312"
"3134","12529","749952","2007610","First Bank and Trust of Childress","Childress","TX","79201","6/30/2019","11/18/2019","NM","301 North Main Street","CHILDRESS BANCSHARES, INC.","3","0","0","2","1","Childress","","","1/1/1909","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Lubbock","Dallas","Southern","West","0","1","","2200","890","1310","6","112","0","43","","69","1113","585","151","377","303","16","0","319","0","319","0","319","20","77","0","303"
"5405","15703","266655","1247811","First Bank and Trust of Fullerton","Fullerton","NE","68638","6/30/2019","11/18/2019","SM","230 Broadway","FIRST NATIONAL HOLDING COMPANY, INC.","2","0","0","2","0","Nance","","","10/1/1881","1/1/1934","6/28/2010","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","West","0","1","","1906","500","1406","30","83","0","45","","38","925","557","77","291","534","0","98","436","0","436","0","436","-2","0","0","436"
"3335","11790","373553","1241211","First Bank and Trust of Memphis","Memphis","TX","79245","6/30/2019","11/18/2019","NM","501 Main Street","FALCON BANCORPORATION, INC.","2","0","0","2","1","Hall","","","3/1/1898","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Lubbock","Dallas","Southern","West","0","1","","1284","250","1034","0","81","0","53","","28","668","375","41","252","447","0","0","447","0","447","0","447","0","332","0","447"
"5097","13046","147857","1143548","First Bank Blue Earth","Blue Earth","MN","56013","6/30/2019","11/18/2019","SM","306 South Main Street","FNB BANCSHARES INC.","1","0","0","2","1","Faribault","","","1/1/1869","1/1/1934","12/15/2007","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Mankato","Minneapolis","Central","West","0","1","https://www.firstbankblueearth.com","4833","1110","3723","0","297","0","53","0","244","2175","1375","152","648","1845","15","1","1859","0","1859","0","1859","-363","1305","0","1844"
"12517","12624","806846","2320618","First Bank Financial Centre","Oconomowoc","WI","53066","6/30/2019","11/18/2019","NM","155 West Wisconsin Avenue","OCONOMOWOC BANCSHARES, INC.","19","0","0","4","0","Waukesha","33340","Milwaukee-Waukesha-West Allis, WI","9/1/1859","1/1/1934","6/18/2012","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Milwaukee","Chicago","Central","Central","0","1","","26779","6873","19906","0","10164","0","491","0","9673","23135","14575","2898","5662","6935","107","886","6156","0","6156","0","6156","153","1190","0","6062.91"
"4464","0","786948","1200142","First Bank Hampton","Hampton","IA","50441","6/30/2019","11/18/2019","SM","211 1st Avenue, N.W.","A. M. SAYLOR, INCORPORATED","1","0","0","2","1","Franklin","","","1/1/1933","1/1/1934","6/25/2013","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","www.firstbankhampton.com","3728","653","3075","625","306","0","136","","170","1674","1007","160","507","1082","-9","53","1020","0","1020","0","1020","650","700","0","1028.55"
"18431","14529","192558","1056769","First Bank Kansas","Salina","KS","67401","6/30/2019","11/18/2019","NM","235 South Santa Fe Avenue","OTTAWA BANCSHARES, INC.","8","0","0","8","1","Saline","","","6/30/1955","9/11/1961","7/12/2014","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Hays","Kansas City","Western","Western","0","1","www.firstbankkansas.com","8629","1199","7430","210","4148","1335","1121","0","1692","7503","4078","817","2608","3865","0","141","3724","0","3724","0","3724","105","5632","0","3724"
"5380","82171","983055","0","First Bank of Bancroft","Bancroft","NE","68004","6/30/2019","11/18/2019","SM","301 Main Street","","1","0","0","2","0","Cuming","","","1/1/1884","1/1/1934","12/22/2014","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","West","0","1","","477","72","405","0","24","0","9","","15","254","143","35","76","175","0","42","133","0","133","0","133","-5","0","0","133"
"9288","13103","312244","1133008","First Bank of Berne","Berne","IN","46711","6/30/2019","11/18/2019","SM","222 Heritage Trail","FIRST BERNE FINANCIAL CORPORATION","9","0","1","2","1","Adams","","","10/21/1891","1/1/1934","11/23/2018","Stock","0","1","FED","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","0","1","","15592","2580","13012","487","2737","0","1060","","1677","7902","4206","767","2929","7360","0","0","7360","0","7360","0","7360","61","4200","0","7360"
"2784","0","533535","1082889","First Bank of Boaz","Boaz","AL","35957","6/30/2019","11/18/2019","NM","124 South Main Street","FIRST BOAZ BANCORPORATION","1","0","0","7","0","Marshall","","","1/1/1906","1/1/1934","2/24/2011","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","0","1","http://firstbankofboaz.com","4421","945","3476","0","230","0","97","0","133","1633","886","175","572","2073","65","392","1746","0","1746","0","1746","-1","761","0","1692.7"
"15580","0","823638","1246252","First Bank of Coastal Georgia","Pembroke","GA","31321","6/30/2019","11/18/2019","NM","250 West Bacon Street","PUTNAM-GREENE FINANCIAL CORPORATION","2","0","0","7","0","Bryan","42340","Savannah, GA","1/1/1907","2/10/1938","3/14/2007","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Savannah","Atlanta","Southern","Southeast","0","1","","2047","440","1607","0","144","0","76","","68","1435","725","168","542","316","39","25","330","0","330","0","330","0","0","0","293.73"
"17470","0","804338","1205398","First Bank of Highland Park","Highland Park","IL","60035","6/30/2019","11/18/2019","NM","1835 First Street","BANK OF HIGHLAND PARK FINANCIAL CORP","2","0","0","4","0","Lake","16980","Chicago-Naperville-Elgin, IL-IN-WI","7/16/1955","7/16/1955","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","http://WWW.FIRSTBANKHP.COM","36678","15645","21033","2500","1510","0","46","0","1464","15417","9785","967","4665","4626","212","1192","3646","0","3646","0","3646","3211","0","0","3478.52"
"7577","12427","432012","1830240","First Bank of Lilly","Lilly","PA","15938","6/30/2019","11/18/2019","SB","500 Main Street","1ST SUMMIT BANCORP OF JOHNSTOWN, INC.","1","0","0","7","0","Cambria","27780","Johnstown, PA","1/1/1906","1/1/1934","9/30/2019","Stock","0","0","FDIC","DIF","New York","NEW YORK","Wexford","Philadelphia","Northeastern","Northeast","0","1","","361","40","321","0","8","0","4","","4","290","113","30","147","39","0","2","37","0","37","0","37","0","0","0","37"
"15695","0","478430","2059954","First Bank of Linden","Linden","AL","36748","6/30/2019","11/18/2019","NM","114 East Coats Avenue","FIRST LINDEN BANCSHARES, INC.","1","0","0","7","0","Marengo","","","5/7/1904","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Montgomery","Atlanta","Southern","Southeast","0","1","","1551","286","1265","235","136","0","85","","51","917","564","35","318","249","0","15","234","0","234","0","234","186","167","0","234"
"3702","0","238139","1206603","First Bank of Manhattan","Manhattan","IL","60442","6/30/2019","11/18/2019","SM","230 South State Street","MANHATTAN BANCSHARES, INC.","3","0","0","8","1","Will","16980","Chicago-Naperville-Elgin, IL-IN-WI","1/1/1907","1/1/1934","1/1/2012","Stock","0","1","FED","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","","3039","301","2738","0","347","19","118","","210","2428","1439","291","698","657","0","0","657","0","657","0","657","18","687","0","657"
"17474","0","946461","2314859","First Bank of Muleshoe","Muleshoe","TX","79347","6/30/2019","11/18/2019","SM","W. 1st Street And Avenue B","DANNY MANAGEMENT, INCORPORATED","3","0","0","2","0","Bailey","","","8/1/1955","8/1/1955","3/31/2006","Stock","0","0","FED","DIF","Dallas","DALLAS","Lubbock","Dallas","Southern","West","0","1","WWW.FBMULESHOE.COM","1472","95","1377","0","263","0","218","0","45","1197","722","197","278","443","-7","72","364","0","364","0","364","0","300","0","369.81"
"4738","0","332055","1050776","First Bank of Newton","Newton","KS","67114","6/30/2019","11/18/2019","NM","128 East Broadway Street","FIRST NEWTON BANKSHARES, INC.","4","0","0","6","1","Harvey","48620","Wichita, KS","9/20/1873","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","0","1","","4297","674","3623","350","508","0","208","","300","2895","1573","244","1078","886","0","-6","892","0","892","0","892","154","523","0","892"
"9450","9964","586027","1069714","First Bank of Ohio","Tiffin","OH","44883","6/30/2019","11/18/2019","NM","175 South Washington Street","TONTI FINANCIAL CORPORATION","5","0","0","6","0","Seneca","","","3/3/1873","1/1/1934","12/9/2011","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","","5019","1052","3967","750","183","0","20","","163","1980","957","212","811","1420","2","235","1187","0","1187","0","1187","403","0","0","1185.34"
