cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,eqcprev,eqcrest,netinc,eqcstkrx,eqctrstx,eqcmrg,eqcdivp,eqcdivc,eqccompi,eqcbhctr,eq
"35258","0","2851185","3213847","Community Bank & Trust","Ashland City","TN","37015","6/30/2019","11/18/2019","NM","575 South Main Street","TENNESSEE COMMUNITY BANK HOLDINGS, INC.","5","0","0","4","0","Cheatham","34980","Nashville-Davidson-Murfreesboro-Franklin, TN","10/4/1999","10/4/1999","7/29/2015","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Nashville","Atlanta","Southern","Southeast","0","1","","24313","0","1106","0","0","0","0","330","1178","0","26267"
"17108","0","549862","1102200","Community Bank & Trust, Waco, Texas","Waco","TX","76701","6/30/2019","11/18/2019","NM","1800 Washington Avenue","COMMUNITY COMPANY, THE","4","0","0","4","0","Mclennan","47380","Waco, TX","5/14/1952","5/14/1952","3/6/2007","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","http://www.cbtwaco.bank","63366","0","2621","0","0","0","0","0","2177","0","68164"
"13068","9859","957757","2072793","Community Bank and Trust","Neosho","MO","64850","6/30/2019","11/18/2019","SM","100 South Wood Street","COMMUNITY BANCSHARES EMPLOYEE STOCK OWNERSHIP PLAN","14","0","1","8","1","Newton","27900","Joplin, MO","1/1/1884","1/1/1934","3/31/2006","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Springfield Mo","Kansas City","Western","West","0","1","","28609","-454","1672","0","0","0","0","3500","1447","0","27774"
"32968","0","1474309","1081873","Community Bank and Trust - Alabama","Union Springs","AL","36089","6/30/2019","11/18/2019","NM","202 North Powell Street","COMMUNITY BANKSHARES, INC.","1","0","0","7","0","Bullock","","","5/18/1990","5/18/1990","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Montgomery","Atlanta","Southern","Southeast","0","1","","2804","0","170","0","0","0","0","0","688","0","3662"
"25796","0","761833","1081873","Community Bank and Trust - West Georgia","Lagrange","GA","30240","6/30/2019","11/18/2019","NM","201 Broad Street","COMMUNITY BANKSHARES, INC.","4","0","0","4","0","Troup","","","12/15/1984","12/15/1984","4/1/2007","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","0","1","www.redapplebank.com","2787","0","-113","0","0","0","0","0","464","0","3137"
"23189","10076","1015841","1201448","Community Bank and Trust Company","Muscatine","IA","52761","6/30/2019","11/18/2019","NM","2609 2nd Avenue","C-B-G, INC.","5","0","0","2","1","Muscatine","","","8/11/1980","8/11/1980","8/1/2016","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","","26376","0","-26","0","0","0","0","696","524","0","26178"
"34683","0","2655495","2902005","Community Bank and Trust of Florida","Ocala","FL","34471","6/30/2019","11/18/2019","NM","1603 Southwest 19th Avenue","FLORIDA COMMUNITY BANKSHARES, INC.","11","0","0","7","0","Marion","36100","Ocala, FL","4/2/1998","4/2/1998","3/31/2006","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Gainesville","Atlanta","Southern","Southeast","0","1","cbtfl.com","62159","0","3376","0","0","0","0","1910","6250","0","69874"
"58311","0","3446784","0","Community Bank Delaware","Lewes","DE","19958","6/30/2019","11/18/2019","NM","16982 Kings Highway","","2","0","0","4","0","Sussex","41540","Salisbury, MD-DE","5/30/2006","5/30/2006","4/10/2019","Stock","0","0","FDIC","DIF","New York","NEW YORK","Claymont","Philadelphia","Northeastern","Northeast","0","1","","19629","0","584","0","0","0","0","309","137","0","20041"
"9760","12359","835257","1127847","Community Bank Mankato","Vernon Center","MN","56090","6/30/2019","11/18/2019","NM","201 East Main Street","VERNON CENTER BANCSHARES, INC.","5","0","0","4","0","Blue Earth","31860","Mankato-North Mankato, MN","12/1/1929","1/1/1934","8/19/2008","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Mankato","Minneapolis","Central","West","0","1","","25407","0","1591","0","0","0","0","500","26","0","26524"
"12349","0","385350","1516405","Community Bank of Cameron","Cameron","WI","54822","6/30/2019","11/18/2019","NM","101 West Main Street","CAMERON BANCORP, INC.","4","0","0","8","1","Barron","","","1/1/1903","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Eau Claire","Minneapolis","Central","Central","0","1","","10814","0","914","0","0","0","0","420","0","0","11309"
