cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,ntlnlsr,ntrer,ntrecosr,ntrenrsr,ntremulr,ntreresr,ntrelocr,ntreothr,idntcir,idntconr,idntcrdr,idntcoor,idntator,idntcotr,ntcomrer
"5296","0","917742","1199563","Associated Bank, National Association","Green Bay","WI","54301","6/30/2019","11/18/2019","N","200 North Adams Street","ASSOCIATED BANC-CORP","256","0","1","4","0","Brown","24580","Green Bay, WI","1/1/1874","1/1/1934","6/14/2019","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Appleton","Chicago","Central","Central","0","0","www.associatedbank.com","0.179719581781042","-1.30467754107526E-02","-2.26294694138743E-02","-0.063147685200791","-4.0501243388172E-03","5.92808180281228E-03","-7.36070109934708E-02","1.37854013310492E-02","0.657868632818533","1.25985509658652","3.45347688146877","0.219526630697461","-0.242914979757085","0.224270494803424","0"
"17636","0","1003455","1060917","Astra Bank","Scandia","KS","66966","6/30/2019","11/18/2019","NM","323 4th Street","FIRST BELLEVILLE BANCSHARES, INC.","9","0","1","2","1","Republic","","","10/2/1939","7/27/1956","3/6/2017","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Hays","Kansas City","Western","Western","0","1","","0.021265141223575","3.00252061605718E-02","0","0.142052180500971","0","1.92102982566894E-02","0","0.020903736464504","-3.00360394928865E-02","0.174554087038486","","0.174553579221142","0","0.367496187227058","0"
"24064","0","851060","0","Atascosa Bank","Pleasanton","TX","78064","6/30/2019","11/18/2019","NM","1525 West Oaklawn","","1","0","0","7","0","Atascosa","41700","San Antonio-New Braunfels, TX","9/7/1982","9/7/1982","12/15/2017","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","","0","0","0","0","0","0","","0","0","0","","0","0","0",""
"90146","14766","408307","0","Athol Savings Bank","Athol","MA","1331","6/30/2019","11/18/2019","SB","388 Main Street","","8","0","0","5","0","Worcester","49340","Worcester, MA-CT","2/12/1867","9/10/1985","7/10/2017","Non-Stock","0","0","FDIC","DIF","New York","NEW YORK","Springfield Ma","Boston","Northeastern","Northeast","0","1","http://www.atholsb.com","4.41177927947282E-02","-7.113109104424E-04","0","0","0","-8.65421241842269E-04","0","-9.37502915048126E-04","0","0.85602804247158","","0.85602804247158","0.29570488652325","4.06722788762588",""
"9096","12602","739346","0","Atkins Savings Bank & Trust","Atkins","IA","52206","6/30/2019","11/18/2019","NM","97 Main Avenue","","1","0","0","2","0","Benton","16300","Cedar Rapids, IA","4/15/1915","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","","-1.26445569212906E-02","-0.106200955808602","0","0","0","-0.325965651798344","","-0.325965651798344","0","0.850461527246661","","0.850458944094474","0","1.62727309710752",""
"35525","0","3555695","3555686","Atlantic Capital Bank, National Association","Atlanta","GA","30326","6/30/2019","11/18/2019","N","945 E Paces Ferry Rd Suite 1","ATLANTIC CAPITAL BANCSHARES, INC.","1","0","0","4","0","Fulton","12060","Atlanta-Sandy Springs-Roswell, GA","6/26/2000","6/26/2000","3/19/2019","Stock","0","1","OCC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","0","0","http://atlanticcapitalbank.com","0.117355776144864","7.38062454844929E-03","-3.23167332867147E-03","1.14403525575882E-02","0","1.44036524205662E-03","-4.36474707272782E-03","4.29959583799123E-03","0.313219364716101","8.01246383262853E-02","","8.01246383262853E-02","0","8.15956482320943E-02","0"
"24829","0","959715","4923497","Atlantic Community Bankers Bank","Camp Hill","PA","17011","6/30/2019","11/18/2019","SM","1400 Market Street","ATLANTIC COMMUNITY BANCSHARES INC","3","0","1","4","0","Cumberland","25420","Harrisburg-Carlisle, PA","11/21/1983","11/21/1983","1/1/2018","Stock","0","1","FED","DIF","New York","NEW YORK","Harrisburg","Philadelphia","Northeastern","Northeast","0","0","http://www.acbb.com","-0.263742286109002","-0.317301514081096","0","-0.446286260758687","0","0","0","0","0","0","","0","","0",""
"26390","12877","527507","2290560","Atlantic Stewardship Bank","Midland Park","NJ","7432","6/30/2019","11/18/2019","NM","630 Godwin Avenue","STEWARDSHIP FINANCIAL CORPORATION","12","0","0","4","0","Bergen","35620","New York-Newark-Jersey City, NY-NJ-PA","9/28/1985","9/28/1985","3/31/2006","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","0","1","","-2.22621770185589E-02","-1.81578241461466E-02","0","-2.83659588799361E-03","0","-7.48014865644663E-02","-8.89007423211984E-02","-7.20796974918067E-02","-5.99888592118607E-02","0","","0","0","0",""
"34589","14594","693224","1971693","Atlantic Union Bank","Richmond","VA","23219","6/30/2019","11/18/2019","SM","1051 E Cary St, Suite 1200","ATLANTIC UNION BANKSHARES CORPORATION","154","0","1","4","0","Richmond City","40060","Richmond, VA","11/4/1997","11/4/1997","5/20/2019","Stock","0","0","FED","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","0","0","www.atlanticunionbank.com","0.150209011548893","1.72416164717521E-02","0.111316020029188","3.70416880688638E-03","-2.92804419238539E-02","4.21864173531979E-03","2.74396212715644E-02","-5.31811060470951E-03","0.135376595951469","1.84639046058769","","1.84639043389944","0.238836783502362","3.1124550472324","0"
"284","9664","811541","2151670","Auburn Banking Company","Auburn","KY","42206","6/30/2019","11/18/2019","NM","218 W. Main Street","FIRST COMMUNITY BANCORP, INC","2","0","0","4","1","Logan","","","1/1/1929","1/1/1934","5/18/2015","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Hopkinsville","St. louis","Central","Southeast","0","1","","-6.85816139208332E-03","-1.30982431544761E-02","0","0","0","-2.64480296217932E-02","0","-0.028290770654738","0","5.31255063524824E-02","","5.31255063524824E-02","-0.658327847267939","0.534361682704939",""
