cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,IDdepsam,IDdepsmb,DEPSMRA,DEPSMRN,NTRCDSMJ,IDdeplam,IDdeplgb,DEPLGRA,DEPLGRN,TRNNIA,TRNNIN,NTRTMLGJ
"34759","0","2785477","2785459","Asian Bank","Philadelphia","PA","19107","6/30/2019","11/18/2019","SM","1023 Race Street","ASIAN FINANCIAL CORPORATION","2","0","0","4","0","Philadelphia","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","6/9/1999","6/9/1999","12/5/2016","Stock","0","0","FED","DIF","New York","NEW YORK","Philadelphia","Philadelphia","Northeastern","Northeast","0","1","","110330","8833","2723","468","63152","54160","74","0","0","","","31149"
"33013","0","1462986","0","Asian Pacific National Bank","San Gabriel","CA","91776","6/30/2019","11/18/2019","N","333 West Valley Boulevard","","2","0","0","4","1","Los Angeles","31080","Los Angeles-Long Beach-Anaheim, CA","7/25/1990","7/25/1990","2/15/2013","Stock","0","0","OCC","DIF","San Francisco","SAN FRANCISCO","Los Angeles (North)","San Francisco","Western","Western","0","1","","40964","1080","0","0","31580","5734","10","0","0","","","2220"
"3934","0","668053","3435957","Aspire Financial","Fargo","ND","58104","6/30/2019","11/18/2019","NM","5195 45th Street South","ASPIRE BANCSHARES, INC.","2","0","0","4","0","Cass","22020","Fargo, ND-MN","9/19/1905","1/1/1934","8/4/2019","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","","18912","1357","487","50","7061","8211","22","290","1","","","1209"
"5296","0","917742","1199563","Associated Bank, National Association","Green Bay","WI","54301","6/30/2019","11/18/2019","N","200 North Adams Street","ASSOCIATED BANC-CORP","256","0","1","4","0","Brown","24580","Green Bay, WI","1/1/1874","1/1/1934","6/14/2019","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Appleton","Chicago","Central","Central","0","0","www.associatedbank.com","13008082","1082065","414219","36754","1933736","15939265","7895","24478","61","","","1433516"
"17636","0","1003455","1060917","Astra Bank","Scandia","KS","66966","6/30/2019","11/18/2019","NM","323 4th Street","FIRST BELLEVILLE BANCSHARES, INC.","9","0","1","2","1","Republic","","","10/2/1939","7/27/1956","3/6/2017","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Hays","Kansas City","Western","Western","0","1","","161707","15415","7074","366","36681","85683","101","0","0","","","7579"
"24064","0","851060","0","Atascosa Bank","Pleasanton","TX","78064","6/30/2019","11/18/2019","NM","1525 West Oaklawn","","1","0","0","7","0","Atascosa","41700","San Antonio-New Braunfels, TX","9/7/1982","9/7/1982","12/15/2017","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","","35955","1624","809","40","5151","43875","45","0","0","","","4570"
"90146","14766","408307","0","Athol Savings Bank","Athol","MA","1331","6/30/2019","11/18/2019","SB","388 Main Street","","8","0","0","5","0","Worcester","49340","Worcester, MA-CT","2/12/1867","9/10/1985","7/10/2017","Non-Stock","0","0","FDIC","DIF","New York","NEW YORK","Springfield Ma","Boston","Northeastern","Northeast","0","1","http://www.atholsb.com","273376","32549","20910","1065","100605","82646","164","2494","7","","","32187"
"9096","12602","739346","0","Atkins Savings Bank & Trust","Atkins","IA","52206","6/30/2019","11/18/2019","NM","97 Main Avenue","","1","0","0","2","0","Benton","16300","Cedar Rapids, IA","4/15/1915","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","","42949","3419","3661","99","35827","34525","61","489","1","","","8652"
"35525","0","3555695","3555686","Atlantic Capital Bank, National Association","Atlanta","GA","30326","6/30/2019","11/18/2019","N","945 E Paces Ferry Rd Suite 1","ATLANTIC CAPITAL BANCSHARES, INC.","1","0","0","4","0","Fulton","12060","Atlanta-Sandy Springs-Roswell, GA","6/26/2000","6/26/2000","3/19/2019","Stock","0","1","OCC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","0","0","http://atlanticcapitalbank.com","242021","41216","0","0","101807","1630849","824","0","0","","","7224"
"24829","0","959715","4923497","Atlantic Community Bankers Bank","Camp Hill","PA","17011","6/30/2019","11/18/2019","SM","1400 Market Street","ATLANTIC COMMUNITY BANCSHARES INC","3","0","1","4","0","Cumberland","25420","Harrisburg-Carlisle, PA","11/21/1983","11/21/1983","1/1/2018","Stock","0","1","FED","DIF","New York","NEW YORK","Harrisburg","Philadelphia","Northeastern","Northeast","0","0","http://www.acbb.com","152413","7360","0","0","112381","203257","170","0","0","","","8715"
"26390","12877","527507","2290560","Atlantic Stewardship Bank","Midland Park","NJ","7432","6/30/2019","11/18/2019","NM","630 Godwin Avenue","STEWARDSHIP FINANCIAL CORPORATION","12","0","0","4","0","Bergen","35620","New York-Newark-Jersey City, NY-NJ-PA","9/28/1985","9/28/1985","3/31/2006","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","0","1","","490059","60004","28059","1224","137671","267341","490","3424","9","","","54920"
"34589","14594","693224","1971693","Atlantic Union Bank","Richmond","VA","23219","6/30/2019","11/18/2019","SM","1051 E Cary St, Suite 1200","ATLANTIC UNION BANKSHARES CORPORATION","154","0","1","4","0","Richmond City","40060","Richmond, VA","11/4/1997","11/4/1997","5/20/2019","Stock","0","0","FED","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","0","0","www.atlanticunionbank.com","6760857","469277","283794","14680","2075442","5482261","6255","21726","66","","","556410"
"284","9664","811541","2151670","Auburn Banking Company","Auburn","KY","42206","6/30/2019","11/18/2019","NM","218 W. Main Street","FIRST COMMUNITY BANCORP, INC","2","0","0","4","1","Logan","","","1/1/1929","1/1/1934","5/18/2015","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Hopkinsville","St. louis","Central","Southeast","0","1","","51108","4095","3421","109","18471","15891","33","0","0","","","4551"
"28288","1305","229173","3799369","Auburn Savings Bank, FSB","Auburn","ME","4210","6/30/2019","11/18/2019","SA","256 Court St","AUBURN BANCORP, MHC","2","0","0","5","0","Androscoggin","30340","Lewiston-Auburn, ME","1/1/1887","1/17/1951","7/21/2011","Stock","0","0","OCC","DIF","New York","NEW YORK","Concord","Boston","Northeastern","Northeast","0","1","www.auburnsavings.com","45902","3206","6583","255","29212","11900","25","765","2","","","6077"
"11477","0","979151","0","Auburn State Bank","Auburn","NE","68305","6/30/2019","11/18/2019","SM","1212 J Street","","1","0","0","2","0","Nemaha","","","1/1/1905","1/1/1934","10/16/2015","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","West","0","1","","82445","7001","6335","207","32377","50920","68","1308","4","","","15131"
"35","9177","749635","1129533","AuburnBank","Auburn","AL","36830","6/30/2019","11/18/2019","SM","100 North Gay Street","AUBURN NATIONAL BANCORPORATION, INC.","8","0","0","4","0","Lee","12220","Auburn-Opelika, AL","1/3/1907","1/1/1934","12/31/2015","Stock","0","0","FED","DIF","Atlanta","ATLANTA","Montgomery","Atlanta","Southern","Southeast","0","1","","341371","19481","24712","1018","110308","373682","417","3618","8","","","59760"
