cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,numemp,asset,chbal,chbali,sc,frepo,lnlsnet,lnatres,trade,bkprem,ore,intan,idoa,liabeq,liab,dep,depi,depdom,iddepinr,frepp,tradel,idobrmtg,subnd,idoliab,eqtot,eq,eqpp,eqcs,eqsur,equptot,eqconsub,nclnls,NCGTYPAR,oaienc,ernast,asstlt,asset5,asset2,RWAJT,AVASSETJ,OALIFINS,OALIFGEN,OALIFSEP,Oalifhyb,voliab,lnexamt,othbfhlb,lnlssale,ucln,RBCT1J,RBCT2,uc,obsdir
"13669","0","304155","2896092","Burton State Bank","Burton","TX","77835","6/30/2019","11/18/2019","NM","515 N Main Street","BURTON BANCSHARES, INC.","1","0","0","7","1","Washington","","","1/1/1906","1/1/1934","10/18/2018","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","","9","69546","40450","39504","7378","200","21033","140","0","194","0","0","291","69546","61201","61105","45055","61105","89.4490763446134","0","0","0","0","96","8345","8345","0","768","832","6745","0","7","0","225","68115","11814","68384.67","69465","27316","68258","0","0","0","0","4114","500","0","0","972","7117","694","972","0"
"16450","10287","416245","1203602","Busey Bank","Champaign","IL","61820","6/30/2019","11/18/2019","NM","100 West University Avenue","FIRST BUSEY CORPORATION","70","0","1","4","0","Champaign","16580","Champaign-Urbana, IL","7/8/1946","7/8/1946","10/3/2019","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Champaign","Chicago","Central","Central","0","0","www.busey.com","1223","7659095","174096","74731","1200654","0","5653647","50863","0","126103","567","302190","201838","7659095","6519392","6258573","4757684","6258573","78.3491614612061","142441","0","58117","0","60261","1139703","1139703","0","8741","1015236","115726","0","30611","0","23231","6929032","1536692","7691741.67","7692306.5","6147270","7388470","129150","97351","14229","17570","486950","56336","50000","35281","1388446","842312","50863","1388446","588290"
"58545","0","3606971","0","Business Bank of Texas, N.A.","Austin","TX","78758","6/30/2019","11/18/2019","N","1910 W Braker Lane, Ste 100","","1","0","0","4","0","Travis","12420","Austin-Round Rock, TX","8/6/2007","8/6/2007","6/28/2019","Stock","0","0","OCC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","","13","95425","7616","5889","25137","0","60685","1392","0","39","360","0","1588","95424","81655","81520","55170","81520","90.8259579788669","0","0","0","0","135","13769","13769","0","5883","6225","1661","0","850","0","251","91711","42568","108146","104873.5","68850","103643","0","0","0","0","1898","0","0","0","7323","13994","867","7323","0"
"58228","0","3408728","3488850","Business First Bank","Baton Rouge","LA","70801","6/30/2019","11/18/2019","NM","500 Laurel Street","BUSINESS FIRST BANCSHARES, INC.","25","0","1","4","0","East Baton Rouge","12940","Baton Rouge, LA","2/1/2006","2/1/2006","12/1/2018","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","0","www.b1bank.com","348","2154590","66080","20370","294981","20809","1631413","11603","0","27519","2324","55642","55822","2154590","1867657","1716320","1320375","1716320","63.6460803867394","16096","0","122466","0","12775","286933","286933","0","4314","217763","64856","0","10090","0","7957","1967573","484349","2118039","2128206","1869705","2043173","32224","21120","0","11104","211333","37990","108000","443","360552","228963","11603","360552","0"
"16110","15723","1004256","1055687","Butte State Bank","Butte","NE","68722","6/30/2019","11/18/2019","SM","510 Thayer Street","BUTTE STATE COMPANY","2","0","0","2","1","Boyd","","","1/1/1944","1/3/1944","3/31/2006","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Sioux City","Kansas City","Western","West","0","1","","9","41647","2393","939","10522","0","25589","356","0","704","595","0","1844","41647","36337","33761","27599","33761","98.0467593962711","0","0","2441","0","135","5310","5310","0","300","3700","1310","0","389","319","457","37050","10512","41457","41423","29833","41485","900","559","341","0","430","1032","2441","0","4754","5169","356","4754","0"
"20624","0","129732","1204627","Byline Bank","Chicago","IL","60601","6/30/2019","11/18/2019","NM","180 N Lasalle Street","BYLINE BANCORP, INC.","65","0","1","4","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","3/1/1972","3/1/1972","4/30/2019","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","https://www.bylinebank.com","1003","5386319","89313","31800","981112","0","3850489","31132","7720","112917","8070","201306","135392","5386319","4641828","4066543","2819868","4066543","79.9138278980153","32885","8280","500000","0","34120","744491","744491","0","500","594645","149346","0","55154","5194","12914","4863409","1191243","5110992","5196537","4345586","5180944","9634","9634","0","0","736531","10","500000","18473","1005001","547685","32399","1005001","541060"
"902","13272","325534","1203107","Byron Bank","Byron","IL","61010","6/30/2019","11/18/2019","NM","200 North Walnut","BYRON BANCSHARES, INC.","5","0","0","4","1","Ogle","","","7/1/1932","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Princeton","Chicago","Central","Central","0","1","","65","264247","12588","7839","83321","2065","156036","1568","0","2932","282","728","6295","264247","235927","234001","195801","234001","85.0734864104567","0","0","1269","0","657","28320","28320","0","300","2575","25445","0","2139","0","995","249261","59682","258880.33","259781.5","168082","259912","4555","2284","0","2271","20306","249","800","2552","31494","26956","1568","31494","8389"
"25249","0","754068","4970268","C3bank, National Association","Encinitas","CA","92024","6/30/2019","11/18/2019","N","850 S. Coast Hwy 101","C3 BANCORP","5","0","0","4","1","San Diego","41740","San Diego-Carlsbad, CA","6/1/1984","6/1/1984","6/5/2019","Stock","0","0","OCC","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","0","1","","36","335848","61726","60444","6222","0","258950","3519","0","5371","0","219","3360","335848","290755","289699","221140","289699","44.6727095186996","0","0","0","0","1056","45093","45093","0","3615","28429","13049","0","0","0","875","325616","112824","327016.67","322060.5","278994","333653","0","0","0","0","9890","5196","0","0","38538","45004","3489","38538","0"
"34328","0","2506328","0","Cache Bank and Trust","Greeley","CO","80634","6/30/2019","11/18/2019","NM","4601 West 20th Street","","3","0","0","4","0","Weld","24540","Greeley, CO","10/11/1996","10/11/1996","10/31/2013","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","0","1","","27","120792","17095","14331","42192","0","54829","480","0","5431","0","0","1245","120792","106538","106232","79952","106232","71.6091326607439","0","0","0","0","306","14254","14254","0","3729","16031","-5506","0","300","0","340","111352","40176","121200.67","121259.5","68486","130257","0","0","0","0","10287","1516","0","0","12028","14087","492","12028","0"
"22134","10858","995076","2324997","Cache Valley Bank","Logan","UT","84321","6/30/2019","11/18/2019","NM","101 North Main Street","CACHE VALLEY BANKING COMPANY","16","0","0","4","0","Cache","30860","Logan, UT-ID","10/2/1975","10/2/1975","5/20/2019","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Salt Lake City","San Francisco","Western","West","0","1","http://www.cachevalleybank.com","233","1327655","249180","231413","23976","12019","992346","16353","0","37001","1830","508","10795","1327655","1176413","1169308","781542","1169308","56.9774916315917","0","0","3000","0","4105","151242","151242","0","6582","19920","124740","0","8141","4642","5385","1259754","134702","1297999","1316651.5","1092288","1297400","0","0","0","0","96651","365","3000","11313","274752","150700","13690","274752","68464"
"4999","10349","4262534","4882802","Cadence Bank, N.A.","Atlanta","GA","30309","6/30/2019","11/18/2019","N","1349 W Peachtree St, # 100","CADENCE BANCORPORATION","105","0","1","4","0","Fulton","12060","Atlanta-Sandy Springs-Roswell, GA","5/1/1887","1/1/1934","1/1/2019","Stock","0","1","OCC","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","0","0","www.cadencebank.com","1805","17472019","735336","551581","1686585","6337","13557677","115345","18361","192607","2336","599391","673389","17472019","14872522","14531866","11220528","14531866","50.9528695938981","1648","11166","178461","24775","124606","2599497","2599497","50000","1200","1881753","666544","0","140080","0","57879","15802180","3834628","15877309.67","17458533.5","16103430","17095536","180862","94940","475","85447","666882","3771","100000","45088","5187132","1927227","140989","5187132","6725723"
"11785","9983","925354","1108985","Caldwell Bank & Trust Company","Columbia","LA","71418","6/30/2019","11/18/2019","NM","202 Main Street","CALDWELL HOLDING COMPANY","3","0","0","2","1","Caldwell","","","1/1/1902","1/1/1934","1/14/2019","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Shreveport","Dallas","Southern","Western","0","1","","44","163995","17155","14895","8115","0","125764","786","0","3195","1444","0","8322","163995","145801","135789","110060","135789","73.8994311584084","0","0","7000","0","3012","18194","18194","0","400","10300","7494","0","3235","561","1818","148774","16802","159906.67","160718.5","118848","158073","4519","3065","464","990","36809","7327","7000","0","7464","18114","786","7464","0"
"9024","12454","498625","1357046","Calhoun County Bank, Inc.","Grantsville","WV","26147","6/30/2019","11/18/2019","NM","443 High Street","CALHOUN BANKSHARES, INC.","4","0","0","5","0","Calhoun","","","1/1/1900","1/1/1934","12/17/2018","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Scott Depot","Richmond","Northeastern","Northeast","0","1","","42","153365","13894","12141","8918","863","120346","1393","0","4457","133","0","4754","153365","138741","130730","89643","130730","90.9409849347632","0","0","6500","0","1511","14624","14624","0","307","556","13761","0","1708","0","494","142268","63142","146863","149331.5","97770","147617","3421","3421","0","0","11883","1624","6500","0","8162","15203","1224","8162","0"
"58583","0","3614958","5116344","California Bank of Commerce","Lafayette","CA","94549","6/30/2019","11/18/2019","NM","3595 Mt Diablo Blvd, 2nd Fl","CALIFORNIA BANCORP","3","0","0","4","0","Contra Costa","41860","San Francisco-Oakland-Hayward, CA","7/17/2007","7/17/2007","2/27/2019","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","","121","1059731","55396","32796","38103","0","900855","11501","0","2658","0","7697","55022","1059731","935361","884792","552722","884792","33.7140500163858","0","0","30000","4969","15600","124370","124370","0","76136","25640","22594","0","6647","0","3317","971754","464203","1034568.33","1049080.5","1077860","1025973","21994","21994","0","0","105248","24828","30000","0","343547","115457","16655","343547","0"
"58037","0","3390337","0","California Business Bank","Irvine","CA","92602","6/30/2019","11/18/2019","NM","3200 El Camino Real, # 220","","1","0","0","4","0","Orange","31080","Los Angeles-Long Beach-Anaheim, CA","11/1/2005","11/1/2005","7/15/2019","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","0","1","","13","87314","15631","12789","0","5830","63623","1809","0","827","0","15","1388","87314","74641","53199","39279","53199","58.3583941057063","3000","0","17500","0","942","12673","12673","0","50051","2167","-39545","0","0","0","202","82242","12756","87758.33","87570.5","59491","83989","0","0","0","0","11232","0","17500","0","469","12658","757","469","0"
"35331","0","2907439","2907381","California First National Bank","Irvine","CA","92614","6/30/2019","11/18/2019","N","28 Executive Park","CALIFORNIA FIRST NATIONAL BANCORP","1","0","0","8","0","Orange","31080","Los Angeles-Long Beach-Anaheim, CA","5/23/2001","5/23/2001","8/29/2019","Stock","0","0","OCC","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","0","1","www.calfirst.com","24","165496","11711","11307","24085","2757","118293","1430","0","24","0","0","8626","165496","98209","92722","86355","92722","82.7106582565098","0","0","0","0","5487","67287","67287","0","1000","64165","2122","0","0","0","220","156442","3985","208861","177260","135152","175593","0","0","0","0","13610","0","0","0","17336","67317","1430","17336","0"
"57974","0","3394380","0","California International Bank, N.A.","Westminster","CA","92683","6/30/2019","11/18/2019","N","15606 Brookhurst St.","","1","0","0","4","0","Orange","31080","Los Angeles-Long Beach-Anaheim, CA","11/30/2005","11/30/2005","12/28/2018","Stock","0","0","OCC","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","0","1","","20","46077","12861","12204","693","0","30814","2398","0","583","0","0","1126","46077","32521","25151","14434","25151","64.8276958543662","0","0","6500","0","870","13556","13556","0","38829","742","-26015","0","0","0","169","43711","706","45811","45572.5","34982","45770","0","0","0","0","6416","0","6500","0","3637","13552","463","3637","0"
"23242","0","50461","0","California Pacific Bank","San Francisco","CA","94104","6/30/2019","11/18/2019","NM","100 Montgomery St, # 2250","","2","0","0","4","0","San Francisco","41860","San Francisco-Oakland-Hayward, CA","10/16/1980","10/16/1980","8/10/2015","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","www.calpacificbank.com","9","75282","7837","7660","0","12000","49636","4188","0","98","4074","0","1637","75282","42872","42551","23048","42551","56.6035077833345","0","0","0","0","321","32410","32410","0","4286","40","28084","0","0","0","235","69296","9184","74793.33","75520.5","64494","76129","0","0","0","0","3044","0","0","0","15064","32410","849","15064","0"
"58291","0","3545258","4907219","CalPrivate Bank","La Jolla","CA","92037","6/30/2019","11/18/2019","NM","9404 Genesee Ave, Suite 100","PRIVATE BANCORP OF AMERICA, INC.","6","0","0","4","0","San Diego","41740","San Diego-Carlsbad, CA","12/18/2006","12/18/2006","3/21/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","0","1","http://www.calprivate.bank","134","940304","45336","19844","84751","0","787708","7637","0","9940","0","902","11667","940304","828047","736618","485411","736618","39.8424534382739","0","0","89659","0","1770","112257","112257","0","62733","21344","28180","0","0","0","2728","892303","116874","879710","896174.5","860254","895444","0","0","0","0","101450","1719","82000","3650","191145","110174","7924","191145","0"
"5874","0","39327","2391300","Calvin B. Taylor Banking Company of Berlin, Maryland","Berlin","MD","21811","6/30/2019","11/18/2019","NM","24 North Main Street","CALVIN B. TAYLOR BANKSHARES, INC.","11","0","1","4","0","Worcester","41540","Salisbury, MD-DE","1/1/1890","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","","108","521787","82617","70646","63304","791","351024","709","0","9014","0","0","15037","521787","436288","434544","275570","434544","88.0038290547942","0","0","0","0","1744","85499","85499","0","8100","12902","64497","0","1129","0","1365","485765","93983","523275.67","520064.5","344332","511941","12780","12542","238","0","3962","38778","0","0","51023","85282","709","51023","0"
"35069","0","2854494","3188860","Calwest Bank","Rancho Santa Mar","CA","92688","6/30/2019","11/18/2019","SM","22342 Avenida Empresa","CALWEST BANCORP","5","0","0","4","0","Orange","31080","Los Angeles-Long Beach-Anaheim, CA","10/21/1999","10/21/1999","3/31/2018","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","0","1","","38","234370","16684","11008","14652","23100","165734","2480","0","5042","0","0","9158","234370","214363","209454","121116","209454","58.5327311614406","0","0","4454","0","455","20007","20007","0","10659","22756","-13408","0","1","0","559","214494","22165","212906.67","221773.5","187663","214520","6370","5244","0","1126","2812","0","0","0","34404","20010","2348","34404","0"
"17870","14455","758703","2687795","Cambridge Savings Bank","Cambridge","MA","2138","6/30/2019","11/18/2019","SB","1374 Massachusetts Avenue","CAMBRIDGE FINANCIAL GROUP, INC.","17","0","0","4","0","Middlesex","14460","Boston-Cambridge-Newton, MA-NH","4/2/1834","7/2/1958","1/7/2013","Stock","0","1","FDIC","DIF","New York","NEW YORK","North Boston","Boston","Northeastern","Northeast","0","1","www.cambridgesavings.com","386","4118359","177289","150109","595435","678","3121768","34026","0","52799","0","1900","168490","4118359","3711068","3046550","2438550","3046550","68.9833871030588","35631","0","575049","0","53838","407291","407291","0","500","398403","8388","0","22497","1047","11893","3867990","1378544","3988564.67","4042002.5","3181061","3977737","67438","36352","19790","11296","736720","36424","567149","5263","1198386","398300","33805","1198386","1296610"
"10987","0","338851","0","Cambridge State Bank","Cambridge","MN","55008","6/30/2019","11/18/2019","NM","127 South Main","","4","0","0","4","1","Isanti","33460","Minneapolis-St. Paul-Bloomington, MN-WI","2/19/1914","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","http://www.cambridgestatebank.com","14","75824","15669","12390","13237","0","44135","309","0","1178","1215","0","390","75824","66741","66641","51713","66641","84.5241131028276","0","0","0","0","100","9083","9083","0","150","6850","2083","0","122","114","223","69762","16969","77452.67","76490","46015","75972","0","0","0","0","254","429","0","0","4764","9088","309","4764","0"
"8152","0","736206","1115013","Cambridge Trust Company","Cambridge","MA","2138","6/30/2019","11/18/2019","NM","1336 Massachusetts Avenue","CAMBRIDGE BANCORP","17","0","1","4","0","Middlesex","14460","Boston-Cambridge-Newton, MA-NH","1/1/1890","1/1/1934","4/18/2019","Stock","0","1","FDIC","DIF","New York","NEW YORK","North Boston","Boston","Northeastern","Northeast","0","1","","338","2741305","38556","16608","439403","0","2079835","17099","0","47858","185","35616","99852","2741305","2508354","2333804","1742635","2333804","59.553326638106","0","0","143305","0","31245","232951","232951","0","1500","97617","133834","0","1057","0","7485","2535846","1372874","2327079","2439926.5","1884150","2583168","36995","6029","12926","18040","193886","455","106323","384","465830","200862","17150","465830","613470"
"10471","0","302133","1206649","Camp Grove State Bank","Camp Grove","IL","61424","6/30/2019","11/18/2019","SM","26 Main Street","CAMP GROVE BANCORP, INC.","1","0","0","2","1","Marshall","37900","Peoria, IL","1/1/1902","1/1/1934","1/1/2013","Stock","0","0","FED","DIF","Chicago","CHICAGO","Princeton","Chicago","Central","Central","0","1","","5","18315","5225","4851","2481","0","7586","89","0","29","0","0","2994","18315","16021","15989","15195","15989","97.900656044986","0","0","0","0","32","2294","2294","0","100","2000","194","0","28","0","193","14918","1709","18693.33","18369","9893","18222","2251","2251","0","0","0","371","0","0","0","2297","89","0","0"
"16161","15594","293651","0","Campbell County Bank, Inc.","Herreid","SD","57632","6/30/2019","11/18/2019","NM","110 North Main St.","","2","0","0","2","1","Campbell","","","6/13/1944","6/13/1944","6/30/2019","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","0","1","","15","107387","2903","501","26335","0","70049","1241","0","693","205","437","6765","107387","87537","61833","47498","61833","78.9798224374496","18300","0","5951","0","1453","19850","19850","0","100","6700","13050","0","1608","0","1981","96885","28433","104784.33","105975","83294","105182","3519","3108","0","411","21845","782","5951","0","25244","19123","1044","25244","0"
"10840","0","424437","0","Campus State Bank","Campus","IL","60920","6/30/2019","11/18/2019","NM","206 Center St","","1","0","0","2","0","Livingston","","","1/1/1899","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Champaign","Chicago","Central","Central","0","1","http://www.campustatebank.com","4","20576","4408","4079","1995","118","13792","130","0","39","0","0","224","20576","18141","18115","14584","18115","93.9253624386748","0","0","0","0","26","2435","2435","0","50","500","1885","0","177","0","206","19984","2902","20866","20886.5","13568","20978","0","0","0","0","1256","1166","0","0","50","2434","130","50","0"
"26450","5824","379470","0","Canton Co-operative Bank","Canton","MA","2021","6/30/2019","11/18/2019","SM","671 Washington Street","","1","0","0","5","0","Norfolk","14460","Boston-Cambridge-Newton, MA-NH","1/1/1891","12/5/1985","5/18/2011","Non-Stock","0","0","FED","DIF","New York","NEW YORK","South Boston","Boston","Northeastern","Northeast","0","1","www.cantoncoopbank.com","16","125328","22874","18037","23240","0","73162","542","0","910","0","90","5052","125329","106588","100859","93712","100859","77.6016260162602","0","0","4701","0","1028","18741","18741","0","0","0","18741","0","412","0","409","114439","40620","121553.33","123274","71711","123736","3098","1870","1228","0","9769","0","4701","0","14389","18988","542","14389","0"
"15285","0","481140","1095021","Canton State Bank","Canton","MO","63435","6/30/2019","11/18/2019","NM","100 South 4th Street","CANTON BANCSHARES, INC.","1","0","0","2","0","Lewis","","","9/27/1935","10/1/1935","8/12/2016","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","","11","32923","3058","2001","7982","934","19987","221","0","161","0","0","801","32923","29439","28303","17868","28303","76.5625551438151","0","0","1050","0","86","3484","3484","0","200","350","2934","0","113","0","199","30904","5624","32872.33","32866","17287","31852","0","0","0","0","350","156","1050","0","652","3051","216","652","0"
"35547","0","2919423","4842329","Canyon Community Bank, National Association","Tucson","AZ","85704","6/30/2019","11/18/2019","N","7981 North Oracle Road","CCBS HOLDING LLC","2","0","0","4","0","Pima","46060","Tucson, AZ","10/10/2000","10/10/2000","11/3/2019","Stock","0","0","OCC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","1","","19","93063","36575","36250","13743","500","35064","466","0","5999","0","0","1182","93063","81404","78022","56130","78022","70.7696251201538","2948","0","0","0","434","11659","11659","0","306","17439","-6086","0","0","0","250","85557","12120","94464.33","94271","29609","94084","0","0","0","0","3580","0","0","0","2401","11793","371","2401","0"
"90203","0","627108","0","Cape Ann Savings Bank","Gloucester","MA","1930","6/30/2019","11/18/2019","SB","109 Main Street","","4","0","0","8","0","Essex","14460","Boston-Cambridge-Newton, MA-NH","4/15/1846","10/22/1985","2/1/2017","Non-Stock","0","1","FDIC","DIF","New York","NEW YORK","North Boston","Boston","Northeastern","Northeast","0","1","capeannsavings.bank","73","659610","53686","47970","159071","0","412146","3411","0","14660","287","1008","18752","659610","504025","479259","454759","479259","90.1824054483769","0","0","0","0","24766","155585","155585","0","0","0","155585","0","5286","0","1394","619187","192115","649706.33","659033","394943","643520","16039","10092","0","5947","62462","1880","0","0","57006","158044","3411","57006","0"
"26517","1456","119779","3444801","Cape Cod Co-operative Bank","Yarmouth Port","MA","2675","6/30/2019","11/18/2019","SB","121 Main Street","COASTAL AFFILIATES, MHC","12","0","0","4","0","Barnstable","12700","Barnstable Town, MA","1/1/1921","1/22/1986","3/6/2017","Stock","0","0","FDIC","DIF","New York","NEW YORK","South Boston","Boston","Northeastern","Northeast","0","1","www.mycapecodbank.com","163","953709","38240","27993","55469","15","811936","7510","718","18673","38","1871","26749","953709","859410","832884","764410","832884","70.6984806672884","2617","718","21113","0","2078","94299","94299","0","0","0","94299","0","6875","0","2364","895413","183015","940811","945412.5","652663","940319","17429","13408","0","4021","84070","1137","21113","745","126548","94299","7634","126548","15438"
"19401","0","596156","3035227","Capital Bank","Jacinto City","TX","77029","6/30/2019","11/18/2019","NM","10304 East Freeway","JSA FAMILY LIMITED PARTNERSHIP","8","0","0","4","0","Harris","26420","Houston-The Woodlands-Sugar Land, TX","4/10/1965","4/10/1965","1/1/2014","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","1","www.capitalbanktx.com","93","445921","41392","33521","43874","0","350215","3391","0","7262","0","0","3178","445921","404934","401392","267485","401392","79.8013080223379","2067","0","0","0","1475","40987","40987","0","1440","14560","24987","0","3272","0","1188","427610","69654","436935","441655.5","357174","444868","0","0","0","0","56665","3741","0","0","29021","40893","3391","29021","0"
"35164","15674","2921659","0","Capital Bank and Trust Company","Irvine","CA","92618","6/30/2019","11/18/2019","SA","6455 Irvine Center Drive","","2","0","1","5","0","Orange","31080","Los Angeles-Long Beach-Anaheim, CA","7/1/2000","7/1/2000","3/2/2018","Stock","0","1","OCC","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","0","0","","313","189951","177","177","128315","0","0","0","0","15038","0","0","46421","189951","61345","500","500","500","50","0","0","0","0","60845","128606","128606","0","5000","6450","117156","0","0","0","656","128492","107831","189079.67","191633.5","68485","187667","0","0","0","0","0","0","0","0","0","128050","0","0","0"
"57495","0","3134399","0","Capital Bank of Texas","Carrizo Springs","TX","78834","6/30/2019","11/18/2019","NM","2105 North First Street","","3","0","0","7","0","Dimmit","","","5/9/2003","5/9/2003","1/16/2018","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","","16","78109","34902","30017","17859","0","22315","213","0","2137","0","616","280","78109","67612","67167","42229","67167","82.591285967341","0","0","0","0","445","10497","10497","0","2510","2614","5373","0","0","0","144","70191","10966","77838.67","78833.5","22263","78193","0","0","0","0","2018","152","0","0","430","9888","213","430","0"
"35278","0","2808602","2808590","Capital Bank, National Association","Rockville","MD","20850","6/30/2019","11/18/2019","N","One Church Street","CAPITAL BANCORP, INC.","6","0","1","4","0","Montgomery","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","12/14/1999","12/14/1999","5/10/2013","Stock","0","0","OCC","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","http://www.capitalbankmd.com","217","1197799","79475","67470","39157","53","1057502","11605","0","6533","149","0","14930","1197799","1097204","1038954","757520","1038954","46.1284970250248","0","0","43754","0","14496","100595","100595","0","3000","45120","52475","0","6809","0","4125","1164182","112252","1120179.33","1143018.5","944724","1129276","0","0","0","0","102970","24516","38889","47744","243287","100625","11821","243287","85500"
"9622","13205","876634","1085509","Capital City Bank","Tallahassee","FL","32301","6/30/2019","11/18/2019","SM","217 North Monroe Street","CAPITAL CITY BANK GROUP, INC.","62","0","1","4","0","Leon","45220","Tallahassee, FL","6/13/1907","1/1/1934","3/31/2006","Stock","0","1","FED","DIF","Atlanta","ATLANTA","Gainesville","Atlanta","Southern","Southeast","0","1","www.ccbg.com","798","2994817","287828","234097","632520","0","1830474","14593","0","87768","1010","84810","70407","2994817","2644255","2599037","1530760","2599037","65.6544815121838","6137","0","11904","0","27177","350562","350562","0","100","158932","191530","0","5625","0","9066","2697091","1027052","2990520","3014745","1893327","2912799","26122","13278","0","12844","15095","13535","9229","8345","509793","295603","14593","509793","0"
"33823","13865","2068107","2641621","Capital Community Bank","Provo","UT","84604","6/30/2019","11/18/2019","NM","3280 N. University Avenue","CAPITAL COMMUNITY BANCORPORATION, INC.","6","0","0","4","0","Utah","39340","Provo-Orem, UT","7/29/1993","7/29/1993","6/29/2016","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Salt Lake City","San Francisco","Western","West","0","1","","69","474412","95551","90447","7934","0","358189","7649","0","1289","1104","0","10345","474412","428383","387239","319356","387239","75.7381711937725","0","0","39384","0","1760","46029","46029","0","1250","26040","18739","0","2707","0","1150","456570","12100","443366","454926.5","388310","453081","4376","4376","0","0","70673","203","39384","19997","64248","46029","4889","64248","0"
"33954","0","2253891","2277860","Capital One Bank (USA), National Association","Glen Allen","VA","23060","6/30/2019","11/18/2019","N","4851 Cox Road","CAPITAL ONE FINANCIAL CORPORATION","1","2","0","3","0","Henrico","40060","Richmond, VA","11/22/1994","11/22/1994","9/26/2017","Stock","0","0","OCC","DIF","Atlanta","WASHINGTON","Richmond","Richmond","Northeastern","Southeast","0","0","www.capitalone.com","26033","120091157","4942900","2673618","14753823","0","94328319","4984117","0","1052758","0","347141","4666216","120091157","103229498","77624129","77022281","77502585","18.6325313101934","0","0","16889833","1649409","7066127","16861659","16854039","0","100001","7509593","9244445","7620","1560859","0","725663","111755760","11634517","119179009.67","118559575","105625292","117372924","0","0","0","0","63442891","1193","0","0","269379346","16408148","2147826","269379346","34287810"
