cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,numemp,asset,chbal,chbali,sc,frepo,lnlsnet,lnatres,trade,bkprem,ore,intan,idoa,liabeq,liab,dep,depi,depdom,iddepinr,frepp,tradel,idobrmtg,subnd,idoliab,eqtot,eq,eqpp,eqcs,eqsur,equptot,eqconsub,nclnls,NCGTYPAR,oaienc,ernast,asstlt,asset5,asset2,RWAJT,AVASSETJ,OALIFINS,OALIFGEN,OALIFSEP,Oalifhyb,voliab,lnexamt,othbfhlb,lnlssale,ucln,RBCT1J,RBCT2,uc,obsdir
"16111","9639","764058","1124659","Highland Bank","Saint Michael","MN","55376","6/30/2019","11/18/2019","NM","701 Central Avenue East","HIGHLAND BANCSHARES, INC.","5","0","0","4","0","Wright","33460","Minneapolis-St. Paul-Bloomington, MN-WI","12/28/1943","1/3/1944","2/28/2013","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","","91","535863","6512","561","160372","0","353647","4771","0","6188","631","211","8302","535863","479042","386164","262407","386164","80.2501126050333","20937","0","67554","0","4387","56821","56821","0","250","47604","8967","0","3039","846","2065","514580","172286","524445","528823","419818","520763","0","0","0","0","84721","188","66655","0","66084","51581","4771","66084","0"
"31232","6581","652070","0","Highland Federal Savings and Loan Association","Crossville","TN","38555","6/30/2019","11/18/2019","SA","106 S. Main St, Suite 103","","2","0","0","8","0","Cumberland","","","2/16/1961","2/16/1961","7/21/2011","Non-Stock","0","0","OCC","DIF","Dallas","DALLAS","Knoxville","Atlanta","Southern","Southeast","0","1","","17","61423","24513","23761","1245","0","29823","184","0","1303","0","0","4539","61422","47376","46343","42381","46343","96.6392894867318","0","0","0","0","1033","14046","14046","0","0","0","14046","0","74","0","135","54829","23500","60806.67","61028.5","26346","60834","3231","3114","117","0","400","0","0","0","7424","13854","184","7424","0"
"6198","0","681249","1881699","Highland State Bank","Highland","WI","53543","6/30/2019","11/18/2019","NM","541 North Main Street","SOUTHWESTERN WISCONSIN BANCSHARES, INC.","1","0","0","8","1","Iowa","31540","Madison, WI","6/1/1903","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Madison","Chicago","Central","Central","0","1","","7","32909","10653","9677","2885","840","17196","369","0","90","29","0","1216","32909","29334","28713","20896","28713","92.7793437032397","0","0","0","0","621","3575","3575","0","70","720","2785","0","155","0","104","30598","1468","33471.67","32988.5","14985","32554","996","996","0","0","1000","71","0","0","558","3575","190","558","0"
"57420","0","3125315","0","Highlands Community Bank","Covington","VA","24426","6/30/2019","11/18/2019","SM","307 Thacker Avenue","","3","0","0","8","0","Covington City","","","9/16/2002","9/16/2002","5/29/2018","Stock","0","0","FED","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","0","1","","33","148640","12212","8368","42763","0","89822","1130","0","2275","301","51","1216","148640","128876","128306","108218","128306","92.6661787833019","0","0","44","0","526","19764","19764","0","3695","3725","12344","0","1376","0","718","140953","56247","146036.33","147258.5","100125","146142","0","0","0","0","8870","5347","0","0","8146","19086","1130","8146","0"
"26191","12009","969424","2391270","Highlands Union Bank","Abingdon","VA","24210","6/30/2019","11/18/2019","SM","340 West Main Street","HIGHLANDS BANKSHARES, INC.","14","0","1","4","0","Washington","28700","Kingsport-Bristol-Bristol, TN-VA","4/27/1985","4/27/1985","3/31/2006","Stock","0","0","FED","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","0","1","","137","611782","47342","39448","66227","0","448211","4243","0","17159","3482","0","29361","611782","552077","519409","364637","519409","86.5849603161636","0","0","30067","0","2601","59705","59705","0","4645","19057","36003","0","5433","0","2010","553886","211411","605430.33","612180","433113","607700","15215","10248","3243","1724","48799","356","30067","863","52777","55829","4243","52777","19089"
"11407","10657","750341","1136287","Highpoint Community Bank","Hastings","MI","49058","6/30/2019","11/18/2019","NM","150 West Court Street","HCB FINANCIAL CORP.","8","0","0","8","0","Barry","","","1/1/1886","1/1/1934","1/21/2019","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Grand Rapids","Chicago","Central","Central","0","1","","80","317183","28830","18679","57419","0","209246","1297","0","8372","0","331","12985","317183","284726","252926","198175","252926","80.9080307552428","0","0","30000","0","1800","32457","32457","0","1354","15872","15231","0","0","0","1156","285344","113628","317187.67","316415.5","188964","314655","6706","4610","0","2096","9673","1928","30000","137","20630","31726","1297","20630","0"
"11902","12151","554268","2100119","Hill Bank & Trust Co.","Weimar","TX","78962","6/30/2019","11/18/2019","NM","201 East Main Street","CENTRAL TEXAS BANKSHARE HOLDINGS, INC.","1","0","0","2","0","Colorado","","","11/4/1931","1/1/1934","6/15/2015","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","","14","140798","6781","5508","118973","0","13696","266","0","99","0","0","1249","140798","116007","115545","80768","115545","78.3461195824216","0","0","0","0","462","24791","24791","0","300","6000","18491","0","0","0","934","138177","49091","140097.33","140981","84634","141430","0","0","0","0","10827","277","0","0","2046","24791","266","2046","0"
"14650","9204","731247","1245291","Hills Bank and Trust Company","Hills","IA","52235","6/30/2019","11/18/2019","NM","131 Main Street","HILLS BANCORPORATION","20","0","0","4","0","Johnson","26980","Iowa City, IA","1/1/1904","8/1/1934","2/7/2012","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","http://www.hillsbank.com","486","3262302","249914","221426","308052","11","2616542","35650","0","39549","39","2500","45695","3262302","2857521","2620992","2249340","2620992","80.9412450939091","0","0","218404","0","18125","404781","404781","0","3725","60101","340955","0","11608","0","13117","3146031","426451","3176677.67","3244400","2423107","3219444","0","0","0","0","90646","49787","215000","12627","428828","401309","30355","428828","120994"
"34747","0","2710554","0","Hillsboro Bank","Plant City","FL","33566","6/30/2019","11/18/2019","NM","509 West Alexander Street","","3","0","0","4","0","Hillsborough","45300","Tampa-St. Petersburg-Clearwater, FL","7/6/1998","7/6/1998","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Tampa","Atlanta","Southern","Southeast","0","1","","25","152705","30865","27907","28497","3239","81311","1036","0","3606","0","0","5187","152705","132234","130976","86995","130976","60.853633400258","0","0","0","0","1258","20471","20471","0","3318","3588","13565","0","55","0","477","140954","87639","147094.33","148660.5","88006","150321","4354","3677","0","677","8292","4398","0","0","13134","19826","1036","13134","0"
"14084","0","592859","1063132","Hillsboro State Bank","Hillsboro","KS","67063","6/30/2019","11/18/2019","NM","200 North Main Street","RAMONA BANKSHARES, INC.","1","0","0","2","0","Marion","","","3/6/1903","3/21/1934","3/31/2016","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","0","1","","6","17971","7934","7520","960","0","8531","162","0","152","0","0","394","17972","16199","15547","13069","15547","74.9437262846485","542","0","65","0","45","1773","1773","0","125","361","1287","0","912","821","104","17011","2273","18535.67","18209","9708","18159","213","213","0","0","1100","72","65","0","1549","1765","121","1549","0"
