name,city,state,zip,address,regulator,type,website,rssd
American State Bank of Grygla,Grygla,MN,56727,102 S Main Ave,fdic,bank,,21359
American Trust and Savings Bank,Lowden,IA,52255,309 Mckinley Avenue,fdic,bank,,675341
Americana Community Bank,Sleepy Eye,MN,56085,300 Main Street West,fdic,bank,,201254
AmeriFirst Bank,Union Springs,AL,36089,104 Hardaway Avenue,fdic,bank,www.amerifirstbank.com,139133
"AMERIPRISE BANK, FSB",Minneapolis,MN,55402,707 2nd Avenue South,fdic,bank,,3.470239e+06
Ameriserv Financial Bank,Johnstown,PA,15901,216 Franklin Street,fdic,bank,,928618
Ameris Bank,Moultrie,GA,31768,300 South Main Street,fdic,bank,http://www.amerisbank.com,764030
Ameristate Bank,Atoka,OK,74525,113 South Pennsylvania,fdic,bank,,508355
AMG National Trust Bank,Boulder,CO,80302,"1155 Canyon Blvd, # 310",fdic,bank,,3.015939e+06
Amistad Bank,Del Rio,TX,78840,1301 Veterans Boulevard,fdic,bank,,30052
Amory Federal Savings and Loan Association,Amory,MS,38821,213 2nd Ave N,fdic,bank,,715975
Anahuac National Bank,Anahuac,TX,77514,801 South Ross Sterling,fdic,bank,,424352
ANB Bank,Denver,CO,80206,3033 East First Avenue,fdic,bank,ANBBANK.COM,828651
Anchor Bank,Juno Beach,FL,33408,13951 Us Highway 1,fdic,bank,,3.342671e+06
Anchor D Bank,Texhoma,OK,73949,222 West Main Street,fdic,bank,,327556
Anchor State Bank,Anchor,IL,61720,246 2nd Street,fdic,bank,,655530
Anderson Brothers Bank,Mullins,SC,29574,101 North Main Street,fdic,bank,www.abbank.com,6329
Anderson State Bank,Oneida,IL,61467,111 West Highway Street,fdic,bank,,916343
Andes State Bank,Lake Andes,SD,57356,213 Main Street,fdic,bank,,410159
Andover State Bank,Andover,KS,67002,511 North Andover Road,fdic,bank,,225054
Andrew Johnson Bank,Greeneville,TN,37743,124 North Main Street,fdic,bank,www.andrewjohnsonbank.com,361439
Androscoggin Savings Bank,Lewiston,ME,4240,30 Lisbon Street,fdic,bank,,132107
"Angelina Savings Bank, SSB",Lufkin,TX,75901,1721 Tulane Drive,fdic,bank,,660879
Ann Arbor State Bank,Ann Arbor,MI,48104,125 W. William Street,fdic,bank,www.a2sb.com,3.82508e+06
Anna State Bank,Anna,IL,62906,100 East Vienna Street,fdic,bank,,691743
Anstaff Bank,Green Forest,AR,72638,100 First National Avenue,fdic,bank,,261940
Anthem Bank & Trust,Plaquemine,LA,70764,23910 Railroad Ave,fdic,bank,,527178
"ANZ Guam, Inc.",Hagatna,GU,96932,"424 W Obrien Dr, 112",fdic,bank,,1.852569e+06
Apex Bank,Camden,TN,38320,102 East Main Street,fdic,bank,http://WWW.APEXBANK.COM,51253
Apollo Bank,Miami,FL,33130,1150 South Miami Avenue,fdic,bank,,3.057818e+06
Apollo Trust Company,Apollo,PA,15613,201 North Warren Avenue,fdic,bank,,368522
Apple Bank for Savings,Manhasset,NY,11030,1395 Northern Boulevard,fdic,bank,www.theapplebank.com,249612
Applied Bank,Wilmington,DE,19803,2200 Concord Pike,fdic,bank,,2.46767e+06
Apple River State Bank,Apple River,IL,61001,103 North Main Street,fdic,bank,,594938
Aquesta Bank,Cornelius,NC,28031,19510 Jetton Road,fdic,bank,http://www.aquesta.com,3.446636e+06
Arbor Bank,Nebraska City,NE,68410,911 Central Avenue,fdic,bank,,1.872941e+06
Arcola First Bank,Arcola,IL,61910,127 South Oak Street,fdic,bank,www.arcolafb.com,659734
Argentine Federal Savings,Kansas City,KS,66106,3004 Strong Ave,fdic,bank,,120476
Arizona Bank & Trust,Phoenix,AZ,85016,2036 East Camelback Road,fdic,bank,http://www.arizbank.com,3.187612e+06
Arkansas County Bank,De Witt,AR,72042,220 W Cross Street,fdic,bank,,705444
Arlington State Bank,Arlington,MN,55307,230 West Main Street,fdic,bank,,270353
"Armed Forces Bank, National Association",Fort Leavenworth,KS,66027,320 Kansas Avenue,fdic,bank,,983457
