"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_811B3","ACCT_811B4","ACCT_811B5","ACCT_811C3","ACCT_811C4","ACCT_811C5","ACCT_811D","ACCT_811D1","ACCT_811D2","ACCT_811E","ACCT_811E1","ACCT_811E2","ACCT_812A1","ACCT_812B1","ACCT_812C","ACCT_813A1","ACCT_813A2","ACCT_813B1","ACCT_814A6","ACCT_814A7","ACCT_814A8","ACCT_814J3","ACCT_814J4","ACCT_814J5","ACCT_814K","ACCT_814K1","ACCT_814K2","ACCT_815A1","ACCT_815B1","ACCT_815C","ACCT_816B3","ACCT_816B4","ACCT_816B5","ACCT_816T","ACCT_816T1","ACCT_816T2","ACCT_822A1","ACCT_822B1","ACCT_822C","ACCT_900A1","ACCT_900B1","ACCT_900C5","ACCT_900C6","ACCT_900C7","ACCT_900C8","ACCT_900H2","ACCT_900H3","ACCT_900J2","ACCT_900J3","ACCT_900K2","ACCT_900K3","ACCT_900K4","ACCT_900L2","ACCT_900L3","ACCT_900M","ACCT_900M1","ACCT_900P","ACCT_900T1","ACCT_959A","ACCT_960A","ACCT_960B","ACCT_961A5","ACCT_961A6","ACCT_961A7","ACCT_961A8","ACCT_961A9","ACCT_963C"
7531,6/30/2019 0:00:00,3462,0.00,0.00,0.00,0.00,0.00,0.00,15573304.00,15573304.00,0.00,0.00,0.00,0.00,87905533.00,0.00,87905533.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16052063.00,0.00,16052063.00,0.00,0.00,0.00,120068161.00,120068161.00,0.00,537261.00,0.00,537261.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,1240.00,15.00,0.00,0.00,0.00,0.00,0.00,13306.00
7532,6/30/2019 0:00:00,3463,0.00,0.00,0.00,0.00,0.00,0.00,101758.00,101758.00,0.00,0.00,0.00,0.00,2282894.00,0.00,2282894.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,146683.00,0.00,146683.00,0.00,0.00,0.00,2537907.00,2537907.00,0.00,6572.00,0.00,6572.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,105.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,48.00
7534,6/30/2019 0:00:00,3464,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,102678.00,0.00,102678.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,102678.00,102678.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00
7544,6/30/2019 0:00:00,3468,0.00,0.00,0.00,0.00,0.00,0.00,188952701.00,188952701.00,0.00,4242904.00,4242904.00,0.00,519925364.00,0.00,519925364.00,86600.00,86600.00,0.00,438231.00,0.00,438231.00,0.00,0.00,0.00,10993087.00,10993087.00,0.00,46408965.00,0.00,46408965.00,1301467.00,0.00,1301467.00,764727654.00,764727654.00,0.00,3896253.00,0.00,3896253.00,273.00,0.00,3.00,71.00,0.00,0.00,72.00,0.00,43.00,0.00,128.00,0.00,128.00,71.00,0.00,7.00,0.00,145.00,273.00,4402.00,7091.00,12.00,0.00,0.00,0.00,0.00,0.00,5940.00
7546,6/30/2019 0:00:00,3469,0.00,0.00,0.00,0.00,0.00,0.00,419410.00,419410.00,0.00,0.00,0.00,0.00,445227.00,0.00,445227.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,190184.00,0.00,190184.00,1493.00,0.00,1493.00,1403890.00,1403890.00,0.00,347576.00,0.00,347576.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,27.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,103.00
7552,6/30/2019 0:00:00,3474,0.00,0.00,0.00,0.00,0.00,0.00,163911.00,163911.00,0.00,0.00,0.00,0.00,10131191.00,0.00,10131191.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94522.00,0.00,94522.00,0.00,0.00,0.00,11743502.00,11743502.00,0.00,1353878.00,0.00,1353878.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,230.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,325.00
7557,6/30/2019 0:00:00,3477,0.00,0.00,0.00,0.00,0.00,0.00,1901906.00,1901906.00,0.00,0.00,0.00,0.00,1178340.00,0.00,1178340.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1360530.00,0.00,1360530.00,0.00,0.00,0.00,5432319.00,5432319.00,0.00,991543.00,0.00,991543.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,93.00,46.00,0.00,0.00,0.00,0.00,0.00,0.00,39.00
7569,6/30/2019 0:00:00,3486,0.00,0.00,0.00,0.00,0.00,0.00,13007391.00,13007391.00,0.00,1460777.00,1460777.00,0.00,68052602.00,0.00,68052602.00,0.00,0.00,0.00,0.00,752484.00,752484.00,0.00,0.00,0.00,4002141.00,3249657.00,752484.00,0.00,0.00,0.00,1615466.00,0.00,1615466.00,103818770.00,103818770.00,0.00,19682534.00,0.00,19682534.00,376.00,32.00,1.00,33.00,0.00,0.00,102.00,14.00,17.00,16.00,120.00,32.00,152.00,222.00,0.00,0.00,0.00,257.00,408.00,2457.00,1721.00,0.00,0.00,0.00,0.00,0.00,0.00,6899.00
7573,6/30/2019 0:00:00,3490,0.00,0.00,0.00,0.00,0.00,0.00,41098109.00,41098109.00,0.00,0.00,0.00,0.00,42098449.00,0.00,42098449.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,647830.00,647830.00,0.00,3171955.00,0.00,3171955.00,0.00,0.00,0.00,86644283.00,86644283.00,0.00,275770.00,0.00,275770.00,30.00,31.00,0.00,0.00,0.00,0.00,1.00,2.00,2.00,20.00,26.00,31.00,57.00,4.00,0.00,23.00,9.00,4.00,61.00,221.00,1275.00,0.00,0.00,0.00,0.00,0.00,0.00,138.00
7576,6/30/2019 0:00:00,3492,0.00,0.00,0.00,0.00,0.00,0.00,679393.00,679393.00,0.00,0.00,0.00,0.00,3498220.00,0.00,3498220.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72880.00,0.00,72880.00,18533.00,0.00,18533.00,4747789.00,4747789.00,0.00,478763.00,0.00,478763.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,2.00,194.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,276.00
